# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02176e-05 to 154.724 h/Mpc,
# number of wavenumbers equal to 226
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
# k (h/Mpc)       -T_cdm/k2         -T_b/k2           -T_g/k2           -T_ur/k2          -T_ncdm/k2        -T_tot/k2         
1.0217626709e-05  1.9958091475e+07  1.9958090809e+07  2.6596916553e+07  2.6596504875e+07  0.0000000000e+00  1.9960077597e+07
1.1464365726e-05  1.9958173197e+07  1.9958172359e+07  2.6593434717e+07  2.6592916513e+07  0.0000000000e+00  1.9960158212e+07
1.2863229912e-05  1.9958183032e+07  1.9958181977e+07  2.6588927990e+07  2.6588275680e+07  0.0000000000e+00  1.9960166645e+07
1.4432781343e-05  1.9958254687e+07  1.9958253358e+07  2.6583334357e+07  2.6582513271e+07  0.0000000000e+00  1.9960236541e+07
1.6193847014e-05  1.9958167265e+07  1.9958165593e+07  2.6576056956e+07  2.6575023553e+07  0.0000000000e+00  1.9960146887e+07
1.8169795196e-05  1.9958228647e+07  1.9958226542e+07  2.6567126547e+07  2.6565825924e+07  0.0000000000e+00  1.9960205478e+07
2.0386845520e-05  1.9958038130e+07  1.9958035480e+07  2.6555530670e+07  2.6553894013e+07  0.0000000000e+00  1.9960011421e+07
2.2874416899e-05  1.9958025358e+07  1.9958022022e+07  2.6541241581e+07  2.6539182015e+07  0.0000000000e+00  1.9959994217e+07
2.5665517892e-05  1.9958011003e+07  1.9958006804e+07  2.6523265163e+07  2.6520673532e+07  0.0000000000e+00  1.9959974286e+07
2.8797184714e-05  1.9957971308e+07  1.9957966022e+07  2.6500621135e+07  2.6497360702e+07  0.0000000000e+00  1.9959927575e+07
3.2310972681e-05  1.9957898632e+07  1.9957891978e+07  2.6472108986e+07  2.6468008010e+07  0.0000000000e+00  1.9959846070e+07
3.6253507625e-05  1.9957824074e+07  1.9957815699e+07  2.6436276828e+07  2.6431119768e+07  0.0000000000e+00  1.9959760412e+07
