# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 1.2741e+03 6.5492e-02 -4.7956e-03 2.5183e+03 2.7137e+03 -5.6744e-03 1.9787e+02 4.0774e-02 3.5292e-02 2.6528e-02 5.2749e+02 3.5158e+02 0.0000e+00 0.0000e+00
1.0842e-03 1.3727e+03 6.8165e-02 -6.0510e-03 2.7196e+03 2.7418e+03 -6.6451e-03 1.9787e+02 4.7940e-02 4.1486e-02 3.1145e-02 5.2746e+02 3.5154e+02 0.0000e+00 0.0000e+00
1.1756e-03 1.4785e+03 7.1245e-02 -7.6360e-03 2.9354e+03 2.7740e+03 -7.7767e-03 1.9787e+02 5.6367e-02 4.8765e-02 3.6558e-02 5.2742e+02 3.5150e+02 0.0000e+00 0.0000e+00
1.2746e-03 1.5921e+03 7.4847e-02 -9.6367e-03 3.1667e+03 2.8109e+03 -9.0941e-03 1.9787e+02 6.6277e-02 5.7315e-02 4.2900e-02 5.2738e+02 3.5144e+02 0.0000e+00 0.0000e+00
1.3819e-03 1.7139e+03 7.9121e-02 -1.2162e-02 3.4141e+03 2.8531e+03 -1.0625e-02 1.9787e+02 7.7933e-02 6.7356e-02 5.0329e-02 5.2733e+02 3.5137e+02 0.0000e+00 0.0000e+00
1.4983e-03 1.8443e+03 8.4267e-02 -1.5346e-02 3.6784e+03 2.9012e+03 -1.2401e-02 1.9786e+02 9.1643e-02 7.9144e-02 5.9024e-02 5.2727e+02 3.5130e+02 0.0000e+00 0.0000e+00
1.6246e-03 1.9836e+03 9.0548e-02 -1.9360e-02 3.9604e+03 2.9560e+03 -1.4457e-02 1.9786e+02 1.0777e-01 9.2976e-02 6.9194e-02 5.2719e+02 3.5121e+02 0.0000e+00 0.0000e+00
1.7614e-03 2.1324e+03 9.8312e-02 -2.4415e-02 4.2607e+03 3.0183e+03 -1.6829e-02 1.9786e+02 1.2674e-01 1.0920e-01 8.1079e-02 5.2711e+02 3.5110e+02 0.0000e+00 0.0000e+00
1.9098e-03 2.2909e+03 1.0801e-01 -3.0772e-02 4.5800e+03 3.0889e+03 -1.9557e-02 1.9785e+02 1.4907e-01 1.2821e-01 9.4956e-02 5.2701e+02 3.5098e+02 0.0000e+00 0.0000e+00
2.0706e-03 2.4594e+03 1.2026e-01 -3.8756e-02 4.9188e+03 3.1687e+03 -2.2683e-02 1.9785e+02 1.7534e-01 1.5047e-01 1.1114e-01 5.2690e+02 3.5083e+02 0.0000e+00 0.0000e+00
2.2450e-03 2.6381e+03 1.3582e-01 -4.8763e-02 5.2776e+03 3.2587e+03 -2.6248e-02 1.9784e+02 2.0625e-01 1.7651e-01 1.2999e-01 5.2676e+02 3.5067e+02 0.0000e+00 0.0000e+00
2.4341e-03 2.8271e+03 1.5573e-01 -6.1278e-02 5.6566e+03 3.3598e+03 -3.0290e-02 1.9784e+02 2.4265e-01 2.0693e-01 1.5192e-01 5.2660e+02 3.5047e+02 0.0000e+00 0.0000e+00
2.6392e-03 3.0265e+03 1.8130e-01 -7.6891e-02 6.0560e+03 3.4732e+03 -3.4841e-02 1.9783e+02 2.8550e-01 2.4241e-01 1.7738e-01 5.2642e+02 3.5024e+02 0.0000e+00 0.0000e+00
2.8615e-03 3.2361e+03 2.1422e-01 -9.6317e-02 6.4759e+03 3.5998e+03 -3.9922e-02 1.9782e+02 3.3596e-01 2.8371e-01 2.0689e-01 5.2620e+02 3.4997e+02 0.0000e+00 0.0000e+00
3.1025e-03 3.4559e+03 2.5664e-01 -1.2042e-01 6.9161e+03 3.7406e+03 -4.5533e-02 1.9781e+02 3.9541e-01 3.3167e-01 2.4101e-01 5.2594e+02 3.4966e+02 0.0000e+00 0.0000e+00
3.3638e-03 3.6856e+03 3.1125e-01 -1.5022e-01 7.3762e+03 3.8964e+03 -5.1644e-02 1.9780e+02 4.6545e-01 3.8722e-01 2.8036e-01 5.2564e+02 3.4929e+02 0.0000e+00 0.0000e+00
3.6472e-03 3.9250e+03 3.8138e-01 -1.8699e-01 7.8554e+03 4.0681e+03 -5.8179e-02 1.9778e+02 5.4802e-01 4.5135e-01 3.2561e-01 5.2529e+02 3.4887e+02 0.0000e+00 0.0000e+00
3.9544e-03 4.1738e+03 4.7106e-01 -2.3220e-01 8.3529e+03 4.2562e+03 -6.4996e-02 1.9777e+02 6.4537e-01 5.2506e-01 3.7748e-01 5.2488e+02 3.4838e+02 0.0000e+00 0.0000e+00
4.2875e-03 4.4315e+03 5.8511e-01 -2.8764e-01 8.8675e+03 4.4609e+03 -7.1861e-02 1.9775e+02 7.6019e-01 6.0941e-01 4.3669e-01 5.2440e+02 3.4782e+02 0.0000e+00 0.0000e+00
4.6486e-03 4.6973e+03 7.2914e-01 -3.5540e-01 9.3974e+03 4.6824e+03 -7.8407e-02 1.9773e+02 8.9569e-01 7.0538e-01 5.0400e-01 5.2384e+02 3.4716e+02 0.0000e+00 0.0000e+00
5.0402e-03 4.9700e+03 9.0952e-01 -4.3789e-01 9.9405e+03 4.9199e+03 -8.4089e-02 1.9770e+02 1.0556e+00 8.1384e-01 5.8010e-01 5.2318e+02 3.4640e+02 0.0000e+00 0.0000e+00
5.4648e-03 5.2478e+03 1.1333e+00 -5.3783e-01 1.0494e+04 5.1726e+03 -8.8119e-02 1.9767e+02 1.2445e+00 9.3546e-01 6.6565e-01 5.2242e+02 3.4553e+02 0.0000e+00 0.0000e+00
5.9251e-03 5.5284e+03 1.4082e+00 -6.5820e-01 1.1055e+04 5.4387e+03 -8.9386e-02 1.9763e+02 1.4676e+00 1.0706e+00 7.6117e-01 5.2152e+02 3.4452e+02 0.0000e+00 0.0000e+00
6.4242e-03 5.8091e+03 1.7424e+00 -8.0225e-01 1.1619e+04 5.7156e+03 -8.6350e-02 1.9759e+02 1.7313e+00 1.2190e+00 8.6699e-01 5.2049e+02 3.4337e+02 0.0000e+00 0.0000e+00
6.9653e-03 6.0878e+03 2.1446e+00 -9.7354e-01 1.2181e+04 6.0001e+03 -7.6916e-02 1.9754e+02 2.0430e+00 1.3801e+00 9.8315e-01 5.1929e+02 3.4205e+02 0.0000e+00 0.0000e+00
7.5520e-03 6.3627e+03 2.6245e+00 -1.1761e+00 1.2735e+04 6.2880e+03 -5.8271e-02 1.9748e+02 2.4115e+00 1.5523e+00 1.1093e+00 5.1789e+02 3.4054e+02 0.0000e+00 0.0000e+00
8.1881e-03 6.6318e+03 3.1933e+00 -1.4142e+00 1.3273e+04 6.5742e+03 -2.6695e-02 1.9741e+02 2.8472e+00 1.7331e+00 1.2446e+00 5.1628e+02 3.3883e+02 0.0000e+00 0.0000e+00
8.8778e-03 6.8909e+03 3.8650e+00 -1.6916e+00 1.3788e+04 6.8526e+03 2.2664e-02 1.9733e+02 3.3622e+00 1.9190e+00 1.3876e+00 5.1442e+02 3.3690e+02 0.0000e+00 0.0000e+00
9.6256e-03 7.1333e+03 4.6565e+00 -2.0111e+00 1.4272e+04 7.1165e+03 9.6060e-02 1.9724e+02 3.9706e+00 2.1055e+00 1.5359e+00 5.1228e+02 3.3471e+02 0.0000e+00 0.0000e+00
1.0436e-02 7.3527e+03 5.5876e+00 -2.3744e+00 1.4716e+04 7.3590e+03 2.0144e-01 1.9713e+02 4.6890e+00 2.2864e+00 1.6864e+00 5.0982e+02 3.3225e+02 0.0000e+00 0.0000e+00
