# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 6.4612e+02 1.6958e-02 -1.2333e-03 1.2770e+03 1.3762e+03 -1.4593e-03 5.0887e+01 1.0486e-02 9.0761e-03 6.8223e-03 1.3566e+02 9.0418e+01 0.0000e+00 0.0000e+00
1.0842e-03 6.9612e+02 1.7677e-02 -1.5562e-03 1.3791e+03 1.3904e+03 -1.7089e-03 5.0887e+01 1.2329e-02 1.0669e-02 8.0097e-03 1.3565e+02 9.0408e+01 0.0000e+00 0.0000e+00
1.1756e-03 7.4981e+02 1.8508e-02 -1.9638e-03 1.4886e+03 1.4068e+03 -2.0000e-03 5.0887e+01 1.4496e-02 1.2541e-02 9.4017e-03 1.3564e+02 9.0396e+01 0.0000e+00 0.0000e+00
1.2746e-03 8.0741e+02 1.9483e-02 -2.4783e-03 1.6059e+03 1.4255e+03 -2.3388e-03 5.0886e+01 1.7045e-02 1.4740e-02 1.1033e-02 1.3563e+02 9.0381e+01 0.0000e+00 0.0000e+00
1.3819e-03 8.6917e+02 2.0644e-02 -3.1276e-03 1.7313e+03 1.4469e+03 -2.7326e-03 5.0886e+01 2.0042e-02 1.7322e-02 1.2943e-02 1.3561e+02 9.0364e+01 0.0000e+00 0.0000e+00
1.4983e-03 9.3527e+02 2.2047e-02 -3.9467e-03 1.8654e+03 1.4713e+03 -3.1893e-03 5.0885e+01 2.3568e-02 2.0354e-02 1.5180e-02 1.3560e+02 9.0345e+01 0.0000e+00 0.0000e+00
1.6246e-03 1.0060e+03 2.3761e-02 -4.9790e-03 2.0084e+03 1.4991e+03 -3.7179e-03 5.0884e+01 2.7716e-02 2.3911e-02 1.7795e-02 1.3558e+02 9.0322e+01 0.0000e+00 0.0000e+00
1.7614e-03 1.0814e+03 2.5883e-02 -6.2790e-03 2.1607e+03 1.5306e+03 -4.3279e-03 5.0884e+01 3.2595e-02 2.8084e-02 2.0852e-02 1.3556e+02 9.0295e+01 0.0000e+00 0.0000e+00
1.9098e-03 1.1618e+03 2.8536e-02 -7.9140e-03 2.3226e+03 1.5664e+03 -5.0296e-03 5.0883e+01 3.8336e-02 3.2973e-02 2.4421e-02 1.3553e+02 9.0263e+01 0.0000e+00 0.0000e+00
2.0706e-03 1.2472e+03 3.1882e-02 -9.9672e-03 2.4944e+03 1.6069e+03 -5.8336e-03 5.0881e+01 4.5092e-02 3.8698e-02 2.8583e-02 1.3550e+02 9.0226e+01 0.0000e+00 0.0000e+00
2.2450e-03 1.3379e+03 3.6134e-02 -1.2541e-02 2.6764e+03 1.6525e+03 -6.7504e-03 5.0880e+01 5.3043e-02 4.5395e-02 3.3431e-02 1.3547e+02 9.0183e+01 0.0000e+00 0.0000e+00
