# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 2.6029e+03 2.6937e-01 -2.0015e-02 5.1451e+03 5.5438e+03 -2.3682e-02 8.2582e+02 1.7017e-01 1.4729e-01 1.1071e-01 2.2015e+03 1.4673e+03 0.0000e+00 0.0000e+00
1.0842e-03 2.8042e+03 2.7947e-01 -2.5254e-02 5.5563e+03 5.6012e+03 -2.7733e-02 8.2582e+02 2.0008e-01 1.7314e-01 1.2998e-01 2.2014e+03 1.4672e+03 0.0000e+00 0.0000e+00
1.1756e-03 3.0205e+03 2.9098e-01 -3.1869e-02 5.9973e+03 5.6671e+03 -3.2456e-02 8.2581e+02 2.3525e-01 2.0352e-01 1.5257e-01 2.2012e+03 1.4670e+03 0.0000e+00 0.0000e+00
1.2746e-03 3.2526e+03 3.0432e-01 -4.0218e-02 6.4697e+03 5.7425e+03 -3.7954e-02 8.2580e+02 2.7661e-01 2.3920e-01 1.7904e-01 2.2010e+03 1.4667e+03 0.0000e+00 0.0000e+00
1.3819e-03 3.5013e+03 3.2003e-01 -5.0755e-02 6.9751e+03 5.8286e+03 -4.4344e-02 8.2579e+02 3.2525e-01 2.8110e-01 2.1004e-01 2.2008e+03 1.4665e+03 0.0000e+00 0.0000e+00
1.4983e-03 3.7676e+03 3.3880e-01 -6.4046e-02 7.5150e+03 5.9269e+03 -5.1756e-02 8.2578e+02 3.8247e-01 3.3030e-01 2.4633e-01 2.2005e+03 1.4661e+03 0.0000e+00 0.0000e+00
1.6246e-03 4.0523e+03 3.6161e-01 -8.0798e-02 8.0911e+03 6.0388e+03 -6.0334e-02 8.2577e+02 4.4978e-01 3.8803e-01 2.8877e-01 2.2002e+03 1.4658e+03 0.0000e+00 0.0000e+00
1.7614e-03 4.3562e+03 3.8972e-01 -1.0189e-01 8.7045e+03 6.1660e+03 -7.0233e-02 8.2576e+02 5.2896e-01 4.5573e-01 3.3837e-01 2.1999e+03 1.4653e+03 0.0000e+00 0.0000e+00
1.9098e-03 4.6799e+03 4.2480e-01 -1.2842e-01 9.3567e+03 6.3102e+03 -8.1619e-02 8.2574e+02 6.2212e-01 5.3507e-01 3.9629e-01 2.1995e+03 1.4648e+03 0.0000e+00 0.0000e+00
2.0706e-03 5.0241e+03 4.6907e-01 -1.6174e-01 1.0049e+04 6.4733e+03 -9.4665e-02 8.2572e+02 7.3175e-01 6.2797e-01 4.6383e-01 2.1990e+03 1.4642e+03 0.0000e+00 0.0000e+00
2.2450e-03 5.3892e+03 5.2546e-01 -2.0350e-01 1.0782e+04 6.6571e+03 -1.0954e-01 8.2570e+02 8.6077e-01 7.3663e-01 5.4250e-01 2.1984e+03 1.4635e+03 0.0000e+00 0.0000e+00
2.4341e-03 5.7752e+03 5.9780e-01 -2.5573e-01 1.1556e+04 6.8638e+03 -1.2641e-01 8.2567e+02 1.0127e+00 8.6356e-01 6.3400e-01 2.1977e+03 1.4626e+03 0.0000e+00 0.0000e+00
2.6392e-03 6.1824e+03 6.9104e-01 -3.2088e-01 1.2372e+04 7.0955e+03 -1.4540e-01 8.2564e+02 1.1915e+00 1.0116e+00 7.4024e-01 2.1969e+03 1.4617e+03 0.0000e+00 0.0000e+00
2.8615e-03 6.6106e+03 8.1158e-01 -4.0194e-01 1.3229e+04 7.3541e+03 -1.6661e-01 8.2560e+02 1.4021e+00 1.1839e+00 8.6337e-01 2.1960e+03 1.4606e+03 0.0000e+00 0.0000e+00
