# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 2.8775e+03 3.2821e-01 -2.4461e-02 5.6881e+03 6.1288e+03 -2.8944e-02 1.0093e+03 2.0798e-01 1.8001e-01 1.3531e-01 2.6906e+03 1.7934e+03 0.0000e+00 0.0000e+00
1.0842e-03 3.1001e+03 3.4029e-01 -3.0865e-02 6.1427e+03 6.1923e+03 -3.3895e-02 1.0093e+03 2.4453e-01 2.1161e-01 1.5886e-01 2.6905e+03 1.7931e+03 0.0000e+00 0.0000e+00
1.1756e-03 3.3392e+03 3.5403e-01 -3.8949e-02 6.6302e+03 6.2651e+03 -3.9667e-02 1.0093e+03 2.8751e-01 2.4873e-01 1.8647e-01 2.6903e+03 1.7929e+03 0.0000e+00 0.0000e+00
1.2746e-03 3.5958e+03 3.6990e-01 -4.9154e-02 7.1524e+03 6.3484e+03 -4.6387e-02 1.0093e+03 3.3806e-01 2.9234e-01 2.1882e-01 2.6900e+03 1.7926e+03 0.0000e+00 0.0000e+00
1.3819e-03 3.8707e+03 3.8856e-01 -6.2032e-02 7.7112e+03 6.4437e+03 -5.4196e-02 1.0093e+03 3.9752e-01 3.4356e-01 2.5671e-01 2.6898e+03 1.7923e+03 0.0000e+00 0.0000e+00
1.4983e-03 4.1651e+03 4.1082e-01 -7.8275e-02 8.3081e+03 6.5523e+03 -6.3255e-02 1.0093e+03 4.6745e-01 4.0368e-01 3.0106e-01 2.6894e+03 1.7919e+03 0.0000e+00 0.0000e+00
1.6246e-03 4.4799e+03 4.3784e-01 -9.8749e-02 8.9449e+03 6.6761e+03 -7.3739e-02 1.0092e+03 5.4970e-01 4.7423e-01 3.5293e-01 2.6891e+03 1.7914e+03 0.0000e+00 0.0000e+00
1.7614e-03 4.8158e+03 4.7110e-01 -1.2453e-01 9.6231e+03 6.8167e+03 -8.5837e-02 1.0092e+03 6.4648e-01 5.5697e-01 4.1355e-01 2.6886e+03 1.7909e+03 0.0000e+00 0.0000e+00
1.9098e-03 5.1737e+03 5.1261e-01 -1.5696e-01 1.0344e+04 6.9761e+03 -9.9753e-02 1.0092e+03 7.6034e-01 6.5394e-01 4.8433e-01 2.6881e+03 1.7902e+03 0.0000e+00 0.0000e+00
2.0706e-03 5.5542e+03 5.6500e-01 -1.9767e-01 1.1109e+04 7.1563e+03 -1.1570e-01 1.0092e+03 8.9432e-01 7.6748e-01 5.6687e-01 2.6875e+03 1.7895e+03 0.0000e+00 0.0000e+00
2.2450e-03 5.9578e+03 6.3176e-01 -2.4871e-01 1.1919e+04 7.3596e+03 -1.3388e-01 1.0091e+03 1.0520e+00 9.0028e-01 6.6302e-01 2.6868e+03 1.7886e+03 0.0000e+00 0.0000e+00
2.4341e-03 6.3846e+03 7.1745e-01 -3.1254e-01 1.2775e+04 7.5881e+03 -1.5449e-01 1.0091e+03 1.2376e+00 1.0554e+00 7.7485e-01 2.6860e+03 1.7876e+03 0.0000e+00 0.0000e+00
2.6392e-03 6.8347e+03 8.2800e-01 -3.9217e-01 1.3677e+04 7.8442e+03 -1.7771e-01 1.0091e+03 1.4562e+00 1.2363e+00 9.0470e-01 2.6850e+03 1.7864e+03 0.0000e+00 0.0000e+00
2.8615e-03 7.3080e+03 9.7106e-01 -4.9124e-01 1.4625e+04 8.1301e+03 -2.0362e-01 1.0090e+03 1.7136e+00 1.4469e+00 1.0552e+00 2.6839e+03 1.7850e+03 0.0000e+00 0.0000e+00
3.1025e-03 7.8041e+03 1.1564e+00 -6.1414e-01 1.5619e+04 8.4481e+03 -2.3223e-01 1.0090e+03 2.0167e+00 1.6915e+00 1.2292e+00 2.6826e+03 1.7834e+03 0.0000e+00 0.0000e+00
3.3638e-03 8.3227e+03 1.3962e+00 -7.6615e-01 1.6658e+04 8.8001e+03 -2.6340e-01 1.0089e+03 2.3740e+00 1.9748e+00 1.4298e+00 2.6810e+03 1.7816e+03 0.0000e+00 0.0000e+00
3.6472e-03 8.8631e+03 1.7056e+00 -9.5362e-01 1.7740e+04 9.1879e+03 -2.9672e-01 1.0088e+03 2.7950e+00 2.3017e+00 1.6606e+00 2.6792e+03 1.7794e+03 0.0000e+00 0.0000e+00
