# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 2.3592e+03 2.2190e-01 -1.6443e-02 4.6635e+03 5.0250e+03 -1.9457e-02 6.7848e+02 1.3981e-01 1.2101e-01 9.0959e-02 1.8087e+03 1.2055e+03 0.0000e+00 0.0000e+00
1.0842e-03 2.5418e+03 2.3036e-01 -2.0748e-02 5.0362e+03 5.0770e+03 -2.2785e-02 6.7847e+02 1.6438e-01 1.4225e-01 1.0679e-01 1.8086e+03 1.2054e+03 0.0000e+00 0.0000e+00
1.1756e-03 2.7378e+03 2.4002e-01 -2.6183e-02 5.4359e+03 5.1367e+03 -2.6665e-02 6.7847e+02 1.9327e-01 1.6720e-01 1.2535e-01 1.8085e+03 1.2052e+03 0.0000e+00 0.0000e+00
1.2746e-03 2.9481e+03 2.5124e-01 -3.3043e-02 5.8641e+03 5.2050e+03 -3.1182e-02 6.7846e+02 2.2725e-01 1.9652e-01 1.4710e-01 1.8083e+03 1.2050e+03 0.0000e+00 0.0000e+00
1.3819e-03 3.1736e+03 2.6446e-01 -4.1700e-02 6.3222e+03 5.2831e+03 -3.6432e-02 6.7845e+02 2.6722e-01 2.3095e-01 1.7257e-01 1.8081e+03 1.2048e+03 0.0000e+00 0.0000e+00
1.4983e-03 3.4150e+03 2.8029e-01 -5.2619e-02 6.8116e+03 5.3722e+03 -4.2522e-02 6.7844e+02 3.1423e-01 2.7137e-01 2.0238e-01 1.8079e+03 1.2045e+03 0.0000e+00 0.0000e+00
1.6246e-03 3.6730e+03 2.9955e-01 -6.6382e-02 7.3338e+03 5.4737e+03 -4.9569e-02 6.7843e+02 3.6953e-01 3.1879e-01 2.3725e-01 1.8077e+03 1.2042e+03 0.0000e+00 0.0000e+00
1.7614e-03 3.9485e+03 3.2328e-01 -8.3713e-02 7.8898e+03 5.5890e+03 -5.7702e-02 6.7842e+02 4.3458e-01 3.7442e-01 2.7800e-01 1.8074e+03 1.2039e+03 0.0000e+00 0.0000e+00
1.9098e-03 4.2420e+03 3.5292e-01 -1.0551e-01 8.4810e+03 5.7196e+03 -6.7057e-02 6.7841e+02 5.1112e-01 4.3960e-01 3.2558e-01 1.8070e+03 1.2034e+03 0.0000e+00 0.0000e+00
2.0706e-03 4.5540e+03 3.9032e-01 -1.3288e-01 9.1083e+03 5.8674e+03 -7.7775e-02 6.7839e+02 6.0119e-01 5.1593e-01 3.8107e-01 1.8066e+03 1.2029e+03 0.0000e+00 0.0000e+00
2.2450e-03 4.8848e+03 4.3794e-01 -1.6719e-01 9.7725e+03 6.0341e+03 -8.9998e-02 6.7837e+02 7.0719e-01 6.0520e-01 4.4571e-01 1.8062e+03 1.2024e+03 0.0000e+00 0.0000e+00
2.4341e-03 5.2348e+03 4.9899e-01 -2.1010e-01 1.0474e+04 6.2214e+03 -1.0386e-01 6.7835e+02 8.3198e-01 7.0949e-01 5.2088e-01 1.8056e+03 1.2017e+03 0.0000e+00 0.0000e+00
2.6392e-03 5.6039e+03 5.7762e-01 -2.6363e-01 1.1214e+04 6.4314e+03 -1.1946e-01 6.7832e+02 9.7890e-01 8.3112e-01 6.0817e-01 1.8050e+03 1.2009e+03 0.0000e+00 0.0000e+00
2.8615e-03 5.9920e+03 6.7920e-01 -3.3023e-01 1.1991e+04 6.6658e+03 -1.3688e-01 6.7829e+02 1.1519e+00 9.7271e-01 7.0933e-01 1.8042e+03 1.2000e+03 0.0000e+00 0.0000e+00
3.1025e-03 6.3988e+03 8.1052e-01 -4.1285e-01 1.2806e+04 6.9265e+03 -1.5612e-01 6.7825e+02 1.3557e+00 1.1371e+00 8.2631e-01 1.8033e+03 1.1989e+03 0.0000e+00 0.0000e+00
3.3638e-03 6.8241e+03 9.8014e-01 -5.1505e-01 1.3658e+04 7.2151e+03 -1.7707e-01 6.7821e+02 1.5959e+00 1.3276e+00 9.6121e-01 1.8023e+03 1.1976e+03 0.0000e+00 0.0000e+00
3.6472e-03 7.2672e+03 1.1986e+00 -6.4108e-01 1.4545e+04 7.5330e+03 -1.9947e-01 6.7816e+02 1.8789e+00 1.5474e+00 1.1163e+00 1.8011e+03 1.1962e+03 0.0000e+00 0.0000e+00
