# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 6.0987e+02 1.5115e-02 -1.0988e-03 1.2054e+03 1.2990e+03 -1.3002e-03 4.5338e+01 9.3425e-03 8.0864e-03 6.0783e-03 1.2086e+02 8.0559e+01 0.0000e+00 0.0000e+00
1.0842e-03 6.5707e+02 1.5757e-02 -1.3865e-03 1.3017e+03 1.3124e+03 -1.5226e-03 4.5338e+01 1.0984e-02 9.5058e-03 7.1363e-03 1.2086e+02 8.0549e+01 0.0000e+00 0.0000e+00
1.1756e-03 7.0775e+02 1.6499e-02 -1.7497e-03 1.4051e+03 1.3279e+03 -1.7819e-03 4.5338e+01 1.2915e-02 1.1174e-02 8.3765e-03 1.2085e+02 8.0539e+01 0.0000e+00 0.0000e+00
1.2746e-03 7.6212e+02 1.7371e-02 -2.2081e-03 1.5158e+03 1.3455e+03 -2.0838e-03 4.5337e+01 1.5186e-02 1.3133e-02 9.8299e-03 1.2084e+02 8.0526e+01 0.0000e+00 0.0000e+00
1.3819e-03 8.2041e+02 1.8409e-02 -2.7866e-03 1.6342e+03 1.3657e+03 -2.4346e-03 4.5337e+01 1.7857e-02 1.5433e-02 1.1532e-02 1.2083e+02 8.0511e+01 0.0000e+00 0.0000e+00
1.4983e-03 8.8281e+02 1.9662e-02 -3.5163e-03 1.7607e+03 1.3888e+03 -2.8416e-03 4.5336e+01 2.0998e-02 1.8135e-02 1.3524e-02 1.2081e+02 8.0493e+01 0.0000e+00 0.0000e+00
1.6246e-03 9.4953e+02 2.1195e-02 -4.4361e-03 1.8957e+03 1.4150e+03 -3.3125e-03 4.5336e+01 2.4694e-02 2.1304e-02 1.5855e-02 1.2080e+02 8.0473e+01 0.0000e+00 0.0000e+00
1.7614e-03 1.0207e+03 2.3091e-02 -5.5943e-03 2.0395e+03 1.4448e+03 -3.8560e-03 4.5335e+01 2.9041e-02 2.5021e-02 1.8578e-02 1.2078e+02 8.0449e+01 0.0000e+00 0.0000e+00
1.9098e-03 1.0966e+03 2.5463e-02 -7.0510e-03 2.1923e+03 1.4786e+03 -4.4812e-03 4.5334e+01 3.4156e-02 2.9378e-02 2.1758e-02 1.2076e+02 8.0420e+01 0.0000e+00 0.0000e+00
2.0706e-03 1.1773e+03 2.8455e-02 -8.8803e-03 2.3545e+03 1.5168e+03 -5.1975e-03 4.5333e+01 4.0175e-02 3.4479e-02 2.5466e-02 1.2073e+02 8.0387e+01 0.0000e+00 0.0000e+00
2.2450e-03 1.2628e+03 3.2256e-02 -1.1173e-02 2.5262e+03 1.5598e+03 -6.0143e-03 4.5332e+01 4.7259e-02 4.0445e-02 2.9786e-02 1.2070e+02 8.0349e+01 0.0000e+00 0.0000e+00
2.4341e-03 1.3533e+03 3.7113e-02 -1.4041e-02 2.7077e+03 1.6083e+03 -6.9405e-03 4.5331e+01 5.5599e-02 4.7416e-02 3.4811e-02 1.2066e+02 8.0304e+01 0.0000e+00 0.0000e+00
