# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 3.5317e+03 4.9083e-01 -3.6849e-02 6.9817e+03 7.5222e+03 -4.3601e-02 1.5204e+03 3.1330e-01 2.7117e-01 2.0383e-01 4.0532e+03 2.7015e+03 0.0000e+00 0.0000e+00
1.0842e-03 3.8050e+03 5.0806e-01 -4.6495e-02 7.5396e+03 7.6001e+03 -5.1059e-02 1.5204e+03 3.6836e-01 3.1877e-01 2.3931e-01 4.0529e+03 2.7012e+03 0.0000e+00 0.0000e+00
1.1756e-03 4.0984e+03 5.2755e-01 -5.8673e-02 8.1379e+03 7.6895e+03 -5.9755e-02 1.5204e+03 4.3311e-01 3.7469e-01 2.8090e-01 4.0526e+03 2.7009e+03 0.0000e+00 0.0000e+00
1.2746e-03 4.4133e+03 5.4993e-01 -7.4046e-02 8.7789e+03 7.7918e+03 -6.9877e-02 1.5204e+03 5.0926e-01 4.4039e-01 3.2963e-01 4.0523e+03 2.7004e+03 0.0000e+00 0.0000e+00
1.3819e-03 4.7507e+03 5.7609e-01 -9.3445e-02 9.4646e+03 7.9087e+03 -8.1642e-02 1.5204e+03 5.9882e-01 5.1754e-01 3.8671e-01 4.0519e+03 2.6999e+03 0.0000e+00 0.0000e+00
1.4983e-03 5.1121e+03 6.0719e-01 -1.1791e-01 1.0197e+04 8.0420e+03 -9.5288e-02 1.5204e+03 7.0417e-01 6.0811e-01 4.5352e-01 4.0514e+03 2.6993e+03 0.0000e+00 0.0000e+00
1.6246e-03 5.4983e+03 6.4480e-01 -1.4876e-01 1.0979e+04 8.1939e+03 -1.1108e-01 1.5203e+03 8.2808e-01 7.1439e-01 5.3165e-01 4.0509e+03 2.6986e+03 0.0000e+00 0.0000e+00
1.7614e-03 5.9107e+03 6.9101e-01 -1.8759e-01 1.1811e+04 8.3665e+03 -1.2930e-01 1.5203e+03 9.7386e-01 8.3902e-01 6.2297e-01 4.0502e+03 2.6978e+03 0.0000e+00 0.0000e+00
1.9098e-03 6.3499e+03 7.4863e-01 -2.3644e-01 1.2696e+04 8.5621e+03 -1.5027e-01 1.5203e+03 1.1454e+00 9.8509e-01 7.2959e-01 4.0494e+03 2.6968e+03 0.0000e+00 0.0000e+00
2.0706e-03 6.8169e+03 8.2138e-01 -2.9777e-01 1.3635e+04 8.7834e+03 -1.7429e-01 1.5202e+03 1.3472e+00 1.1561e+00 8.5393e-01 4.0485e+03 2.6957e+03 0.0000e+00 0.0000e+00
2.2450e-03 7.3121e+03 9.1418e-01 -3.7465e-01 1.4629e+04 9.0328e+03 -2.0167e-01 1.5202e+03 1.5847e+00 1.3562e+00 9.9876e-01 4.0474e+03 2.6944e+03 0.0000e+00 0.0000e+00
2.4341e-03 7.8359e+03 1.0335e+00 -4.7080e-01 1.5680e+04 9.3133e+03 -2.3273e-01 1.5201e+03 1.8644e+00 1.5898e+00 1.1672e+00 4.0462e+03 2.6928e+03 0.0000e+00 0.0000e+00
2.6392e-03 8.3883e+03 1.1878e+00 -5.9075e-01 1.6787e+04 9.6277e+03 -2.6769e-01 1.5201e+03 2.1936e+00 1.8624e+00 1.3628e+00 4.0447e+03 2.6911e+03 0.0000e+00 0.0000e+00
2.8615e-03 8.9692e+03 1.3881e+00 -7.3998e-01 1.7950e+04 9.9786e+03 -3.0673e-01 1.5200e+03 2.5813e+00 2.1796e+00 1.5895e+00 4.0430e+03 2.6890e+03 0.0000e+00 0.0000e+00
3.1025e-03 9.5780e+03 1.6481e+00 -9.2510e-01 1.9170e+04 1.0369e+04 -3.4983e-01 1.5199e+03 3.0380e+00 2.5480e+00 1.8515e+00 4.0410e+03 2.6865e+03 0.0000e+00 0.0000e+00
3.3638e-03 1.0214e+04 1.9856e+00 -1.1541e+00 2.0445e+04 1.0801e+04 -3.9677e-01 1.5198e+03 3.5761e+00 2.9747e+00 2.1538e+00 4.0386e+03 2.6837e+03 0.0000e+00 0.0000e+00
3.6472e-03 1.0877e+04 2.4221e+00 -1.4364e+00 2.1773e+04 1.1277e+04 -4.4696e-01 1.5197e+03 4.2103e+00 3.4671e+00 2.5014e+00 4.0359e+03 2.6804e+03 0.0000e+00 0.0000e+00
3.9544e-03 1.1566e+04 2.9840e+00 -1.7837e+00 2.3151e+04 1.1798e+04 -4.9932e-01 1.5196e+03 4.9581e+00 4.0331e+00 2.8997e+00 4.0326e+03 2.6766e+03 0.0000e+00 0.0000e+00
4.2875e-03 1.2280e+04 3.7025e+00 -2.2094e+00 2.4577e+04 1.2366e+04 -5.5204e-01 1.5194e+03 5.8401e+00 4.6808e+00 3.3543e+00 4.0288e+03 2.6722e+03 0.0000e+00 0.0000e+00
4.6486e-03 1.3016e+04 4.6137e+00 -2.7297e+00 2.6044e+04 1.2980e+04 -6.0231e-01 1.5192e+03 6.8808e+00 5.4175e+00 3.8711e+00 4.0244e+03 2.6671e+03 0.0000e+00 0.0000e+00
5.0402e-03 1.3770e+04 5.7583e+00 -3.3631e+00 2.7549e+04 1.3639e+04 -6.4594e-01 1.5190e+03 8.1092e+00 6.2499e+00 4.4553e+00 4.0193e+03 2.6611e+03 0.0000e+00 0.0000e+00
5.4648e-03 1.4539e+04 7.1807e+00 -4.1303e+00 2.9083e+04 1.4339e+04 -6.7687e-01 1.5187e+03 9.5596e+00 7.1832e+00 5.1119e+00 4.0132e+03 2.6543e+03 0.0000e+00 0.0000e+00
5.9251e-03 1.5315e+04 8.9281e+00 -5.0542e+00 3.0636e+04 1.5077e+04 -6.8659e-01 1.5184e+03 1.1273e+01 8.2196e+00 5.8449e+00 4.0062e+03 2.6465e+03 0.0000e+00 0.0000e+00
6.4242e-03 1.6091e+04 1.1050e+01 -6.1596e+00 3.2198e+04 1.5845e+04 -6.6328e-01 1.5180e+03 1.3297e+01 9.3582e+00 6.6566e+00 3.9981e+03 2.6375e+03 0.0000e+00 0.0000e+00
6.9653e-03 1.6860e+04 1.3596e+01 -7.4738e+00 3.3753e+04 1.6634e+04 -5.9087e-01 1.5176e+03 1.5690e+01 1.0593e+01 7.5474e+00 3.9886e+03 2.6272e+03 0.0000e+00 0.0000e+00
7.5520e-03 1.7619e+04 1.6622e+01 -9.0273e+00 3.5285e+04 1.7433e+04 -4.4780e-01 1.5171e+03 1.8518e+01 1.1912e+01 8.5145e+00 3.9776e+03 2.6155e+03 0.0000e+00 0.0000e+00
8.1881e-03 1.8361e+04 2.0192e+01 -1.0853e+01 3.6773e+04 1.8226e+04 -2.0559e-01 1.5165e+03 2.1861e+01 1.3296e+01 9.5512e+00 3.9649e+03 2.6021e+03 0.0000e+00 0.0000e+00
8.8778e-03 1.9074e+04 2.4387e+01 -1.2979e+01 3.8197e+04 1.8999e+04 1.7292e-01 1.5158e+03 2.5812e+01 1.4718e+01 1.0646e+01 3.9503e+03 2.5870e+03 0.0000e+00 0.0000e+00
