# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 3.1863e+03 4.0105e-01 -2.9993e-02 6.2986e+03 6.7864e+03 -3.5489e-02 1.2375e+03 2.5501e-01 2.2072e-01 1.6591e-01 3.2990e+03 2.1989e+03 0.0000e+00 0.0000e+00
1.0842e-03 3.4328e+03 4.1549e-01 -3.7844e-02 6.8020e+03 6.8567e+03 -4.1559e-02 1.2375e+03 2.9982e-01 2.5946e-01 1.9478e-01 3.2988e+03 2.1986e+03 0.0000e+00 0.0000e+00
1.1756e-03 3.6975e+03 4.3187e-01 -4.7756e-02 7.3418e+03 6.9373e+03 -4.8636e-02 1.2375e+03 3.5253e-01 3.0498e-01 2.2863e-01 3.2986e+03 2.1983e+03 0.0000e+00 0.0000e+00
1.2746e-03 3.9816e+03 4.5075e-01 -6.0269e-02 7.9200e+03 7.0296e+03 -5.6876e-02 1.2375e+03 4.1451e-01 3.5845e-01 2.6830e-01 3.2983e+03 2.1980e+03 0.0000e+00 0.0000e+00
1.3819e-03 4.2861e+03 4.7287e-01 -7.6059e-02 8.5387e+03 7.1351e+03 -6.6452e-02 1.2375e+03 4.8740e-01 4.2124e-01 3.1476e-01 3.2980e+03 2.1975e+03 0.0000e+00 0.0000e+00
1.4983e-03 4.6120e+03 4.9923e-01 -9.5975e-02 9.1997e+03 7.2554e+03 -7.7559e-02 1.2375e+03 5.7315e-01 4.9496e-01 3.6914e-01 3.2976e+03 2.1971e+03 0.0000e+00 0.0000e+00
1.6246e-03 4.9606e+03 5.3117e-01 -1.2108e-01 9.9048e+03 7.3924e+03 -9.0413e-02 1.2375e+03 6.7401e-01 5.8147e-01 4.3274e-01 3.2971e+03 2.1965e+03 0.0000e+00 0.0000e+00
1.7614e-03 5.3326e+03 5.7046e-01 -1.5269e-01 1.0656e+04 7.5481e+03 -1.0525e-01 1.2374e+03 7.9266e-01 6.8292e-01 5.0706e-01 3.2966e+03 2.1958e+03 0.0000e+00 0.0000e+00
1.9098e-03 5.7289e+03 6.1947e-01 -1.9245e-01 1.1454e+04 7.7246e+03 -1.2231e-01 1.2374e+03 9.3227e-01 8.0180e-01 5.9384e-01 3.2960e+03 2.1950e+03 0.0000e+00 0.0000e+00
2.0706e-03 6.1502e+03 6.8133e-01 -2.4237e-01 1.2301e+04 7.9242e+03 -1.4186e-01 1.2374e+03 1.0965e+00 9.4101e-01 6.9505e-01 3.2952e+03 2.1941e+03 0.0000e+00 0.0000e+00
