# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 7.2872e+02 2.1552e-02 -1.5688e-03 1.4403e+03 1.5521e+03 -1.8563e-03 6.4731e+01 1.3339e-02 1.1545e-02 8.6782e-03 1.7256e+02 1.1502e+02 0.0000e+00 0.0000e+00
1.0842e-03 7.8512e+02 2.2461e-02 -1.9795e-03 1.5554e+03 1.5682e+03 -2.1738e-03 6.4731e+01 1.5683e-02 1.3572e-02 1.0189e-02 1.7255e+02 1.1500e+02 0.0000e+00 0.0000e+00
1.1756e-03 8.4567e+02 2.3512e-02 -2.4980e-03 1.6789e+03 1.5866e+03 -2.5440e-03 6.4730e+01 1.8440e-02 1.5953e-02 1.1959e-02 1.7254e+02 1.1499e+02 0.0000e+00 0.0000e+00
1.2746e-03 9.1064e+02 2.4744e-02 -3.1525e-03 1.8112e+03 1.6077e+03 -2.9750e-03 6.4730e+01 2.1682e-02 1.8750e-02 1.4034e-02 1.7252e+02 1.1497e+02 0.0000e+00 0.0000e+00
1.3819e-03 9.8029e+02 2.6211e-02 -3.9785e-03 1.9527e+03 1.6319e+03 -3.4759e-03 6.4729e+01 2.5495e-02 2.2035e-02 1.6465e-02 1.7251e+02 1.1495e+02 0.0000e+00 0.0000e+00
1.4983e-03 1.0549e+03 2.7981e-02 -5.0203e-03 2.1039e+03 1.6594e+03 -4.0570e-03 6.4728e+01 2.9980e-02 2.5891e-02 1.9309e-02 1.7249e+02 1.1492e+02 0.0000e+00 0.0000e+00
1.6246e-03 1.1346e+03 3.0146e-02 -6.3335e-03 2.2652e+03 1.6907e+03 -4.7293e-03 6.4727e+01 3.5256e-02 3.0416e-02 2.2636e-02 1.7247e+02 1.1489e+02 0.0000e+00 0.0000e+00
1.7614e-03 1.2197e+03 3.2824e-02 -7.9871e-03 2.4369e+03 1.7263e+03 -5.5053e-03 6.4726e+01 4.1463e-02 3.5723e-02 2.6524e-02 1.7244e+02 1.1486e+02 0.0000e+00 0.0000e+00
1.9098e-03 1.3103e+03 3.6172e-02 -1.0067e-02 2.6196e+03 1.7667e+03 -6.3979e-03 6.4725e+01 4.8765e-02 4.1943e-02 3.1064e-02 1.7241e+02 1.1482e+02 0.0000e+00 0.0000e+00
2.0706e-03 1.4067e+03 4.0396e-02 -1.2679e-02 2.8134e+03 1.8123e+03 -7.4206e-03 6.4724e+01 5.7359e-02 4.9226e-02 3.6359e-02 1.7237e+02 1.1477e+02 0.0000e+00 0.0000e+00
2.2450e-03 1.5089e+03 4.5763e-02 -1.5952e-02 3.0185e+03 1.8638e+03 -8.5868e-03 6.4722e+01 6.7473e-02 5.7745e-02 4.2526e-02 1.7232e+02 1.1472e+02 0.0000e+00 0.0000e+00
2.4341e-03 1.6170e+03 5.2621e-02 -2.0047e-02 3.2353e+03 1.9217e+03 -9.9092e-03 6.4720e+01 7.9380e-02 6.7696e-02 4.9700e-02 1.7227e+02 1.1465e+02 0.0000e+00 0.0000e+00
2.6392e-03 1.7311e+03 6.1420e-02 -2.5155e-02 3.4638e+03 1.9865e+03 -1.1398e-02 6.4718e+01 9.3398e-02 7.9303e-02 5.8029e-02 1.7221e+02 1.1458e+02 0.0000e+00 0.0000e+00
2.8615e-03 1.8510e+03 7.2733e-02 -3.1510e-02 3.7040e+03 2.0589e+03 -1.3060e-02 6.4715e+01 1.0991e-01 9.2815e-02 6.7683e-02 1.7214e+02 1.1449e+02 0.0000e+00 0.0000e+00
3.1025e-03 1.9767e+03 8.7289e-02 -3.9394e-02 3.9558e+03 2.1395e+03 -1.4896e-02 6.4711e+01 1.2936e-01 1.0851e-01 7.8845e-02 1.7206e+02 1.1439e+02 0.0000e+00 0.0000e+00
3.3638e-03 2.1081e+03 1.0600e-01 -4.9146e-02 4.2189e+03 2.2286e+03 -1.6895e-02 6.4708e+01 1.5227e-01 1.2668e-01 9.1720e-02 1.7196e+02 1.1427e+02 0.0000e+00 0.0000e+00
3.6472e-03 2.2451e+03 1.2999e-01 -6.1174e-02 4.4931e+03 2.3268e+03 -1.9033e-02 6.4703e+01 1.7928e-01 1.4766e-01 1.0653e-01 1.7185e+02 1.1413e+02 0.0000e+00 0.0000e+00
3.9544e-03 2.3874e+03 1.6064e-01 -7.5967e-02 4.7776e+03 2.4343e+03 -2.1264e-02 6.4698e+01 2.1113e-01 1.7178e-01 1.2350e-01 1.7171e+02 1.1397e+02 0.0000e+00 0.0000e+00
4.2875e-03 2.5348e+03 1.9957e-01 -9.4105e-02 5.0720e+03 2.5515e+03 -2.3510e-02 6.4692e+01 2.4870e-01 1.9938e-01 1.4287e-01 1.7156e+02 1.1379e+02 0.0000e+00 0.0000e+00
4.6486e-03 2.6869e+03 2.4870e-01 -1.1627e-01 5.3751e+03 2.6781e+03 -2.5651e-02 6.4684e+01 2.9303e-01 2.3078e-01 1.6489e-01 1.7137e+02 1.1357e+02 0.0000e+00 0.0000e+00
5.0402e-03 2.8429e+03 3.1020e-01 -1.4327e-01 5.6858e+03 2.8140e+03 -2.7511e-02 6.4676e+01 3.4536e-01 2.6627e-01 1.8979e-01 1.7116e+02 1.1333e+02 0.0000e+00 0.0000e+00
5.4648e-03 3.0019e+03 3.8647e-01 -1.7597e-01 6.0026e+03 2.9585e+03 -2.8829e-02 6.4666e+01 4.0716e-01 3.0607e-01 2.1779e-01 1.7091e+02 1.1304e+02 0.0000e+00 0.0000e+00
5.9251e-03 3.1625e+03 4.8016e-01 -2.1536e-01 6.3235e+03 3.1106e+03 -2.9244e-02 6.4654e+01 4.8016e-01 3.5029e-01 2.4905e-01 1.7062e+02 1.1271e+02 0.0000e+00 0.0000e+00
6.4242e-03 3.3232e+03 5.9407e-01 -2.6249e-01 6.6462e+03 3.2690e+03 -2.8251e-02 6.4641e+01 5.6644e-01 3.9888e-01 2.8368e-01 1.7028e+02 1.1234e+02 0.0000e+00 0.0000e+00
