# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 1.4993e+03 9.0471e-02 -6.6410e-03 2.9635e+03 3.1934e+03 -7.8580e-03 2.7402e+02 5.6464e-02 4.8872e-02 3.6736e-02 7.3048e+02 4.8688e+02 0.0000e+00 0.0000e+00
1.0842e-03 1.6153e+03 9.4113e-02 -8.3795e-03 3.2004e+03 3.2265e+03 -9.2021e-03 2.7401e+02 6.6387e-02 5.7450e-02 4.3130e-02 7.3043e+02 4.8682e+02 0.0000e+00 0.0000e+00
1.1756e-03 1.7399e+03 9.8303e-02 -1.0574e-02 3.4544e+03 3.2644e+03 -1.0769e-02 2.7401e+02 7.8057e-02 6.7529e-02 5.0625e-02 7.3038e+02 4.8676e+02 0.0000e+00 0.0000e+00
1.2746e-03 1.8736e+03 1.0320e-01 -1.3345e-02 3.7265e+03 3.3078e+03 -1.2594e-02 2.7401e+02 9.1781e-02 7.9370e-02 5.9409e-02 7.3032e+02 4.8668e+02 0.0000e+00 0.0000e+00
1.3819e-03 2.0169e+03 1.0899e-01 -1.6841e-02 4.0177e+03 3.3575e+03 -1.4714e-02 2.7401e+02 1.0792e-01 9.3275e-02 6.9696e-02 7.3025e+02 4.8659e+02 0.0000e+00 0.0000e+00
1.4983e-03 2.1703e+03 1.1597e-01 -2.1251e-02 4.3287e+03 3.4141e+03 -1.7173e-02 2.7400e+02 1.2691e-01 1.0960e-01 8.1737e-02 7.3016e+02 4.8648e+02 0.0000e+00 0.0000e+00
1.6246e-03 2.3343e+03 1.2448e-01 -2.6810e-02 4.6606e+03 3.4786e+03 -2.0020e-02 2.7400e+02 1.4924e-01 1.2875e-01 9.5820e-02 7.3006e+02 4.8635e+02 0.0000e+00 0.0000e+00
1.7614e-03 2.5094e+03 1.3499e-01 -3.3810e-02 5.0140e+03 3.5518e+03 -2.3304e-02 2.7399e+02 1.7551e-01 1.5122e-01 1.1228e-01 7.2995e+02 4.8621e+02 0.0000e+00 0.0000e+00
1.9098e-03 2.6959e+03 1.4812e-01 -4.2614e-02 5.3897e+03 3.6349e+03 -2.7083e-02 2.7399e+02 2.0643e-01 1.7755e-01 1.3150e-01 7.2981e+02 4.8604e+02 0.0000e+00 0.0000e+00
2.0706e-03 2.8942e+03 1.6469e-01 -5.3669e-02 5.7884e+03 3.7288e+03 -3.1412e-02 2.7398e+02 2.4281e-01 2.0837e-01 1.5391e-01 7.2965e+02 4.8584e+02 0.0000e+00 0.0000e+00
2.2450e-03 3.1045e+03 1.8576e-01 -6.7526e-02 6.2105e+03 3.8347e+03 -3.6348e-02 2.7397e+02 2.8562e-01 2.4443e-01 1.8001e-01 7.2946e+02 4.8560e+02 0.0000e+00 0.0000e+00
2.4341e-03 3.3269e+03 2.1272e-01 -8.4857e-02 6.6565e+03 3.9538e+03 -4.1946e-02 2.7397e+02 3.3602e-01 2.8656e-01 2.1038e-01 7.2924e+02 4.8533e+02 0.0000e+00 0.0000e+00
2.6392e-03 3.5615e+03 2.4737e-01 -1.0648e-01 7.1266e+03 4.0872e+03 -4.8248e-02 2.7396e+02 3.9536e-01 3.3568e-01 2.4564e-01 7.2898e+02 4.8501e+02 0.0000e+00 0.0000e+00
2.8615e-03 3.8082e+03 2.9202e-01 -1.3338e-01 7.6207e+03 4.2362e+03 -5.5284e-02 2.7394e+02 4.6524e-01 3.9287e-01 2.8650e-01 7.2868e+02 4.8464e+02 0.0000e+00 0.0000e+00
3.1025e-03 4.0668e+03 3.4958e-01 -1.6675e-01 8.1387e+03 4.4018e+03 -6.3054e-02 2.7393e+02 5.4756e-01 4.5929e-01 3.3374e-01 7.2832e+02 4.8421e+02 0.0000e+00 0.0000e+00
3.3638e-03 4.3371e+03 4.2372e-01 -2.0803e-01 8.6800e+03 4.5852e+03 -7.1516e-02 2.7391e+02 6.4456e-01 5.3622e-01 3.8824e-01 7.2791e+02 4.8370e+02 0.0000e+00 0.0000e+00
3.6472e-03 4.6188e+03 5.1900e-01 -2.5894e-01 9.2440e+03 4.7873e+03 -8.0565e-02 2.7389e+02 7.5889e-01 6.2501e-01 4.5090e-01 7.2742e+02 4.8312e+02 0.0000e+00 0.0000e+00
3.9544e-03 4.9115e+03 6.4090e-01 -3.2154e-01 9.8294e+03 5.0086e+03 -9.0006e-02 2.7387e+02 8.9370e-01 7.2709e-01 5.2272e-01 7.2685e+02 4.8244e+02 0.0000e+00 0.0000e+00
4.2875e-03 5.2147e+03 7.9600e-01 -3.9831e-01 1.0435e+04 5.2496e+03 -9.9512e-02 2.7384e+02 1.0527e+00 8.4389e-01 6.0472e-01 7.2618e+02 4.8165e+02 0.0000e+00 0.0000e+00
4.6486e-03 5.5274e+03 9.9193e-01 -4.9214e-01 1.1058e+04 5.5101e+03 -1.0858e-01 2.7381e+02 1.2403e+00 9.7677e-01 6.9791e-01 7.2540e+02 4.8074e+02 0.0000e+00 0.0000e+00
5.0402e-03 5.8483e+03 1.2374e+00 -6.0636e-01 1.1698e+04 5.7897e+03 -1.1644e-01 2.7377e+02 1.4618e+00 1.1270e+00 8.0329e-01 7.2449e+02 4.7969e+02 0.0000e+00 0.0000e+00
5.4648e-03 6.1752e+03 1.5420e+00 -7.4475e-01 1.2349e+04 6.0871e+03 -1.2202e-01 2.7373e+02 1.7234e+00 1.2953e+00 9.2175e-01 7.2343e+02 4.7848e+02 0.0000e+00 0.0000e+00
5.9251e-03 6.5053e+03 1.9161e+00 -9.1142e-01 1.3009e+04 6.4002e+03 -1.2378e-01 2.7368e+02 2.0323e+00 1.4824e+00 1.0540e+00 7.2219e+02 4.7708e+02 0.0000e+00 0.0000e+00
6.4242e-03 6.8355e+03 2.3708e+00 -1.1109e+00 1.3673e+04 6.7261e+03 -1.1957e-01 2.7362e+02 2.3975e+00 1.6880e+00 1.2005e+00 7.2075e+02 4.7548e+02 0.0000e+00 0.0000e+00
6.9653e-03 7.1634e+03 2.9180e+00 -1.3481e+00 1.4334e+04 7.0609e+03 -1.0651e-01 2.7355e+02 2.8291e+00 1.9110e+00 1.3614e+00 7.1908e+02 4.7365e+02 0.0000e+00 0.0000e+00
7.5520e-03 7.4867e+03 3.5706e+00 -1.6285e+00 1.4986e+04 7.3997e+03 -8.0695e-02 2.7347e+02 3.3393e+00 2.1493e+00 1.5360e+00 7.1715e+02 4.7157e+02 0.0000e+00 0.0000e+00
8.1881e-03 7.8032e+03 4.3439e+00 -1.9581e+00 1.5619e+04 7.7365e+03 -3.6976e-02 2.7337e+02 3.9425e+00 2.3996e+00 1.7234e+00 7.1491e+02 4.6919e+02 0.0000e+00 0.0000e+00
8.8778e-03 8.1079e+03 5.2566e+00 -2.3422e+00 1.6225e+04 8.0641e+03 3.1364e-02 2.7326e+02 4.6555e+00 2.6570e+00 1.9213e+00 7.1233e+02 4.6651e+02 0.0000e+00 0.0000e+00
9.6256e-03 8.3930e+03 6.3319e+00 -2.7845e+00 1.6794e+04 8.3748e+03 1.3298e-01 2.7313e+02 5.4980e+00 2.9150e+00 2.1266e+00 7.0936e+02 4.6347e+02 0.0000e+00 0.0000e+00
1.0436e-02 8.6508e+03 7.5965e+00 -3.2874e+00 1.7317e+04 8.6601e+03 2.7887e-01 2.7297e+02 6.4926e+00 3.1654e+00 2.3349e+00 7.0594e+02 4.6007e+02 0.0000e+00 0.0000e+00
1.1315e-02 8.8789e+03 9.0764e+00 -3.8537e+00 1.7782e+04 8.9116e+03 4.8281e-01 2.7280e+02 7.6657e+00 3.3981e+00 2.5402e+00 7.0204e+02 4.5625e+02 0.0000e+00 0.0000e+00
1.2269e-02 9.0765e+03 1.0791e+01 -4.4855e+00 1.8179e+04 9.1209e+03 7.6185e-01 2.7259e+02 9.0469e+00 3.6008e+00 2.7349e+00 6.9758e+02 4.5201e+02 0.0000e+00 0.0000e+00
1.3302e-02 9.2343e+03 1.2750e+01 -5.1780e+00 1.8493e+04 9.2808e+03 1.1367e+00 2.7235e+02 1.0670e+01 3.7581e+00 2.9096e+00 6.9252e+02 4.4730e+02 0.0000e+00 0.0000e+00
1.4422e-02 9.3380e+03 1.4953e+01 -5.9186e+00 1.8708e+04 9.3852e+03 1.6319e+00 2.7207e+02 1.2572e+01 3.8513e+00 3.0532e+00 6.8679e+02 4.4211e+02 0.0000e+00 0.0000e+00
1.5637e-02 9.3840e+03 1.7399e+01 -6.6953e+00 1.8810e+04 9.4295e+03 2.2762e+00 2.7174e+02 1.4794e+01 3.8570e+00 3.1532e+00 6.8033e+02 4.3641e+02 0.0000e+00 0.0000e+00
1.6955e-02 9.3709e+03 2.0090e+01 -7.4913e+00 1.8788e+04 9.4107e+03 3.1021e+00 2.7137e+02 1.7379e+01 3.7481e+00 3.1955e+00 6.7309e+02 4.3019e+02 0.0000e+00 0.0000e+00
1.8383e-02 9.2900e+03 2.3021e+01 -8.2789e+00 1.8634e+04 9.3270e+03 4.1452e+00 2.7093e+02 2.0373e+01 3.4952e+00 3.1661e+00 6.6501e+02 4.2344e+02 0.0000e+00 0.0000e+00
1.9931e-02 9.1387e+03 2.6142e+01 -9.0272e+00 1.8340e+04 9.1769e+03 5.4434e+00 2.7042e+02 2.3819e+01 3.0717e+00 3.0510e+00 6.5604e+02 4.1614e+02 0.0000e+00 0.0000e+00
