# k[h/Mpc]   Q1   Q2    Q3    Q5    Q8     Qs2    
# 
9.3000e-04 3.0310e-03 -6.6177e-04 1.1971e-03 1.1846e-03 8.1079e-01 1.6125e+00
9.3861e-04 3.1411e-03 -6.8497e-04 1.2412e-03 1.2281e-03 8.2586e-01 1.6423e+00
9.4730e-04 3.2552e-03 -7.0898e-04 1.2869e-03 1.2731e-03 8.4120e-01 1.6726e+00
9.5607e-04 3.3734e-03 -7.3380e-04 1.3343e-03 1.3198e-03 8.5682e-01 1.7035e+00
9.6492e-04 3.4959e-03 -7.5949e-04 1.3835e-03 1.3682e-03 8.7274e-01 1.7350e+00
9.7385e-04 3.6228e-03 -7.8605e-04 1.4344e-03 1.4184e-03 8.8895e-01 1.7670e+00
9.8287e-04 3.7542e-03 -8.1352e-04 1.4872e-03 1.4703e-03 9.0546e-01 1.7997e+00
9.9197e-04 3.8904e-03 -8.4194e-04 1.5419e-03 1.5242e-03 9.2228e-01 1.8329e+00
1.0012e-03 4.0314e-03 -8.7132e-04 1.5986e-03 1.5800e-03 9.3941e-01 1.8667e+00
1.0104e-03 4.1775e-03 -9.0171e-04 1.6575e-03 1.6379e-03 9.5686e-01 1.9012e+00
1.0198e-03 4.3289e-03 -9.3314e-04 1.7184e-03 1.6979e-03 9.7463e-01 1.9363e+00
1.0292e-03 4.4857e-03 -9.6565e-04 1.7816e-03 1.7600e-03 9.9273e-01 1.9720e+00
1.0387e-03 4.6482e-03 -9.9926e-04 1.8471e-03 1.8245e-03 1.0112e+00 2.0084e+00
1.0484e-03 4.8165e-03 -1.0340e-03 1.9151e-03 1.8912e-03 1.0299e+00 2.0454e+00
1.0581e-03 4.9908e-03 -1.0700e-03 1.9855e-03 1.9604e-03 1.0491e+00 2.0832e+00
1.0679e-03 5.1714e-03 -1.1071e-03 2.0584e-03 2.0321e-03 1.0686e+00 2.1216e+00
1.0777e-03 5.3584e-03 -1.1456e-03 2.1341e-03 2.1064e-03 1.0884e+00 2.1607e+00
1.0877e-03 5.5521e-03 -1.1853e-03 2.2125e-03 2.1834e-03 1.1086e+00 2.2006e+00
1.0978e-03 5.7528e-03 -1.2264e-03 2.2938e-03 2.2632e-03 1.1292e+00 2.2411e+00
1.1080e-03 5.9607e-03 -1.2688e-03 2.3780e-03 2.3459e-03 1.1502e+00 2.2824e+00
1.1182e-03 6.1760e-03 -1.3127e-03 2.4654e-03 2.4316e-03 1.1715e+00 2.3245e+00
1.1286e-03 6.3990e-03 -1.3581e-03 2.5559e-03 2.5205e-03 1.1933e+00 2.3673e+00
1.1390e-03 6.6300e-03 -1.4051e-03 2.6497e-03 2.6125e-03 1.2154e+00 2.4110e+00
1.1496e-03 6.8693e-03 -1.4536e-03 2.7470e-03 2.7079e-03 1.2380e+00 2.4554e+00
1.1602e-03 7.1171e-03 -1.5037e-03 2.8478e-03 2.8067e-03 1.2610e+00 2.5006e+00
1.1709e-03 7.3738e-03 -1.5555e-03 2.9523e-03 2.9091e-03 1.2844e+00 2.5467e+00
1.1818e-03 7.6396e-03 -1.6091e-03 3.0606e-03 3.0152e-03 1.3082e+00 2.5935e+00
1.1927e-03 7.9149e-03 -1.6645e-03 3.1729e-03 3.1252e-03 1.3325e+00 2.6413e+00
1.2038e-03 8.2000e-03 -1.7217e-03 3.2892e-03 3.2391e-03 1.3572e+00 2.6899e+00
1.2149e-03 8.4953e-03 -1.7809e-03 3.4099e-03 3.3572e-03 1.3824e+00 2.7394e+00
1.2262e-03 8.8011e-03 -1.8420e-03 3.5349e-03 3.4795e-03 1.4081e+00 2.7898e+00
1.2375e-03 9.1178e-03 -1.9052e-03 3.6645e-03 3.6063e-03 1.4342e+00 2.8411e+00
1.2490e-03 9.4458e-03 -1.9705e-03 3.7988e-03 3.7377e-03 1.4609e+00 2.8934e+00
1.2605e-03 9.7855e-03 -2.0380e-03 3.9379e-03 3.8738e-03 1.4880e+00 2.9466e+00
1.2722e-03 1.0137e-02 -2.1077e-03 4.0823e-03 4.0148e-03 1.5156e+00 3.0008e+00
1.2840e-03 1.0501e-02 -2.1797e-03 4.2317e-03 4.1609e-03 1.5437e+00 3.0559e+00
1.2959e-03 1.0879e-02 -2.2542e-03 4.3868e-03 4.3123e-03 1.5724e+00 3.1121e+00
1.3079e-03 1.1269e-02 -2.3311e-03 4.5473e-03 4.4691e-03 1.6015e+00 3.1693e+00
1.3200e-03 1.1674e-02 -2.4105e-03 4.7139e-03 4.6316e-03 1.6312e+00 3.2275e+00
1.3322e-03 1.2093e-02 -2.4926e-03 4.8864e-03 4.8000e-03 1.6615e+00 3.2867e+00
1.3445e-03 1.2526e-02 -2.5774e-03 5.0652e-03 4.9744e-03 1.6923e+00 3.3471e+00
1.3570e-03 1.2975e-02 -2.6650e-03 5.2506e-03 5.1552e-03 1.7237e+00 3.4086e+00
1.3695e-03 1.3440e-02 -2.7555e-03 5.4426e-03 5.3424e-03 1.7557e+00 3.4711e+00
1.3822e-03 1.3922e-02 -2.8490e-03 5.6417e-03 5.5364e-03 1.7883e+00 3.5348e+00
1.3950e-03 1.4420e-02 -2.9456e-03 5.8480e-03 5.7374e-03 1.8215e+00 3.5997e+00
1.4079e-03 1.4936e-02 -3.0453e-03 6.0619e-03 5.9456e-03 1.8552e+00 3.6657e+00
1.4209e-03 1.5471e-02 -3.1483e-03 6.2834e-03 6.1612e-03 1.8897e+00 3.7329e+00
1.4341e-03 1.6024e-02 -3.2547e-03 6.5131e-03 6.3847e-03 1.9247e+00 3.8013e+00
1.4474e-03 1.6597e-02 -3.3646e-03 6.7510e-03 6.6162e-03 1.9604e+00 3.8710e+00
1.4608e-03 1.7190e-02 -3.4781e-03 6.9977e-03 6.8560e-03 1.9968e+00 3.9419e+00
1.4743e-03 1.7804e-02 -3.5952e-03 7.2533e-03 7.1044e-03 2.0338e+00 4.0142e+00
1.4879e-03 1.8440e-02 -3.7162e-03 7.5181e-03 7.3617e-03 2.0715e+00 4.0877e+00
1.5017e-03 1.9098e-02 -3.8411e-03 7.7927e-03 7.6283e-03 2.1099e+00 4.1625e+00
1.5156e-03 1.9779e-02 -3.9701e-03 8.0770e-03 7.9044e-03 2.1490e+00 4.2387e+00
1.5297e-03 2.0484e-02 -4.1033e-03 8.3720e-03 8.1905e-03 2.1889e+00 4.3163e+00
1.5438e-03 2.1214e-02 -4.2408e-03 8.6773e-03 8.4868e-03 2.2295e+00 4.3953e+00
1.5581e-03 2.1970e-02 -4.3827e-03 8.9940e-03 8.7937e-03 2.2708e+00 4.4757e+00
1.5725e-03 2.2752e-02 -4.5293e-03 9.3219e-03 9.1116e-03 2.3129e+00 4.5575e+00
1.5871e-03 2.3562e-02 -4.6805e-03 9.6619e-03 9.4409e-03 2.3557e+00 4.6408e+00
1.6018e-03 2.4401e-02 -4.8366e-03 1.0014e-02 9.7820e-03 2.3994e+00 4.7256e+00
1.6166e-03 2.5268e-02 -4.9978e-03 1.0379e-02 1.0135e-02 2.4439e+00 4.8120e+00
1.6316e-03 2.6166e-02 -5.1641e-03 1.0758e-02 1.0501e-02 2.4892e+00 4.8998e+00
1.6467e-03 2.7096e-02 -5.3358e-03 1.1149e-02 1.0880e-02 2.5353e+00 4.9893e+00
1.6619e-03 2.8058e-02 -5.5129e-03 1.1556e-02 1.1273e-02 2.5823e+00 5.0804e+00
1.6773e-03 2.9054e-02 -5.6957e-03 1.1976e-02 1.1679e-02 2.6301e+00 5.1731e+00
1.6928e-03 3.0085e-02 -5.8843e-03 1.2413e-02 1.2100e-02 2.6789e+00 5.2675e+00
1.7085e-03 3.1152e-02 -6.0790e-03 1.2864e-02 1.2536e-02 2.7285e+00 5.3635e+00
1.7243e-03 3.2256e-02 -6.2798e-03 1.3333e-02 1.2988e-02 2.7790e+00 5.4613e+00
1.7403e-03 3.3399e-02 -6.4870e-03 1.3818e-02 1.3456e-02 2.8305e+00 5.5608e+00
1.7564e-03 3.4581e-02 -6.7007e-03 1.4320e-02 1.3940e-02 2.8829e+00 5.6621e+00
1.7727e-03 3.5805e-02 -6.9212e-03 1.4841e-02 1.4442e-02 2.9363e+00 5.7652e+00
1.7891e-03 3.7072e-02 -7.1487e-03 1.5381e-02 1.4961e-02 2.9907e+00 5.8702e+00
1.8056e-03 3.8382e-02 -7.3833e-03 1.5940e-02 1.5499e-02 3.0461e+00 5.9770e+00
1.8223e-03 3.9738e-02 -7.6253e-03 1.6519e-02 1.6057e-02 3.1025e+00 6.0858e+00
1.8392e-03 4.1142e-02 -7.8748e-03 1.7120e-02 1.6634e-02 3.1599e+00 6.1964e+00
1.8562e-03 4.2594e-02 -8.1322e-03 1.7741e-02 1.7231e-02 3.2184e+00 6.3091e+00
1.8734e-03 4.4097e-02 -8.3977e-03 1.8386e-02 1.7850e-02 3.2780e+00 6.4237e+00
1.8908e-03 4.5652e-02 -8.6714e-03 1.9054e-02 1.8490e-02 3.3387e+00 6.5404e+00
1.9083e-03 4.7261e-02 -8.9536e-03 1.9745e-02 1.9154e-02 3.4005e+00 6.6592e+00
1.9259e-03 4.8926e-02 -9.2446e-03 2.0462e-02 1.9841e-02 3.4634e+00 6.7800e+00
1.9438e-03 5.0648e-02 -9.5446e-03 2.1204e-02 2.0552e-02 3.5275e+00 6.9031e+00
1.9618e-03 5.2430e-02 -9.8539e-03 2.1974e-02 2.1288e-02 3.5928e+00 7.0283e+00
1.9799e-03 5.4274e-02 -1.0173e-02 2.2770e-02 2.2051e-02 3.6592e+00 7.1557e+00
1.9983e-03 5.6182e-02 -1.0501e-02 2.3597e-02 2.2840e-02 3.7269e+00 7.2853e+00
2.0168e-03 5.8155e-02 -1.0840e-02 2.4452e-02 2.3658e-02 3.7959e+00 7.4173e+00
2.0354e-03 6.0197e-02 -1.1189e-02 2.5338e-02 2.4504e-02 3.8661e+00 7.5516e+00
2.0543e-03 6.2309e-02 -1.1549e-02 2.6256e-02 2.5380e-02 3.9376e+00 7.6883e+00
2.0733e-03 6.4494e-02 -1.1920e-02 2.7207e-02 2.6287e-02 4.0104e+00 7.8274e+00
2.0925e-03 6.6755e-02 -1.2302e-02 2.8193e-02 2.7227e-02 4.0846e+00 7.9689e+00
2.1118e-03 6.9093e-02 -1.2695e-02 2.9213e-02 2.8199e-02 4.1601e+00 8.1129e+00
2.1314e-03 7.1512e-02 -1.3101e-02 3.0271e-02 2.9205e-02 4.2370e+00 8.2595e+00
2.1511e-03 7.4014e-02 -1.3519e-02 3.1366e-02 3.0247e-02 4.3153e+00 8.4086e+00
2.1710e-03 7.6601e-02 -1.3949e-02 3.2501e-02 3.1326e-02 4.3951e+00 8.5604e+00
2.1911e-03 7.9278e-02 -1.4392e-02 3.3676e-02 3.2443e-02 4.4763e+00 8.7148e+00
2.2114e-03 8.2047e-02 -1.4849e-02 3.4894e-02 3.3599e-02 4.5590e+00 8.8719e+00
2.2319e-03 8.4910e-02 -1.5319e-02 3.6156e-02 3.4795e-02 4.6433e+00 9.0318e+00
2.2526e-03 8.7872e-02 -1.5803e-02 3.7462e-02 3.6034e-02 4.7291e+00 9.1945e+00
2.2734e-03 9.0935e-02 -1.6302e-02 3.8816e-02 3.7316e-02 4.8164e+00 9.3600e+00
2.2945e-03 9.4102e-02 -1.6816e-02 4.0217e-02 3.8643e-02 4.9054e+00 9.5284e+00
2.3157e-03 9.7378e-02 -1.7344e-02 4.1671e-02 4.0017e-02 4.9960e+00 9.6998e+00
2.3371e-03 1.0077e-01 -1.7888e-02 4.3174e-02 4.1439e-02 5.0882e+00 9.8741e+00
2.3588e-03 1.0427e-01 -1.8449e-02 4.4733e-02 4.2911e-02 5.1822e+00 1.0052e+01
2.3806e-03 1.0789e-01 -1.9025e-02 4.6347e-02 4.4434e-02 5.2778e+00 1.0232e+01
2.4026e-03 1.1164e-01 -1.9619e-02 4.8019e-02 4.6010e-02 5.3753e+00 1.0416e+01
2.4249e-03 1.1551e-01 -2.0229e-02 4.9751e-02 4.7642e-02 5.4745e+00 1.0602e+01
2.4473e-03 1.1952e-01 -2.0858e-02 5.1544e-02 4.9330e-02 5.5755e+00 1.0792e+01
2.4700e-03 1.2366e-01 -2.1505e-02 5.3403e-02 5.1078e-02 5.6784e+00 1.0986e+01
2.4929e-03 1.2794e-01 -2.2170e-02 5.5326e-02 5.2886e-02 5.7831e+00 1.1182e+01
2.5159e-03 1.3237e-01 -2.2854e-02 5.7320e-02 5.4758e-02 5.8898e+00 1.1382e+01
2.5392e-03 1.3695e-01 -2.3558e-02 5.9383e-02 5.6694e-02 5.9984e+00 1.1586e+01
2.5627e-03 1.4168e-01 -2.4283e-02 6.1522e-02 5.8699e-02 6.1090e+00 1.1793e+01
2.5865e-03 1.4657e-01 -2.5027e-02 6.3735e-02 6.0773e-02 6.2217e+00 1.2004e+01
2.6104e-03 1.5163e-01 -2.5793e-02 6.6029e-02 6.2919e-02 6.3364e+00 1.2218e+01
2.6346e-03 1.5686e-01 -2.6581e-02 6.8404e-02 6.5139e-02 6.4532e+00 1.2436e+01
2.6590e-03 1.6226e-01 -2.7391e-02 7.0863e-02 6.7437e-02 6.5721e+00 1.2657e+01
2.6836e-03 1.6785e-01 -2.8223e-02 7.3412e-02 6.9815e-02 6.6932e+00 1.2883e+01
2.7084e-03 1.7363e-01 -2.9079e-02 7.6049e-02 7.2275e-02 6.8165e+00 1.3112e+01
2.7335e-03 1.7960e-01 -2.9958e-02 7.8783e-02 7.4820e-02 6.9421e+00 1.3345e+01
2.7588e-03 1.8577e-01 -3.0862e-02 8.1611e-02 7.7453e-02 7.0699e+00 1.3583e+01
2.7843e-03 1.9215e-01 -3.1791e-02 8.4543e-02 8.0178e-02 7.2001e+00 1.3824e+01
2.8101e-03 1.9874e-01 -3.2745e-02 8.7576e-02 8.2996e-02 7.3327e+00 1.4069e+01
2.8361e-03 2.0555e-01 -3.3726e-02 9.0720e-02 8.5912e-02 7.4676e+00 1.4319e+01
2.8624e-03 2.1259e-01 -3.4733e-02 9.3974e-02 8.8929e-02 7.6051e+00 1.4572e+01
2.8889e-03 2.1987e-01 -3.5768e-02 9.7343e-02 9.2050e-02 7.7450e+00 1.4830e+01
2.9156e-03 2.2739e-01 -3.6830e-02 1.0084e-01 9.5279e-02 7.8875e+00 1.5093e+01
2.9426e-03 2.3516e-01 -3.7921e-02 1.0445e-01 9.8618e-02 8.0326e+00 1.5360e+01
2.9699e-03 2.4319e-01 -3.9042e-02 1.0819e-01 1.0207e-01 8.1803e+00 1.5631e+01
2.9974e-03 2.5148e-01 -4.0192e-02 1.1206e-01 1.0565e-01 8.3307e+00 1.5907e+01
3.0251e-03 2.6006e-01 -4.1372e-02 1.1608e-01 1.0934e-01 8.4839e+00 1.6188e+01
3.0531e-03 2.6892e-01 -4.2584e-02 1.2023e-01 1.1317e-01 8.6398e+00 1.6473e+01
3.0814e-03 2.7807e-01 -4.3828e-02 1.2453e-01 1.1712e-01 8.7986e+00 1.6763e+01
3.1099e-03 2.8752e-01 -4.5104e-02 1.2899e-01 1.2121e-01 8.9602e+00 1.7058e+01
3.1387e-03 2.9729e-01 -4.6413e-02 1.3360e-01 1.2544e-01 9.1248e+00 1.7358e+01
3.1677e-03 3.0739e-01 -4.7756e-02 1.3838e-01 1.2982e-01 9.2924e+00 1.7663e+01
3.1971e-03 3.1781e-01 -4.9133e-02 1.4332e-01 1.3434e-01 9.4630e+00 1.7972e+01
3.2267e-03 3.2858e-01 -5.0546e-02 1.4845e-01 1.3902e-01 9.6367e+00 1.8288e+01
3.2565e-03 3.3971e-01 -5.1994e-02 1.5374e-01 1.4386e-01 9.8135e+00 1.8608e+01
3.2867e-03 3.5120e-01 -5.3479e-02 1.5923e-01 1.4886e-01 9.9936e+00 1.8934e+01
3.3171e-03 3.6307e-01 -5.5001e-02 1.6491e-01 1.5404e-01 1.0177e+01 1.9265e+01
3.3478e-03 3.7534e-01 -5.6561e-02 1.7080e-01 1.5939e-01 1.0364e+01 1.9601e+01
3.3788e-03 3.8800e-01 -5.8160e-02 1.7689e-01 1.6492e-01 1.0554e+01 1.9943e+01
3.4101e-03 4.0108e-01 -5.9797e-02 1.8319e-01 1.7064e-01 1.0747e+01 2.0291e+01
3.4417e-03 4.1459e-01 -6.1475e-02 1.8973e-01 1.7656e-01 1.0944e+01 2.0644e+01
3.4735e-03 4.2854e-01 -6.3194e-02 1.9648e-01 1.8267e-01 1.1144e+01 2.1003e+01
3.5057e-03 4.4295e-01 -6.4954e-02 2.0348e-01 1.8900e-01 1.1349e+01 2.1368e+01
3.5381e-03 4.5782e-01 -6.6755e-02 2.1072e-01 1.9553e-01 1.1556e+01 2.1739e+01
3.5709e-03 4.7319e-01 -6.8600e-02 2.1823e-01 2.0229e-01 1.1768e+01 2.2116e+01
3.6039e-03 4.8905e-01 -7.0488e-02 2.2598e-01 2.0928e-01 1.1983e+01 2.2499e+01
3.6373e-03 5.0543e-01 -7.2419e-02 2.3402e-01 2.1650e-01 1.2203e+01 2.2889e+01
3.6710e-03 5.2234e-01 -7.4396e-02 2.4234e-01 2.2397e-01 1.2426e+01 2.3284e+01
3.7050e-03 5.3980e-01 -7.6418e-02 2.5095e-01 2.3169e-01 1.2653e+01 2.3687e+01
3.7393e-03 5.5782e-01 -7.8485e-02 2.5987e-01 2.3967e-01 1.2884e+01 2.4095e+01
3.7739e-03 5.7643e-01 -8.0599e-02 2.6909e-01 2.4792e-01 1.3120e+01 2.4510e+01
3.8088e-03 5.9564e-01 -8.2760e-02 2.7865e-01 2.5644e-01 1.3359e+01 2.4932e+01
3.8441e-03 6.1547e-01 -8.4969e-02 2.8853e-01 2.6525e-01 1.3603e+01 2.5360e+01
3.8797e-03 6.3594e-01 -8.7226e-02 2.9877e-01 2.7436e-01 1.3852e+01 2.5796e+01
3.9156e-03 6.5707e-01 -8.9532e-02 3.0935e-01 2.8377e-01 1.4105e+01 2.6238e+01
3.9518e-03 6.7888e-01 -9.1887e-02 3.2032e-01 2.9349e-01 1.4362e+01 2.6687e+01
3.9884e-03 7.0138e-01 -9.4292e-02 3.3167e-01 3.0355e-01 1.4624e+01 2.7144e+01
4.0253e-03 7.2461e-01 -9.6747e-02 3.4341e-01 3.1393e-01 1.4891e+01 2.7608e+01
4.0626e-03 7.4859e-01 -9.9252e-02 3.5558e-01 3.2467e-01 1.5162e+01 2.8079e+01
4.1002e-03 7.7333e-01 -1.0181e-01 3.6814e-01 3.3576e-01 1.5438e+01 2.8557e+01
4.1382e-03 7.9886e-01 -1.0442e-01 3.8118e-01 3.4722e-01 1.5720e+01 2.9043e+01
4.1765e-03 8.2520e-01 -1.0708e-01 3.9464e-01 3.5906e-01 1.6006e+01 2.9536e+01
4.2151e-03 8.5238e-01 -1.0979e-01 4.0860e-01 3.7130e-01 1.6297e+01 3.0038e+01
4.2542e-03 8.8043e-01 -1.1255e-01 4.2302e-01 3.8394e-01 1.6594e+01 3.0547e+01
4.2935e-03 9.0937e-01 -1.1537e-01 4.3796e-01 3.9700e-01 1.6896e+01 3.1063e+01
4.3333e-03 9.3922e-01 -1.1823e-01 4.5343e-01 4.1050e-01 1.7203e+01 3.1588e+01
4.3734e-03 9.7002e-01 -1.2115e-01 4.6941e-01 4.2443e-01 1.7516e+01 3.2121e+01
4.4139e-03 1.0018e+00 -1.2413e-01 4.8598e-01 4.3884e-01 1.7834e+01 3.2663e+01
4.4548e-03 1.0346e+00 -1.2715e-01 5.0309e-01 4.5371e-01 1.8158e+01 3.3212e+01
4.4960e-03 1.0684e+00 -1.3023e-01 5.2084e-01 4.6908e-01 1.8488e+01 3.3770e+01
4.5376e-03 1.1033e+00 -1.3336e-01 5.3916e-01 4.8495e-01 1.8823e+01 3.4337e+01
4.5796e-03 1.1392e+00 -1.3654e-01 5.5817e-01 5.0134e-01 1.9165e+01 3.4912e+01
4.6220e-03 1.1763e+00 -1.3977e-01 5.7779e-01 5.1827e-01 1.9512e+01 3.5495e+01
4.6648e-03 1.2146e+00 -1.4305e-01 5.9812e-01 5.3576e-01 1.9866e+01 3.6088e+01
4.7080e-03 1.2540e+00 -1.4639e-01 6.1915e-01 5.5382e-01 2.0226e+01 3.6690e+01
4.7516e-03 1.2947e+00 -1.4977e-01 6.4089e-01 5.7247e-01 2.0592e+01 3.7300e+01
4.7956e-03 1.3367e+00 -1.5320e-01 6.6343e-01 5.9173e-01 2.0965e+01 3.7920e+01
4.8400e-03 1.3799e+00 -1.5668e-01 6.8669e-01 6.1162e-01 2.1344e+01 3.8549e+01
4.8848e-03 1.4245e+00 -1.6021e-01 7.1083e-01 6.3216e-01 2.1730e+01 3.9187e+01
4.9300e-03 1.4705e+00 -1.6378e-01 7.3572e-01 6.5336e-01 2.2123e+01 3.9835e+01
4.9756e-03 1.5179e+00 -1.6740e-01 7.6155e-01 6.7526e-01 2.2523e+01 4.0492e+01
5.0217e-03 1.5668e+00 -1.7106e-01 7.8821e-01 6.9786e-01 2.2930e+01 4.1159e+01
5.0682e-03 1.6172e+00 -1.7476e-01 8.1583e-01 7.2120e-01 2.3344e+01 4.1836e+01
5.1151e-03 1.6691e+00 -1.7851e-01 8.4440e-01 7.4530e-01 2.3765e+01 4.2522e+01
5.1625e-03 1.7226e+00 -1.8229e-01 8.7392e-01 7.7017e-01 2.4193e+01 4.3219e+01
5.2102e-03 1.7778e+00 -1.8611e-01 9.0452e-01 7.9585e-01 2.4630e+01 4.3926e+01
5.2585e-03 1.8347e+00 -1.8996e-01 9.3609e-01 8.2235e-01 2.5073e+01 4.4642e+01
5.3072e-03 1.8933e+00 -1.9384e-01 9.6885e-01 8.4971e-01 2.5525e+01 4.5370e+01
5.3563e-03 1.9536e+00 -1.9775e-01 1.0026e+00 8.7795e-01 2.5984e+01 4.6107e+01
5.4059e-03 2.0159e+00 -2.0169e-01 1.0377e+00 9.0709e-01 2.6451e+01 4.6855e+01
5.4559e-03 2.0800e+00 -2.0565e-01 1.0738e+00 9.3717e-01 2.6927e+01 4.7614e+01
5.5064e-03 2.1461e+00 -2.0963e-01 1.1113e+00 9.6821e-01 2.7411e+01 4.8384e+01
5.5574e-03 2.2141e+00 -2.1363e-01 1.1500e+00 1.0002e+00 2.7903e+01 4.9164e+01
5.6089e-03 2.2842e+00 -2.1764e-01 1.1901e+00 1.0333e+00 2.8404e+01 4.9955e+01
5.6608e-03 2.3565e+00 -2.2166e-01 1.2315e+00 1.0674e+00 2.8913e+01 5.0757e+01
5.7132e-03 2.4309e+00 -2.2568e-01 1.2743e+00 1.1026e+00 2.9432e+01 5.1571e+01
5.7661e-03 2.5075e+00 -2.2970e-01 1.3187e+00 1.1389e+00 2.9959e+01 5.2395e+01
5.8195e-03 2.5865e+00 -2.3372e-01 1.3645e+00 1.1764e+00 3.0495e+01 5.3231e+01
5.8733e-03 2.6678e+00 -2.3773e-01 1.4119e+00 1.2150e+00 3.1041e+01 5.4079e+01
5.9277e-03 2.7515e+00 -2.4172e-01 1.4609e+00 1.2549e+00 3.1596e+01 5.4937e+01
5.9826e-03 2.8378e+00 -2.4569e-01 1.5116e+00 1.2960e+00 3.2161e+01 5.5808e+01
6.0380e-03 2.9266e+00 -2.4963e-01 1.5641e+00 1.3385e+00 3.2735e+01 5.6690e+01
6.0939e-03 3.0180e+00 -2.5354e-01 1.6182e+00 1.3822e+00 3.3319e+01 5.7585e+01
6.1503e-03 3.1121e+00 -2.5741e-01 1.6743e+00 1.4274e+00 3.3914e+01 5.8491e+01
6.2072e-03 3.2091e+00 -2.6122e-01 1.7322e+00 1.4739e+00 3.4518e+01 5.9409e+01
6.2647e-03 3.3089e+00 -2.6498e-01 1.7922e+00 1.5219e+00 3.5133e+01 6.0339e+01
6.3227e-03 3.4116e+00 -2.6868e-01 1.8541e+00 1.5714e+00 3.5758e+01 6.1282e+01
6.3812e-03 3.5173e+00 -2.7230e-01 1.9183e+00 1.6225e+00 3.6394e+01 6.2236e+01
6.4403e-03 3.6261e+00 -2.7584e-01 1.9844e+00 1.6752e+00 3.7041e+01 6.3204e+01
6.4999e-03 3.7382e+00 -2.7929e-01 2.0529e+00 1.7294e+00 3.7699e+01 6.4183e+01
6.5601e-03 3.8534e+00 -2.8263e-01 2.1238e+00 1.7854e+00 3.8368e+01 6.5176e+01
6.6208e-03 3.9721e+00 -2.8586e-01 2.1969e+00 1.8431e+00 3.9048e+01 6.6180e+01
6.6821e-03 4.0942e+00 -2.8897e-01 2.2727e+00 1.9026e+00 3.9740e+01 6.7198e+01
6.7440e-03 4.2198e+00 -2.9193e-01 2.3508e+00 1.9639e+00 4.0444e+01 6.8229e+01
6.8064e-03 4.3490e+00 -2.9475e-01 2.4318e+00 2.0271e+00 4.1160e+01 6.9272e+01
6.8694e-03 4.4820e+00 -2.9740e-01 2.5153e+00 2.0923e+00 4.1887e+01 7.0328e+01
6.9330e-03 4.6188e+00 -2.9988e-01 2.6018e+00 2.1595e+00 4.2627e+01 7.1398e+01
6.9972e-03 4.7595e+00 -3.0216e-01 2.6911e+00 2.2287e+00 4.3380e+01 7.2481e+01
7.0619e-03 4.9043e+00 -3.0424e-01 2.7835e+00 2.3000e+00 4.4145e+01 7.3576e+01
7.1273e-03 5.0531e+00 -3.0610e-01 2.8789e+00 2.3735e+00 4.4922e+01 7.4685e+01
7.1933e-03 5.2062e+00 -3.0771e-01 2.9775e+00 2.4493e+00 4.5713e+01 7.5808e+01
7.2599e-03 5.3637e+00 -3.0906e-01 3.0796e+00 2.5273e+00 4.6517e+01 7.6944e+01
7.3271e-03 5.5256e+00 -3.1014e-01 3.1847e+00 2.6077e+00 4.7335e+01 7.8093e+01
7.3949e-03 5.6921e+00 -3.1092e-01 3.2939e+00 2.6906e+00 4.8166e+01 7.9256e+01
7.4634e-03 5.8633e+00 -3.1139e-01 3.4062e+00 2.7760e+00 4.9011e+01 8.0432e+01
7.5325e-03 6.0393e+00 -3.1152e-01 3.5227e+00 2.8639e+00 4.9870e+01 8.1622e+01
7.6022e-03 6.2202e+00 -3.1129e-01 3.6427e+00 2.9545e+00 5.0743e+01 8.2826e+01
7.6726e-03 6.4062e+00 -3.1067e-01 3.7669e+00 3.0478e+00 5.1631e+01 8.4043e+01
7.7436e-03 6.5974e+00 -3.0966e-01 3.8953e+00 3.1439e+00 5.2533e+01 8.5275e+01
7.8153e-03 6.7938e+00 -3.0820e-01 4.0277e+00 3.2428e+00 5.3451e+01 8.6520e+01
7.8877e-03 6.9958e+00 -3.0629e-01 4.1650e+00 3.3447e+00 5.4383e+01 8.7778e+01
7.9607e-03 7.2033e+00 -3.0388e-01 4.3062e+00 3.4497e+00 5.5330e+01 8.9051e+01
8.0344e-03 7.4165e+00 -3.0096e-01 4.4528e+00 3.5578e+00 5.6294e+01 9.0338e+01
8.1088e-03 7.6355e+00 -2.9750e-01 4.6036e+00 3.6690e+00 5.7272e+01 9.1638e+01
8.1838e-03 7.8606e+00 -2.9346e-01 4.7600e+00 3.7836e+00 5.8267e+01 9.2953e+01
8.2596e-03 8.0918e+00 -2.8881e-01 4.9210e+00 3.9015e+00 5.9278e+01 9.4281e+01
8.3361e-03 8.3293e+00 -2.8351e-01 5.0876e+00 4.0229e+00 6.0306e+01 9.5624e+01
8.4132e-03 8.5733e+00 -2.7754e-01 5.2598e+00 4.1479e+00 6.1350e+01 9.6980e+01
8.4911e-03 8.8239e+00 -2.7084e-01 5.4373e+00 4.2765e+00 6.2411e+01 9.8351e+01
8.5697e-03 9.0812e+00 -2.6339e-01 5.6213e+00 4.4089e+00 6.3489e+01 9.9735e+01
8.6491e-03 9.3454e+00 -2.5515e-01 5.8105e+00 4.5451e+00 6.4585e+01 1.0113e+02
8.7291e-03 9.6168e+00 -2.4607e-01 6.0068e+00 4.6854e+00 6.5698e+01 1.0255e+02
