# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 4.3375e+03 7.3368e-01 -5.5582e-02 8.5751e+03 9.2385e+03 -6.5767e-02 2.2934e+03 4.7258e-01 4.0903e-01 3.0746e-01 6.1138e+03 4.0750e+03 0.0000e+00 0.0000e+00
1.0842e-03 4.6731e+03 7.5790e-01 -7.0132e-02 9.2603e+03 9.3342e+03 -7.7017e-02 2.2934e+03 5.5563e-01 4.8082e-01 3.6097e-01 6.1134e+03 4.0745e+03 0.0000e+00 0.0000e+00
1.1756e-03 5.0335e+03 7.8504e-01 -8.8501e-02 9.9951e+03 9.4439e+03 -9.0132e-02 2.2934e+03 6.5330e-01 5.6518e-01 4.2370e-01 6.1129e+03 4.0739e+03 0.0000e+00 0.0000e+00
1.2746e-03 5.4201e+03 8.1595e-01 -1.1169e-01 1.0782e+04 9.5695e+03 -1.0540e-01 2.2933e+03 7.6816e-01 6.6427e-01 4.9721e-01 6.1124e+03 4.0732e+03 0.0000e+00 0.0000e+00
1.3819e-03 5.8346e+03 8.5181e-01 -1.4095e-01 1.1624e+04 9.7131e+03 -1.2315e-01 2.2933e+03 9.0325e-01 7.8064e-01 5.8330e-01 6.1118e+03 4.0725e+03 0.0000e+00 0.0000e+00
1.4983e-03 6.2783e+03 8.9418e-01 -1.7786e-01 1.2524e+04 9.8769e+03 -1.4373e-01 2.2933e+03 1.0621e+00 9.1725e-01 6.8407e-01 6.1111e+03 4.0716e+03 0.0000e+00 0.0000e+00
1.6246e-03 6.7528e+03 9.4517e-01 -2.2438e-01 1.3484e+04 1.0063e+04 -1.6755e-01 2.2932e+03 1.2491e+00 1.0775e+00 8.0193e-01 6.1102e+03 4.0705e+03 0.0000e+00 0.0000e+00
1.7614e-03 7.2591e+03 1.0076e+00 -2.8296e-01 1.4506e+04 1.0275e+04 -1.9504e-01 2.2932e+03 1.4689e+00 1.2655e+00 9.3966e-01 6.1092e+03 4.0693e+03 0.0000e+00 0.0000e+00
1.9098e-03 7.7986e+03 1.0854e+00 -3.5663e-01 1.5593e+04 1.0516e+04 -2.2666e-01 2.2932e+03 1.7276e+00 1.4858e+00 1.1005e+00 6.1080e+03 4.0678e+03 0.0000e+00 0.0000e+00
2.0706e-03 8.3720e+03 1.1837e+00 -4.4914e-01 1.6746e+04 1.0787e+04 -2.6288e-01 2.2931e+03 2.0321e+00 1.7438e+00 1.2880e+00 6.1066e+03 4.0661e+03 0.0000e+00 0.0000e+00
2.2450e-03 8.9802e+03 1.3093e+00 -5.6510e-01 1.7967e+04 1.1094e+04 -3.0419e-01 2.2930e+03 2.3904e+00 2.0455e+00 1.5065e+00 6.1050e+03 4.0641e+03 0.0000e+00 0.0000e+00
2.4341e-03 9.6234e+03 1.4712e+00 -7.1012e-01 1.9257e+04 1.1438e+04 -3.5103e-01 2.2929e+03 2.8121e+00 2.3980e+00 1.7605e+00 6.1031e+03 4.0618e+03 0.0000e+00 0.0000e+00
2.6392e-03 1.0302e+04 1.6813e+00 -8.9103e-01 2.0616e+04 1.1824e+04 -4.0377e-01 2.2928e+03 3.3087e+00 2.8090e+00 2.0555e+00 6.1009e+03 4.0591e+03 0.0000e+00 0.0000e+00
2.8615e-03 1.1015e+04 1.9549e+00 -1.1161e+00 2.2045e+04 1.2255e+04 -4.6264e-01 2.2927e+03 3.8935e+00 3.2875e+00 2.3974e+00 6.0983e+03 4.0559e+03 0.0000e+00 0.0000e+00
3.1025e-03 1.1763e+04 2.3117e+00 -1.3953e+00 2.3543e+04 1.2735e+04 -5.2765e-01 2.2926e+03 4.5823e+00 3.8431e+00 2.7927e+00 6.0952e+03 4.0522e+03 0.0000e+00 0.0000e+00
3.3638e-03 1.2544e+04 2.7765e+00 -1.7406e+00 2.5108e+04 1.3265e+04 -5.9844e-01 2.2924e+03 5.3939e+00 4.4865e+00 3.2485e+00 6.0916e+03 4.0479e+03 0.0000e+00 0.0000e+00
3.6472e-03 1.3358e+04 3.3798e+00 -2.1665e+00 2.6739e+04 1.3850e+04 -6.7415e-01 2.2922e+03 6.3505e+00 5.2291e+00 3.7727e+00 6.0874e+03 4.0429e+03 0.0000e+00 0.0000e+00
