# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 1.1790e+03 5.6136e-02 -4.1063e-03 2.3302e+03 2.5111e+03 -4.8587e-03 1.6943e+02 3.4912e-02 3.0218e-02 2.2714e-02 4.5166e+02 3.0104e+02 0.0000e+00 0.0000e+00
1.0842e-03 1.2702e+03 5.8440e-02 -5.1812e-03 2.5165e+03 2.5371e+03 -5.6898e-03 1.6943e+02 4.1048e-02 3.5522e-02 2.6668e-02 4.5164e+02 3.0101e+02 0.0000e+00 0.0000e+00
1.1756e-03 1.3682e+03 6.1097e-02 -6.5383e-03 2.7163e+03 2.5669e+03 -6.6588e-03 1.6942e+02 4.8264e-02 4.1755e-02 3.1302e-02 4.5160e+02 3.0097e+02 0.0000e+00 0.0000e+00
1.2746e-03 1.4733e+03 6.4206e-02 -8.2514e-03 2.9303e+03 2.6011e+03 -7.7868e-03 1.6942e+02 5.6750e-02 4.9076e-02 3.6733e-02 4.5157e+02 3.0092e+02 0.0000e+00 0.0000e+00
1.3819e-03 1.5859e+03 6.7897e-02 -1.0413e-02 3.1592e+03 2.6401e+03 -9.0979e-03 1.6942e+02 6.6730e-02 5.7673e-02 4.3094e-02 4.5152e+02 3.0086e+02 0.0000e+00 0.0000e+00
1.4983e-03 1.7066e+03 7.2343e-02 -1.3140e-02 3.4038e+03 2.6846e+03 -1.0619e-02 1.6942e+02 7.8469e-02 6.7767e-02 5.0539e-02 4.5147e+02 3.0080e+02 0.0000e+00 0.0000e+00
1.6246e-03 1.8355e+03 7.7771e-02 -1.6577e-02 3.6647e+03 2.7353e+03 -1.2379e-02 1.6942e+02 9.2278e-02 7.9611e-02 5.9247e-02 4.5141e+02 3.0072e+02 0.0000e+00 0.0000e+00
1.7614e-03 1.9732e+03 8.4482e-02 -2.0905e-02 3.9426e+03 2.7929e+03 -1.4410e-02 1.6941e+02 1.0852e-01 9.3501e-02 6.9424e-02 4.5134e+02 3.0063e+02 0.0000e+00 0.0000e+00
1.9098e-03 2.1199e+03 9.2869e-02 -2.6349e-02 4.2381e+03 2.8582e+03 -1.6746e-02 1.6941e+02 1.2764e-01 1.0978e-01 8.1306e-02 4.5125e+02 3.0052e+02 0.0000e+00 0.0000e+00
2.0706e-03 2.2758e+03 1.0345e-01 -3.3185e-02 4.5516e+03 2.9321e+03 -1.9422e-02 1.6941e+02 1.5013e-01 1.2884e-01 9.5164e-02 4.5115e+02 3.0040e+02 0.0000e+00 0.0000e+00
