# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 1.9524e+03 1.5265e-01 -1.1261e-02 3.8592e+03 4.1585e+03 -1.3325e-02 4.6466e+02 9.5747e-02 8.2873e-02 6.2294e-02 1.2387e+03 8.2561e+02 0.0000e+00 0.0000e+00
1.0842e-03 2.1035e+03 1.5863e-01 -1.4209e-02 4.1676e+03 4.2015e+03 -1.5604e-02 4.6465e+02 1.1257e-01 9.7420e-02 7.3136e-02 1.2386e+03 8.2552e+02 0.0000e+00 0.0000e+00
1.1756e-03 2.2657e+03 1.6548e-01 -1.7931e-02 4.4984e+03 4.2509e+03 -1.8262e-02 4.6465e+02 1.3236e-01 1.1451e-01 8.5846e-02 1.2385e+03 8.2540e+02 0.0000e+00 0.0000e+00
1.2746e-03 2.4398e+03 1.7345e-01 -2.2629e-02 4.8528e+03 4.3075e+03 -2.1355e-02 4.6465e+02 1.5564e-01 1.3459e-01 1.0074e-01 1.2384e+03 8.2527e+02 0.0000e+00 0.0000e+00
1.3819e-03 2.6264e+03 1.8287e-01 -2.8558e-02 5.2319e+03 4.3721e+03 -2.4951e-02 4.6464e+02 1.8301e-01 1.5817e-01 1.1818e-01 1.2383e+03 8.2512e+02 0.0000e+00 0.0000e+00
1.4983e-03 2.8261e+03 1.9418e-01 -3.6036e-02 5.6370e+03 4.4458e+03 -2.9121e-02 4.6463e+02 2.1520e-01 1.8585e-01 1.3860e-01 1.2382e+03 8.2494e+02 0.0000e+00 0.0000e+00
1.6246e-03 3.0397e+03 2.0795e-01 -4.5462e-02 6.0691e+03 4.5298e+03 -3.3948e-02 4.6463e+02 2.5307e-01 2.1833e-01 1.6248e-01 1.2380e+03 8.2472e+02 0.0000e+00 0.0000e+00
1.7614e-03 3.2677e+03 2.2495e-01 -5.7332e-02 6.5293e+03 4.6252e+03 -3.9518e-02 4.6462e+02 2.9762e-01 2.5642e-01 1.9039e-01 1.2378e+03 8.2447e+02 0.0000e+00 0.0000e+00
1.9098e-03 3.5105e+03 2.4618e-01 -7.2260e-02 7.0185e+03 4.7333e+03 -4.5924e-02 4.6461e+02 3.5004e-01 3.0107e-01 2.2298e-01 1.2376e+03 8.2418e+02 0.0000e+00 0.0000e+00
2.0706e-03 3.7687e+03 2.7296e-01 -9.1007e-02 7.5376e+03 4.8556e+03 -5.3265e-02 4.6460e+02 4.1173e-01 3.5334e-01 2.6098e-01 1.2373e+03 8.2384e+02 0.0000e+00 0.0000e+00
2.2450e-03 4.0425e+03 3.0705e-01 -1.1450e-01 8.0873e+03 4.9936e+03 -6.1636e-02 4.6459e+02 4.8433e-01 4.1448e-01 3.0525e-01 1.2370e+03 8.2345e+02 0.0000e+00 0.0000e+00
2.4341e-03 4.3322e+03 3.5071e-01 -1.4389e-01 8.6681e+03 5.1486e+03 -7.1127e-02 4.6457e+02 5.6979e-01 4.8591e-01 3.5674e-01 1.2366e+03 8.2298e+02 0.0000e+00 0.0000e+00
2.6392e-03 4.6376e+03 4.0689e-01 -1.8055e-01 9.2802e+03 5.3224e+03 -8.1815e-02 4.6455e+02 6.7041e-01 5.6921e-01 4.1652e-01 1.2361e+03 8.2244e+02 0.0000e+00 0.0000e+00
2.8615e-03 4.9588e+03 4.7936e-01 -2.2617e-01 9.9236e+03 5.5164e+03 -9.3745e-02 4.6453e+02 7.8891e-01 6.6618e-01 4.8580e-01 1.2356e+03 8.2181e+02 0.0000e+00 0.0000e+00
3.1025e-03 5.2956e+03 5.7292e-01 -2.8275e-01 1.0598e+04 5.7321e+03 -1.0692e-01 4.6451e+02 9.2849e-01 7.7881e-01 5.6592e-01 1.2350e+03 8.2107e+02 0.0000e+00 0.0000e+00
3.3638e-03 5.6475e+03 6.9361e-01 -3.5274e-01 1.1303e+04 5.9709e+03 -1.2127e-01 4.6448e+02 1.0930e+00 9.0924e-01 6.5831e-01 1.2343e+03 8.2021e+02 0.0000e+00 0.0000e+00
3.6472e-03 6.0143e+03 8.4889e-01 -4.3907e-01 1.2037e+04 6.2340e+03 -1.3661e-01 4.6444e+02 1.2868e+00 1.0598e+00 7.6457e-01 1.2335e+03 8.1922e+02 0.0000e+00 0.0000e+00
