# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 8.2768e+02 2.7773e-02 -2.0238e-03 1.6359e+03 1.7629e+03 -2.3947e-03 8.3504e+01 1.7207e-02 1.4893e-02 1.1195e-02 2.2261e+02 1.4837e+02 0.0000e+00 0.0000e+00
1.0842e-03 8.9173e+02 2.8937e-02 -2.5536e-03 1.7667e+03 1.7811e+03 -2.8043e-03 8.3504e+01 2.0231e-02 1.7508e-02 1.3144e-02 2.2259e+02 1.4836e+02 0.0000e+00 0.0000e+00
1.1756e-03 9.6050e+02 3.0282e-02 -3.2225e-03 1.9069e+03 1.8021e+03 -3.2819e-03 8.3503e+01 2.3787e-02 2.0579e-02 1.5428e-02 2.2258e+02 1.4834e+02 0.0000e+00 0.0000e+00
1.2746e-03 1.0343e+03 3.1860e-02 -4.0668e-03 2.0571e+03 1.8261e+03 -3.8378e-03 8.3502e+01 2.7970e-02 2.4188e-02 1.8105e-02 2.2256e+02 1.4831e+02 0.0000e+00 0.0000e+00
1.3819e-03 1.1134e+03 3.3736e-02 -5.1323e-03 2.2179e+03 1.8535e+03 -4.4840e-03 8.3502e+01 3.2889e-02 2.8425e-02 2.1240e-02 2.2254e+02 1.4828e+02 0.0000e+00 0.0000e+00
1.4983e-03 1.1981e+03 3.6000e-02 -6.4763e-03 2.3896e+03 1.8847e+03 -5.2336e-03 8.3501e+01 3.8675e-02 3.3400e-02 2.4909e-02 2.2251e+02 1.4825e+02 0.0000e+00 0.0000e+00
1.6246e-03 1.2886e+03 3.8766e-02 -8.1703e-03 2.5728e+03 1.9203e+03 -6.1009e-03 8.3499e+01 4.5481e-02 3.9238e-02 2.9201e-02 2.2248e+02 1.4821e+02 0.0000e+00 0.0000e+00
1.7614e-03 1.3853e+03 4.2188e-02 -1.0304e-02 2.7679e+03 1.9608e+03 -7.1019e-03 8.3498e+01 5.3487e-02 4.6084e-02 3.4217e-02 2.2245e+02 1.4817e+02 0.0000e+00 0.0000e+00
1.9098e-03 1.4882e+03 4.6467e-02 -1.2986e-02 2.9753e+03 2.0066e+03 -8.2534e-03 8.3496e+01 6.2908e-02 5.4107e-02 4.0073e-02 2.2241e+02 1.4812e+02 0.0000e+00 0.0000e+00
2.0706e-03 1.5977e+03 5.1864e-02 -1.6356e-02 3.1954e+03 2.0584e+03 -9.5726e-03 8.3495e+01 7.3994e-02 6.3502e-02 4.6903e-02 2.2236e+02 1.4806e+02 0.0000e+00 0.0000e+00
