# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 6.8561e+02 1.9086e-02 -1.3887e-03 1.3551e+03 1.4603e+03 -1.6431e-03 5.7298e+01 1.1807e-02 1.0219e-02 7.6816e-03 1.5275e+02 1.0181e+02 0.0000e+00 0.0000e+00
1.0842e-03 7.3866e+02 1.9893e-02 -1.7522e-03 1.4634e+03 1.4754e+03 -1.9242e-03 5.7297e+01 1.3882e-02 1.2013e-02 9.0186e-03 1.5274e+02 1.0180e+02 0.0000e+00 0.0000e+00
1.1756e-03 7.9564e+02 2.0826e-02 -2.2112e-03 1.5796e+03 1.4928e+03 -2.2519e-03 5.7297e+01 1.6322e-02 1.4121e-02 1.0586e-02 1.5273e+02 1.0178e+02 0.0000e+00 0.0000e+00
1.2746e-03 8.5676e+02 2.1921e-02 -2.7905e-03 1.7040e+03 1.5126e+03 -2.6334e-03 5.7296e+01 1.9192e-02 1.6597e-02 1.2423e-02 1.5271e+02 1.0177e+02 0.0000e+00 0.0000e+00
1.3819e-03 9.2228e+02 2.3224e-02 -3.5216e-03 1.8371e+03 1.5353e+03 -3.0768e-03 5.7296e+01 2.2567e-02 1.9504e-02 1.4574e-02 1.5270e+02 1.0175e+02 0.0000e+00 0.0000e+00
1.4983e-03 9.9243e+02 2.4797e-02 -4.4438e-03 1.9794e+03 1.5612e+03 -3.5911e-03 5.7295e+01 2.6537e-02 2.2918e-02 1.7092e-02 1.5268e+02 1.0173e+02 0.0000e+00 0.0000e+00
1.6246e-03 1.0674e+03 2.6721e-02 -5.6062e-03 2.1311e+03 1.5907e+03 -4.1862e-03 5.7294e+01 3.1207e-02 2.6923e-02 2.0037e-02 1.5266e+02 1.0170e+02 0.0000e+00 0.0000e+00
1.7614e-03 1.1475e+03 2.9101e-02 -7.0699e-03 2.2928e+03 1.6242e+03 -4.8731e-03 5.7293e+01 3.6701e-02 3.1621e-02 2.3478e-02 1.5264e+02 1.0167e+02 0.0000e+00 0.0000e+00
1.9098e-03 1.2328e+03 3.2077e-02 -8.9109e-03 2.4646e+03 1.6622e+03 -5.6632e-03 5.7292e+01 4.3165e-02 3.7127e-02 2.7497e-02 1.5261e+02 1.0163e+02 0.0000e+00 0.0000e+00
2.0706e-03 1.3235e+03 3.5831e-02 -1.1223e-02 2.6469e+03 1.7051e+03 -6.5684e-03 5.7291e+01 5.0772e-02 4.3573e-02 3.2184e-02 1.5257e+02 1.0159e+02 0.0000e+00 0.0000e+00
2.2450e-03 1.4196e+03 4.0601e-02 -1.4120e-02 2.8399e+03 1.7535e+03 -7.6007e-03 5.7289e+01 5.9725e-02 5.1114e-02 3.7643e-02 1.5254e+02 1.0154e+02 0.0000e+00 0.0000e+00
