# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 3.9155e+03 6.0070e-01 -4.5292e-02 7.7405e+03 8.3396e+03 -5.3591e-02 1.8688e+03 3.8509e-01 3.3330e-01 2.5054e-01 4.9819e+03 3.3205e+03 0.0000e+00 0.0000e+00
1.0842e-03 4.2184e+03 6.2119e-01 -5.7148e-02 8.3590e+03 8.4260e+03 -6.2758e-02 1.8688e+03 4.5276e-01 3.9181e-01 2.9414e-01 4.9816e+03 3.3201e+03 0.0000e+00 0.0000e+00
1.1756e-03 4.5437e+03 6.4427e-01 -7.2117e-02 9.0224e+03 8.5250e+03 -7.3446e-02 1.8688e+03 5.3235e-01 4.6054e-01 3.4526e-01 4.9812e+03 3.3197e+03 0.0000e+00 0.0000e+00
1.2746e-03 4.8928e+03 6.7068e-01 -9.1011e-02 9.7329e+03 8.6384e+03 -8.5888e-02 1.8688e+03 6.2595e-01 5.4129e-01 4.0516e-01 4.9808e+03 3.3191e+03 0.0000e+00 0.0000e+00
1.3819e-03 5.2669e+03 7.0143e-01 -1.1486e-01 1.0493e+04 8.7680e+03 -1.0035e-01 1.8687e+03 7.3603e-01 6.3612e-01 4.7531e-01 4.9803e+03 3.3185e+03 0.0000e+00 0.0000e+00
1.4983e-03 5.6675e+03 7.3789e-01 -1.4493e-01 1.1305e+04 8.9159e+03 -1.1712e-01 1.8687e+03 8.6551e-01 7.4744e-01 5.5743e-01 4.9797e+03 3.3178e+03 0.0000e+00 0.0000e+00
1.6246e-03 6.0957e+03 7.8189e-01 -1.8284e-01 1.2172e+04 9.0842e+03 -1.3653e-01 1.8687e+03 1.0178e+00 8.7806e-01 6.5347e-01 4.9790e+03 3.3169e+03 0.0000e+00 0.0000e+00
1.7614e-03 6.5529e+03 8.3588e-01 -2.3057e-01 1.3095e+04 9.2756e+03 -1.5893e-01 1.8686e+03 1.1970e+00 1.0313e+00 7.6570e-01 4.9782e+03 3.3159e+03 0.0000e+00 0.0000e+00
1.9098e-03 7.0398e+03 9.0317e-01 -2.9061e-01 1.4076e+04 9.4925e+03 -1.8470e-01 1.8686e+03 1.4078e+00 1.2108e+00 8.9675e-01 4.9772e+03 3.3147e+03 0.0000e+00 0.0000e+00
2.0706e-03 7.5575e+03 9.8813e-01 -3.6600e-01 1.5117e+04 9.7377e+03 -2.1422e-01 1.8686e+03 1.6559e+00 1.4210e+00 1.0496e+00 4.9761e+03 3.3133e+03 0.0000e+00 0.0000e+00
2.2450e-03 8.1065e+03 1.0966e+00 -4.6049e-01 1.6219e+04 1.0014e+04 -2.4788e-01 1.8685e+03 1.9478e+00 1.6669e+00 1.2276e+00 4.9748e+03 3.3117e+03 0.0000e+00 0.0000e+00
2.4341e-03 8.6872e+03 1.2363e+00 -5.7866e-01 1.7383e+04 1.0325e+04 -2.8605e-01 1.8684e+03 2.2915e+00 1.9541e+00 1.4346e+00 4.9733e+03 3.3098e+03 0.0000e+00 0.0000e+00
2.6392e-03 9.2996e+03 1.4171e+00 -7.2609e-01 1.8610e+04 1.0674e+04 -3.2902e-01 1.8684e+03 2.6962e+00 2.2890e+00 1.6750e+00 4.9714e+03 3.3076e+03 0.0000e+00 0.0000e+00
2.8615e-03 9.9435e+03 1.6522e+00 -9.0950e-01 1.9900e+04 1.1063e+04 -3.7700e-01 1.8683e+03 3.1727e+00 2.6789e+00 1.9536e+00 4.9693e+03 3.3050e+03 0.0000e+00 0.0000e+00
3.1025e-03 1.0618e+04 1.9581e+00 -1.1370e+00 2.1253e+04 1.1496e+04 -4.2997e-01 1.8682e+03 3.7340e+00 3.1317e+00 2.2757e+00 4.9668e+03 3.3020e+03 0.0000e+00 0.0000e+00
3.3638e-03 1.1324e+04 2.3557e+00 -1.4184e+00 2.2666e+04 1.1975e+04 -4.8766e-01 1.8680e+03 4.3954e+00 3.6561e+00 2.6472e+00 4.9639e+03 3.2986e+03 0.0000e+00 0.0000e+00
3.6472e-03 1.2059e+04 2.8708e+00 -1.7655e+00 2.4138e+04 1.2502e+04 -5.4936e-01 1.8679e+03 5.1749e+00 4.2613e+00 3.0744e+00 4.9605e+03 3.2945e+03 0.0000e+00 0.0000e+00
3.9544e-03 1.2823e+04 3.5349e+00 -2.1923e+00 2.5666e+04 1.3080e+04 -6.1371e-01 1.8677e+03 6.0940e+00 4.9570e+00 3.5639e+00 4.9565e+03 3.2898e+03 0.0000e+00 0.0000e+00
4.2875e-03 1.3613e+04 4.3851e+00 -2.7155e+00 2.7246e+04 1.3710e+04 -6.7851e-01 1.8675e+03 7.1780e+00 5.7529e+00 4.1227e+00 4.9518e+03 3.2844e+03 0.0000e+00 0.0000e+00
4.6486e-03 1.4429e+04 5.4643e+00 -3.3549e+00 2.8873e+04 1.4391e+04 -7.4028e-01 1.8673e+03 8.4570e+00 6.6582e+00 4.7577e+00 4.9464e+03 3.2780e+03 0.0000e+00 0.0000e+00
5.0402e-03 1.5265e+04 6.8208e+00 -4.1333e+00 3.0541e+04 1.5121e+04 -7.9390e-01 1.8670e+03 9.9667e+00 7.6812e+00 5.4757e+00 4.9400e+03 3.2708e+03 0.0000e+00 0.0000e+00
5.4648e-03 1.6117e+04 8.5071e+00 -5.0762e+00 3.2241e+04 1.5898e+04 -8.3192e-01 1.8666e+03 1.1749e+01 8.8280e+00 6.2826e+00 4.9326e+03 3.2624e+03 0.0000e+00 0.0000e+00
5.9251e-03 1.6977e+04 1.0579e+01 -6.2116e+00 3.3963e+04 1.6716e+04 -8.4386e-01 1.8663e+03 1.3855e+01 1.0102e+01 7.1832e+00 4.9239e+03 3.2527e+03 0.0000e+00 0.0000e+00
