# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 9.4737e+02 3.6338e-02 -2.6514e-03 1.8724e+03 2.0178e+03 -3.1372e-03 1.0940e+02 2.2543e-02 1.9512e-02 1.4667e-02 2.9164e+02 1.9438e+02 0.0000e+00 0.0000e+00
1.0842e-03 1.0207e+03 3.7850e-02 -3.3455e-03 2.0221e+03 2.0387e+03 -3.6739e-03 1.0940e+02 2.6505e-02 2.2937e-02 1.7219e-02 2.9162e+02 1.9436e+02 0.0000e+00 0.0000e+00
1.1756e-03 1.0994e+03 3.9597e-02 -4.2218e-03 2.1826e+03 2.0626e+03 -4.2995e-03 1.0940e+02 3.1164e-02 2.6961e-02 2.0212e-02 2.9160e+02 1.9433e+02 0.0000e+00 0.0000e+00
1.2746e-03 1.1838e+03 4.1643e-02 -5.3279e-03 2.3546e+03 2.0901e+03 -5.0279e-03 1.0940e+02 3.6643e-02 3.1688e-02 2.3719e-02 2.9157e+02 1.9430e+02 0.0000e+00 0.0000e+00
1.3819e-03 1.2744e+03 4.4076e-02 -6.7238e-03 2.5386e+03 2.1214e+03 -5.8745e-03 1.0939e+02 4.3087e-02 3.7240e-02 2.7826e-02 2.9155e+02 1.9427e+02 0.0000e+00 0.0000e+00
1.4983e-03 1.3713e+03 4.7009e-02 -8.4845e-03 2.7351e+03 2.1572e+03 -6.8564e-03 1.0939e+02 5.0667e-02 4.3757e-02 3.2633e-02 2.9151e+02 1.9422e+02 0.0000e+00 0.0000e+00
1.6246e-03 1.4750e+03 5.0593e-02 -1.0704e-02 2.9448e+03 2.1980e+03 -7.9928e-03 1.0939e+02 5.9584e-02 5.1405e-02 3.8256e-02 2.9147e+02 1.9417e+02 0.0000e+00 0.0000e+00
1.7614e-03 1.5856e+03 5.5025e-02 -1.3498e-02 3.1681e+03 2.2443e+03 -9.3042e-03 1.0939e+02 7.0073e-02 6.0374e-02 4.4827e-02 2.9143e+02 1.9412e+02 0.0000e+00 0.0000e+00
1.9098e-03 1.7034e+03 6.0565e-02 -1.7013e-02 3.4055e+03 2.2967e+03 -1.0813e-02 1.0939e+02 8.2415e-02 7.0885e-02 5.2499e-02 2.9137e+02 1.9405e+02 0.0000e+00 0.0000e+00
2.0706e-03 1.8287e+03 6.7555e-02 -2.1427e-02 3.6574e+03 2.3561e+03 -1.2541e-02 1.0939e+02 9.6939e-02 8.3193e-02 6.1448e-02 2.9131e+02 1.9397e+02 0.0000e+00 0.0000e+00
2.2450e-03 1.9616e+03 7.6439e-02 -2.6960e-02 3.9242e+03 2.4230e+03 -1.4512e-02 1.0938e+02 1.1403e-01 9.7590e-02 7.1871e-02 2.9123e+02 1.9387e+02 0.0000e+00 0.0000e+00
2.4341e-03 2.1022e+03 8.7796e-02 -3.3879e-02 4.2060e+03 2.4982e+03 -1.6747e-02 1.0938e+02 1.3415e-01 1.1441e-01 8.3994e-02 2.9115e+02 1.9377e+02 0.0000e+00 0.0000e+00
2.6392e-03 2.2504e+03 1.0237e-01 -4.2512e-02 4.5030e+03 2.5825e+03 -1.9263e-02 1.0938e+02 1.5785e-01 1.3402e-01 9.8071e-02 2.9104e+02 1.9364e+02 0.0000e+00 0.0000e+00
2.8615e-03 2.4063e+03 1.2112e-01 -5.3252e-02 4.8153e+03 2.6767e+03 -2.2072e-02 1.0937e+02 1.8575e-01 1.5686e-01 1.1439e-01 2.9092e+02 1.9349e+02 0.0000e+00 0.0000e+00
3.1025e-03 2.5697e+03 1.4526e-01 -6.6576e-02 5.1426e+03 2.7813e+03 -2.5175e-02 1.0936e+02 2.1861e-01 1.8338e-01 1.3325e-01 2.9078e+02 1.9332e+02 0.0000e+00 0.0000e+00
3.3638e-03 2.7406e+03 1.7631e-01 -8.3058e-02 5.4846e+03 2.8972e+03 -2.8553e-02 1.0936e+02 2.5734e-01 2.1409e-01 1.5501e-01 2.9062e+02 1.9312e+02 0.0000e+00 0.0000e+00
3.6472e-03 2.9186e+03 2.1615e-01 -1.0338e-01 5.8410e+03 3.0248e+03 -3.2166e-02 1.0935e+02 3.0299e-01 2.4955e-01 1.8003e-01 2.9042e+02 1.9289e+02 0.0000e+00 0.0000e+00
3.9544e-03 3.1036e+03 2.6706e-01 -1.2838e-01 6.2110e+03 3.1647e+03 -3.5936e-02 1.0934e+02 3.5682e-01 2.9031e-01 2.0871e-01 2.9020e+02 1.9262e+02 0.0000e+00 0.0000e+00
4.2875e-03 3.2952e+03 3.3176e-01 -1.5904e-01 6.5936e+03 3.3169e+03 -3.9731e-02 1.0933e+02 4.2030e-01 3.3695e-01 2.4145e-01 2.8993e+02 1.9230e+02 0.0000e+00 0.0000e+00
4.6486e-03 3.4929e+03 4.1342e-01 -1.9650e-01 6.9876e+03 3.4816e+03 -4.3351e-02 1.0932e+02 4.9522e-01 3.9002e-01 2.7866e-01 2.8962e+02 1.9194e+02 0.0000e+00 0.0000e+00
5.0402e-03 3.6957e+03 5.1567e-01 -2.4211e-01 7.3915e+03 3.6582e+03 -4.6493e-02 1.0930e+02 5.8366e-01 4.4999e-01 3.2075e-01 2.8926e+02 1.9152e+02 0.0000e+00 0.0000e+00
5.4648e-03 3.9023e+03 6.4251e-01 -2.9738e-01 7.8033e+03 3.8461e+03 -4.8721e-02 1.0929e+02 6.8809e-01 5.1724e-01 3.6805e-01 2.8884e+02 1.9104e+02 0.0000e+00 0.0000e+00
5.9251e-03 4.1110e+03 7.9829e-01 -3.6394e-01 8.2205e+03 4.0439e+03 -4.9422e-02 1.0927e+02 8.1147e-01 5.9196e-01 4.2088e-01 2.8835e+02 1.9048e+02 0.0000e+00 0.0000e+00
6.4242e-03 4.3199e+03 9.8769e-01 -4.4359e-01 8.6399e+03 4.2498e+03 -4.7743e-02 1.0924e+02 9.5727e-01 6.7407e-01 4.7939e-01 2.8778e+02 1.8985e+02 0.0000e+00 0.0000e+00
6.9653e-03 4.5272e+03 1.2157e+00 -5.3832e-01 9.0578e+03 4.4614e+03 -4.2526e-02 1.0922e+02 1.1296e+00 7.6316e-01 5.4363e-01 2.8712e+02 1.8912e+02 0.0000e+00 0.0000e+00
7.5520e-03 4.7317e+03 1.4879e+00 -6.5033e-01 9.4695e+03 4.6754e+03 -3.2216e-02 1.0918e+02 1.3334e+00 8.5839e-01 6.1341e-01 2.8635e+02 1.8829e+02 0.0000e+00 0.0000e+00
8.1881e-03 4.9320e+03 1.8108e+00 -7.8199e-01 9.8698e+03 4.8881e+03 -1.4754e-02 1.0915e+02 1.5743e+00 9.5841e-01 6.8825e-01 2.8546e+02 1.8735e+02 0.0000e+00 0.0000e+00
8.8778e-03 5.1248e+03 2.1922e+00 -9.3545e-01 1.0253e+04 5.0951e+03 1.2543e-02 1.0910e+02 1.8591e+00 1.0613e+00 7.6734e-01 2.8444e+02 1.8628e+02 0.0000e+00 0.0000e+00
9.6256e-03 5.3053e+03 2.6419e+00 -1.1122e+00 1.0613e+04 5.2914e+03 5.3136e-02 1.0905e+02 2.1956e+00 1.1644e+00 8.4941e-01 2.8326e+02 1.8507e+02 0.0000e+00 0.0000e+00
1.0436e-02 5.4687e+03 3.1711e+00 -1.3131e+00 1.0943e+04 5.4716e+03 1.1142e-01 1.0899e+02 2.5929e+00 1.2646e+00 9.3268e-01 2.8190e+02 1.8372e+02 0.0000e+00 0.0000e+00
1.1315e-02 5.6134e+03 3.7908e+00 -1.5394e+00 1.1238e+04 5.6304e+03 1.9291e-01 1.0892e+02 3.0615e+00 1.3577e+00 1.0148e+00 2.8035e+02 1.8220e+02 0.0000e+00 0.0000e+00
1.2269e-02 5.7388e+03 4.5095e+00 -1.7920e+00 1.1489e+04 5.7626e+03 3.0443e-01 1.0884e+02 3.6134e+00 1.4389e+00 1.0927e+00 2.7859e+02 1.8051e+02 0.0000e+00 0.0000e+00
1.3302e-02 5.8392e+03 5.3313e+00 -2.0689e+00 1.1688e+04 5.8635e+03 4.5424e-01 1.0875e+02 4.2620e+00 1.5021e+00 1.1626e+00 2.7658e+02 1.7864e+02 0.0000e+00 0.0000e+00
1.4422e-02 5.9055e+03 6.2570e+00 -2.3651e+00 1.1824e+04 5.9293e+03 6.5223e-01 1.0864e+02 5.0223e+00 1.5397e+00 1.2202e+00 2.7430e+02 1.7658e+02 0.0000e+00 0.0000e+00
1.5637e-02 5.9356e+03 7.2865e+00 -2.6758e+00 1.1889e+04 5.9571e+03 9.0988e-01 1.0851e+02 5.9106e+00 1.5425e+00 1.2604e+00 2.7174e+02 1.7431e+02 0.0000e+00 0.0000e+00
1.6955e-02 5.9283e+03 8.4216e+00 -2.9943e+00 1.1876e+04 5.9449e+03 1.2402e+00 1.0837e+02 6.9443e+00 1.4995e+00 1.2776e+00 2.6887e+02 1.7184e+02 0.0000e+00 0.0000e+00
1.8383e-02 5.8782e+03 9.6594e+00 -3.3097e+00 1.1779e+04 5.8917e+03 1.6576e+00 1.0820e+02 8.1415e+00 1.3991e+00 1.2661e+00 2.6567e+02 1.6916e+02 0.0000e+00 0.0000e+00
1.9931e-02 5.7838e+03 1.0981e+01 -3.6095e+00 1.1593e+04 5.7965e+03 2.1773e+00 1.0800e+02 9.5203e+00 1.2307e+00 1.2205e+00 2.6211e+02 1.6626e+02 0.0000e+00 0.0000e+00
2.1610e-02 5.6414e+03 1.2353e+01 -3.8773e+00 1.1313e+04 5.6585e+03 2.8146e+00 1.0777e+02 1.1098e+01 9.8642e-01 1.1358e+00 2.5818e+02 1.6314e+02 0.0000e+00 0.0000e+00
2.3430e-02 5.4526e+03 1.3750e+01 -4.0972e+00 1.0939e+04 5.4770e+03 3.5840e+00 1.0751e+02 1.2890e+01 6.6237e-01 1.0084e+00 2.5387e+02 1.5979e+02 0.0000e+00 0.0000e+00
2.5404e-02 5.2222e+03 1.5148e+01 -4.2555e+00 1.0482e+04 5.2527e+03 4.4978e+00 1.0721e+02 1.4907e+01 2.5664e-01 8.3611e-01 2.4916e+02 1.5623e+02 0.0000e+00 0.0000e+00
2.7544e-02 4.9537e+03 1.6507e+01 -4.3366e+00 9.9501e+03 4.9888e+03 5.5652e+00 1.0686e+02 1.7157e+01 -2.3284e-01 6.1844e-01 2.4405e+02 1.5243e+02 0.0000e+00 0.0000e+00
2.9864e-02 4.6553e+03 1.7794e+01 -4.3312e+00 9.3571e+03 4.6929e+03 6.7909e+00 1.0646e+02 1.9642e+01 -8.0717e-01 3.5634e-01 2.3853e+02 1.4842e+02 0.0000e+00 0.0000e+00
3.2379e-02 4.3397e+03 1.9008e+01 -4.2389e+00 8.7304e+03 4.3779e+03 8.1752e+00 1.0599e+02 2.2357e+01 -1.4617e+00 5.1579e-02 2.3259e+02 1.4418e+02 0.0000e+00 0.0000e+00
3.5106e-02 4.0190e+03 2.0136e+01 -4.0649e+00 8.0936e+03 4.0595e+03 9.7147e+00 1.0546e+02 2.5295e+01 -2.1872e+00 -2.9424e-01 2.2623e+02 1.3973e+02 0.0000e+00 0.0000e+00
3.8064e-02 3.7072e+03 2.1215e+01 -3.8233e+00 7.4742e+03 3.7530e+03 1.1405e+01 1.0486e+02 2.8447e+01 -2.9818e+00 -6.8124e-01 2.1945e+02 1.3508e+02 0.0000e+00 0.0000e+00
4.1270e-02 3.4187e+03 2.2303e+01 -3.5361e+00 6.9021e+03 3.4695e+03 1.3244e+01 1.0416e+02 3.1806e+01 -3.8555e+00 -1.1131e+00 2.1224e+02 1.3025e+02 0.0000e+00 0.0000e+00
4.4746e-02 3.1624e+03 2.3479e+01 -3.2214e+00 6.3947e+03 3.2168e+03 1.5241e+01 1.0337e+02 3.5373e+01 -4.8182e+00 -1.5983e+00 2.0459e+02 1.2526e+02 0.0000e+00 0.0000e+00
4.8515e-02 2.9450e+03 2.4812e+01 -2.8938e+00 5.9650e+03 3.0018e+03 1.7421e+01 1.0248e+02 3.9164e+01 -5.8858e+00 -2.1490e+00 1.9651e+02 1.2016e+02 0.0000e+00 0.0000e+00
5.2602e-02 2.7628e+03 2.6355e+01 -2.5426e+00 5.6075e+03 2.8264e+03 1.9824e+01 1.0146e+02 4.3206e+01 -7.0874e+00 -2.7783e+00 1.8804e+02 1.1500e+02 0.0000e+00 0.0000e+00
5.7032e-02 2.6110e+03 2.8120e+01 -2.1478e+00 5.3119e+03 2.6803e+03 2.2506e+01 1.0032e+02 4.7532e+01 -8.4341e+00 -3.4950e+00 1.7921e+02 1.0982e+02 0.0000e+00 0.0000e+00
6.1836e-02 2.4667e+03 2.9919e+01 -1.6354e+00 5.0313e+03 2.5419e+03 2.5514e+01 9.9037e+01 5.2158e+01 -9.9216e+00 -4.2949e+00 1.7011e+02 1.0466e+02 0.0000e+00 0.0000e+00
6.7045e-02 2.3070e+03 3.1460e+01 -9.2672e-01 4.7204e+03 2.3900e+03 2.8855e+01 9.7601e+01 5.7050e+01 -1.1505e+01 -5.1517e+00 1.6086e+02 9.9542e+01 0.0000e+00 0.0000e+00
7.2692e-02 2.1199e+03 3.2449e+01 1.3397e-02 4.3533e+03 2.2066e+03 3.2452e+01 9.6003e+01 6.2089e+01 -1.3098e+01 -6.0160e+00 1.5158e+02 9.4478e+01 0.0000e+00 0.0000e+00
7.8815e-02 1.8935e+03 3.2492e+01 1.1936e+00 3.9025e+03 1.9815e+03 3.6123e+01 9.4235e+01 6.7055e+01 -1.4582e+01 -6.8229e+00 1.4240e+02 8.9455e+01 0.0000e+00 0.0000e+00
8.5454e-02 1.6453e+03 3.1659e+01 2.4944e+00 3.4063e+03 1.7345e+03 3.9604e+01 9.2294e+01 7.1662e+01 -1.5851e+01 -7.5139e+00 1.3336e+02 8.4465e+01 0.0000e+00 0.0000e+00
9.2652e-02 1.4098e+03 3.0439e+01 3.7248e+00 2.9381e+03 1.5024e+03 4.2660e+01 9.0182e+01 7.5677e+01 -1.6864e+01 -8.0708e+00 1.2449e+02 7.9521e+01 0.0000e+00 0.0000e+00
1.0046e-01 1.2236e+03 2.9481e+01 4.7082e+00 2.5645e+03 1.3156e+03 4.5222e+01 8.7904e+01 7.9048e+01 -1.7677e+01 -8.5252e+00 1.1574e+02 7.4663e+01 0.0000e+00 0.0000e+00
1.0892e-01 1.0985e+03 2.9376e+01 5.4242e+00 2.3176e+03 1.1930e+03 4.7471e+01 8.5469e+01 8.1974e+01 -1.8407e+01 -8.9420e+00 1.0707e+02 6.9954e+01 0.0000e+00 0.0000e+00
1.1809e-01 1.0146e+03 2.9912e+01 6.0349e+00 2.1540e+03 1.1125e+03 4.9745e+01 8.2884e+01 8.4781e+01 -1.9151e+01 -9.3699e+00 9.8553e+01 6.5444e+01 0.0000e+00 0.0000e+00
1.2804e-01 9.2973e+02 3.0146e+01 6.7683e+00 1.9876e+03 1.0305e+03 5.2209e+01 8.0151e+01 8.7594e+01 -1.9878e+01 -9.7863e+00 9.0331e+01 6.1134e+01 0.0000e+00 0.0000e+00
1.3883e-01 8.1359e+02 2.9093e+01 7.6831e+00 1.7555e+03 9.1474e+02 5.4577e+01 7.7276e+01 9.0083e+01 -2.0427e+01 -1.0101e+01 8.2563e+01 5.6982e+01 0.0000e+00 0.0000e+00
1.5052e-01 6.8297e+02 2.7003e+01 8.5380e+00 1.4906e+03 7.8147e+02 5.6274e+01 7.4272e+01 9.1671e+01 -2.0649e+01 -1.0236e+01 7.5285e+01 5.2960e+01 0.0000e+00 0.0000e+00
1.6320e-01 5.8120e+02 2.5300e+01 9.0639e+00 1.2835e+03 6.7738e+02 5.7090e+01 7.1165e+01 9.2193e+01 -2.0585e+01 -1.0218e+01 6.8405e+01 4.9098e+01 0.0000e+00 0.0000e+00
1.7694e-01 5.1975e+02 2.4639e+01 9.3264e+00 1.1596e+03 6.1531e+02 5.7494e+01 6.7981e+01 9.2159e+01 -2.0422e+01 -1.0147e+01 6.1857e+01 4.5449e+01 0.0000e+00 0.0000e+00
1.9185e-01 4.6623e+02 2.3975e+01 9.5969e+00 1.0518e+03 5.6149e+02 5.7937e+01 6.4736e+01 9.2008e+01 -2.0243e+01 -1.0064e+01 5.5713e+01 4.2015e+01 0.0000e+00 0.0000e+00
2.0801e-01 3.9744e+02 2.2282e+01 9.8920e+00 9.1000e+02 4.8962e+02 5.8086e+01 6.1442e+01 9.1383e+01 -1.9925e+01 -9.8979e+00 5.0068e+01 3.8751e+01 0.0000e+00 0.0000e+00
2.2553e-01 3.3640e+02 2.0533e+01 9.9886e+00 7.8273e+02 4.2480e+02 5.7499e+01 5.8127e+01 8.9874e+01 -1.9385e+01 -9.6113e+00 4.4880e+01 3.5653e+01 0.0000e+00 0.0000e+00
2.4453e-01 2.9580e+02 1.9446e+01 9.9139e+00 6.9799e+02 3.8172e+02 5.6534e+01 5.4820e+01 8.7880e+01 -1.8753e+01 -9.2744e+00 4.0080e+01 3.2755e+01 0.0000e+00 0.0000e+00
2.6512e-01 2.5652e+02 1.8146e+01 9.8116e+00 6.1516e+02 3.3928e+02 5.5465e+01 5.1534e+01 8.5677e+01 -1.8104e+01 -8.9237e+00 3.5692e+01 3.0041e+01 0.0000e+00 0.0000e+00
2.8746e-01 2.1789e+02 1.6607e+01 9.6187e+00 5.3237e+02 2.9654e+02 5.3982e+01 4.8292e+01 8.2966e+01 -1.7352e+01 -8.5150e+00 3.1718e+01 2.7491e+01 0.0000e+00 0.0000e+00
3.1167e-01 1.8883e+02 1.5377e+01 9.3272e+00 4.6942e+02 2.6390e+02 5.2205e+01 4.5115e+01 7.9898e+01 -1.6538e+01 -8.0723e+00 2.8110e+01 2.5118e+01 0.0000e+00 0.0000e+00
3.3792e-01 1.6190e+02 1.4071e+01 8.9882e+00 4.1030e+02 2.3303e+02 5.0281e+01 4.2018e+01 7.6632e+01 -1.5717e+01 -7.6240e+00 2.4856e+01 2.2908e+01 0.0000e+00 0.0000e+00
3.6639e-01 1.3871e+02 1.2820e+01 8.5899e+00 3.5857e+02 2.0581e+02 4.8123e+01 3.9017e+01 7.3100e+01 -1.4857e+01 -7.1544e+00 2.1936e+01 2.0855e+01 0.0000e+00 0.0000e+00
3.9725e-01 1.1902e+02 1.1645e+01 8.1490e+00 3.1393e+02 1.8216e+02 4.5849e+01 3.6126e+01 6.9437e+01 -1.4000e+01 -6.6861e+00 1.9319e+01 1.8955e+01 0.0000e+00 0.0000e+00
4.3071e-01 1.0182e+02 1.0511e+01 7.6743e+00 2.7425e+02 1.6095e+02 4.3460e+01 3.3355e+01 6.5658e+01 -1.3142e+01 -6.2183e+00 1.6986e+01 1.7198e+01 0.0000e+00 0.0000e+00
4.6699e-01 8.7133e+01 9.4464e+00 7.1744e+00 2.3973e+02 1.4235e+02 4.1007e+01 3.0712e+01 6.1829e+01 -1.2300e+01 -5.7598e+00 1.4909e+01 1.5579e+01 0.0000e+00 0.0000e+00
5.0632e-01 7.4481e+01 8.4419e+00 6.6581e+00 2.0939e+02 1.2585e+02 3.8515e+01 2.8203e+01 5.7988e+01 -1.1478e+01 -5.3132e+00 1.3067e+01 1.4089e+01 0.0000e+00 0.0000e+00
5.4897e-01 6.3616e+01 7.5004e+00 6.1328e+00 1.8278e+02 1.1125e+02 3.6015e+01 2.5834e+01 5.4175e+01 -1.0683e+01 -4.8829e+00 1.1437e+01 1.2722e+01 0.0000e+00 0.0000e+00
5.9521e-01 5.4300e+01 6.6220e+00 5.6058e+00 1.5945e+02 9.8327e+01 3.3530e+01 2.3605e+01 5.0422e+01 -9.9186e+00 -4.4713e+00 9.9972e+00 1.1470e+01 0.0000e+00 0.0000e+00
6.4535e-01 4.6310e+01 5.8052e+00 5.0826e+00 1.3897e+02 8.6870e+01 3.1083e+01 2.1516e+01 4.6759e+01 -9.1883e+00 -4.0802e+00 8.7287e+00 1.0325e+01 0.0000e+00 0.0000e+00
6.9971e-01 3.9461e+01 5.0488e+00 4.5681e+00 1.2099e+02 7.6706e+01 2.8690e+01 1.9568e+01 4.3208e+01 -8.4940e+00 -3.7110e+00 7.6128e+00 9.2802e+00 0.0000e+00 0.0000e+00
7.5865e-01 3.3592e+01 4.3509e+00 4.0662e+00 1.0518e+02 6.7681e+01 2.6366e+01 1.7756e+01 3.9787e+01 -7.8367e+00 -3.3642e+00 6.6326e+00 8.3289e+00 0.0000e+00 0.0000e+00
8.2255e-01 2.8563e+01 3.7095e+00 3.5806e+00 9.1281e+01 5.9659e+01 2.4122e+01 1.6076e+01 3.6511e+01 -7.2166e+00 -3.0400e+00 5.7727e+00 7.4639e+00 0.0000e+00 0.0000e+00
8.9184e-01 2.4254e+01 3.1227e+00 3.1146e+00 7.9050e+01 5.2520e+01 2.1967e+01 1.4525e+01 3.3388e+01 -6.6330e+00 -2.7383e+00 5.0192e+00 6.6788e+00 0.0000e+00 0.0000e+00
9.6696e-01 2.0562e+01 2.5884e+00 2.6709e+00 6.8281e+01 4.6163e+01 1.9908e+01 1.3096e+01 3.0425e+01 -6.0850e+00 -2.4584e+00 4.3595e+00 5.9673e+00 0.0000e+00 0.0000e+00
1.0484e+00 1.7399e+01 2.1047e+00 2.2525e+00 5.8798e+01 4.0495e+01 1.7951e+01 1.1783e+01 2.7626e+01 -5.5711e+00 -2.1998e+00 3.7824e+00 5.3233e+00 0.0000e+00 0.0000e+00
1.1367e+00 1.4689e+01 1.6699e+00 1.8617e+00 5.0446e+01 3.5439e+01 1.6098e+01 1.0579e+01 2.4992e+01 -5.0898e+00 -1.9614e+00 3.2779e+00 4.7413e+00 0.0000e+00 0.0000e+00
1.2325e+00 1.2368e+01 1.2822e+00 1.5010e+00 4.3095e+01 3.0928e+01 1.4353e+01 9.4793e+00 2.2523e+01 -4.6393e+00 -1.7425e+00 2.8370e+00 4.2159e+00 0.0000e+00 0.0000e+00
1.3363e+00 1.0382e+01 9.4029e-01 1.1724e+00 3.6633e+01 2.6903e+01 1.2717e+01 8.4758e+00 2.0216e+01 -4.2177e+00 -1.5420e+00 2.4519e+00 3.7423e+00 0.0000e+00 0.0000e+00
1.4488e+00 8.6835e+00 6.4259e-01 8.7779e-01 3.0961e+01 2.3313e+01 1.1193e+01 7.5623e+00 1.8068e+01 -3.8232e+00 -1.3589e+00 2.1157e+00 3.3159e+00 0.0000e+00 0.0000e+00
1.5709e+00 7.2331e+00 3.8764e-01 6.1875e-01 2.5999e+01 2.0116e+01 9.7800e+00 6.7322e+00 1.6077e+01 -3.4543e+00 -1.1922e+00 1.8223e+00 2.9323e+00 0.0000e+00 0.0000e+00
1.7032e+00 5.9973e+00 1.7380e-01 3.9617e-01 2.1674e+01 1.7274e+01 8.4799e+00 5.9795e+00 1.4238e+01 -3.1095e+00 -1.0409e+00 1.5664e+00 2.5878e+00 0.0000e+00 0.0000e+00
1.8467e+00 4.9472e+00 -8.5771e-04 2.1029e-01 1.7924e+01 1.4754e+01 7.2925e+00 5.2982e+00 1.2546e+01 -2.7875e+00 -9.0423e-01 1.3433e+00 2.2787e+00 0.0000e+00 0.0000e+00
2.0022e+00 4.0582e+00 -1.3860e-01 6.0462e-02 1.4693e+01 1.2530e+01 6.2172e+00 4.6827e+00 1.0997e+01 -2.4874e+00 -7.8124e-01 1.1490e+00 2.0019e+00 0.0000e+00 0.0000e+00
2.1709e+00 3.3089e+00 -2.4216e-01 -5.4917e-02 1.1931e+01 1.0576e+01 5.2525e+00 4.1279e+00 9.5863e+00 -2.2082e+00 -6.7112e-01 9.8013e-01 1.7543e+00 0.0000e+00 0.0000e+00
2.3537e+00 2.6807e+00 -3.1478e-01 -1.3846e-01 9.5906e+00 8.8685e+00 4.3960e+00 3.6287e+00 8.3090e+00 -1.9496e+00 -5.7307e-01 8.3349e-01 1.5333e+00 0.0000e+00 0.0000e+00
