# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 7.7592e+02 2.4422e-02 -1.7786e-03 1.5336e+03 1.6526e+03 -2.1045e-03 7.3386e+01 1.5122e-02 1.3089e-02 9.8385e-03 1.9563e+02 1.3039e+02 0.0000e+00 0.0000e+00
1.0842e-03 8.3597e+02 2.5448e-02 -2.2442e-03 1.6562e+03 1.6697e+03 -2.4645e-03 7.3385e+01 1.7780e-02 1.5386e-02 1.1551e-02 1.9562e+02 1.3038e+02 0.0000e+00 0.0000e+00
1.1756e-03 9.0043e+02 2.6635e-02 -2.8320e-03 1.7876e+03 1.6894e+03 -2.8842e-03 7.3385e+01 2.0905e-02 1.8086e-02 1.3558e-02 1.9561e+02 1.3036e+02 0.0000e+00 0.0000e+00
1.2746e-03 9.6961e+02 2.8027e-02 -3.5740e-03 1.9285e+03 1.7119e+03 -3.3728e-03 7.3384e+01 2.4581e-02 2.1257e-02 1.5911e-02 1.9559e+02 1.3034e+02 0.0000e+00 0.0000e+00
1.3819e-03 1.0438e+03 2.9683e-02 -4.5104e-03 2.0791e+03 1.7375e+03 -3.9407e-03 7.3383e+01 2.8904e-02 2.4981e-02 1.8666e-02 1.9557e+02 1.3032e+02 0.0000e+00 0.0000e+00
1.4983e-03 1.1232e+03 3.1682e-02 -5.6915e-03 2.2401e+03 1.7668e+03 -4.5994e-03 7.3383e+01 3.3988e-02 2.9353e-02 2.1891e-02 1.9555e+02 1.3029e+02 0.0000e+00 0.0000e+00
1.6246e-03 1.2080e+03 3.4125e-02 -7.1803e-03 2.4119e+03 1.8002e+03 -5.3617e-03 7.3382e+01 3.9970e-02 3.4483e-02 2.5663e-02 1.9552e+02 1.3025e+02 0.0000e+00 0.0000e+00
1.7614e-03 1.2986e+03 3.7147e-02 -9.0550e-03 2.5948e+03 1.8381e+03 -6.2414e-03 7.3380e+01 4.7006e-02 4.0500e-02 3.0071e-02 1.9549e+02 1.3022e+02 0.0000e+00 0.0000e+00
1.9098e-03 1.3952e+03 4.0926e-02 -1.1413e-02 2.7892e+03 1.8811e+03 -7.2533e-03 7.3379e+01 5.5285e-02 4.7551e-02 3.5217e-02 1.9546e+02 1.3017e+02 0.0000e+00 0.0000e+00
2.0706e-03 1.4978e+03 4.5693e-02 -1.4374e-02 2.9955e+03 1.9297e+03 -8.4127e-03 7.3377e+01 6.5028e-02 5.5808e-02 4.1220e-02 1.9541e+02 1.3012e+02 0.0000e+00 0.0000e+00
2.2450e-03 1.6066e+03 5.1751e-02 -1.8085e-02 3.2140e+03 1.9845e+03 -9.7349e-03 7.3375e+01 7.6495e-02 6.5465e-02 4.8212e-02 1.9536e+02 1.3005e+02 0.0000e+00 0.0000e+00
