# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 1.3803e+03 7.6782e-02 -5.6289e-03 2.7283e+03 2.9400e+03 -6.6603e-03 2.3225e+02 4.7858e-02 4.1423e-02 3.1137e-02 6.1914e+02 4.1267e+02 0.0000e+00 0.0000e+00
1.0842e-03 1.4872e+03 7.9896e-02 -7.1024e-03 2.9464e+03 2.9704e+03 -7.7996e-03 2.3225e+02 5.6269e-02 4.8694e-02 3.6556e-02 6.1910e+02 4.1262e+02 0.0000e+00 0.0000e+00
1.1756e-03 1.6018e+03 8.3481e-02 -8.9627e-03 3.1803e+03 3.0054e+03 -9.1278e-03 2.3225e+02 6.6160e-02 5.7237e-02 4.2909e-02 6.1906e+02 4.1257e+02 0.0000e+00 0.0000e+00
1.2746e-03 1.7249e+03 8.7670e-02 -1.1311e-02 3.4308e+03 3.0453e+03 -1.0674e-02 2.3225e+02 7.7793e-02 6.7273e-02 5.0354e-02 6.1901e+02 4.1250e+02 0.0000e+00 0.0000e+00
1.3819e-03 1.8568e+03 9.2639e-02 -1.4275e-02 3.6988e+03 3.0910e+03 -1.2471e-02 2.3224e+02 9.1474e-02 7.9059e-02 5.9073e-02 6.1895e+02 4.1242e+02 0.0000e+00 0.0000e+00
1.4983e-03 1.9981e+03 9.8618e-02 -1.8012e-02 3.9852e+03 3.1432e+03 -1.4556e-02 2.3224e+02 1.0757e-01 9.2895e-02 6.9279e-02 6.1888e+02 4.1233e+02 0.0000e+00 0.0000e+00
1.6246e-03 2.1491e+03 1.0591e-01 -2.2724e-02 4.2907e+03 3.2025e+03 -1.6968e-02 2.3224e+02 1.2649e-01 1.0913e-01 8.1216e-02 6.1879e+02 4.1223e+02 0.0000e+00 0.0000e+00
1.7614e-03 2.3102e+03 1.1493e-01 -2.8657e-02 4.6161e+03 3.2700e+03 -1.9753e-02 2.3223e+02 1.4876e-01 1.2817e-01 9.5166e-02 6.1869e+02 4.1210e+02 0.0000e+00 0.0000e+00
1.9098e-03 2.4819e+03 1.2620e-01 -3.6119e-02 4.9620e+03 3.3464e+03 -2.2955e-02 2.3223e+02 1.7497e-01 1.5049e-01 1.1145e-01 6.1858e+02 4.1196e+02 0.0000e+00 0.0000e+00
2.0706e-03 2.6645e+03 1.4041e-01 -4.5489e-02 5.3290e+03 3.4329e+03 -2.6624e-02 2.3222e+02 2.0580e-01 1.7662e-01 1.3045e-01 6.1844e+02 4.1179e+02 0.0000e+00 0.0000e+00
