# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 1.7831e+03 1.2756e-01 -9.3929e-03 3.5245e+03 3.7978e+03 -1.1114e-02 3.8756e+02 7.9861e-02 6.9123e-02 5.1958e-02 1.0332e+03 6.8863e+02 0.0000e+00 0.0000e+00
1.0842e-03 1.9211e+03 1.3261e-01 -1.1852e-02 3.8062e+03 3.8372e+03 -1.3015e-02 3.8756e+02 9.3897e-02 8.1256e-02 6.1002e-02 1.0331e+03 6.8855e+02 0.0000e+00 0.0000e+00
1.1756e-03 2.0692e+03 1.3840e-01 -1.4956e-02 4.1083e+03 3.8823e+03 -1.5232e-02 3.8756e+02 1.1040e-01 9.5512e-02 7.1603e-02 1.0330e+03 6.8846e+02 0.0000e+00 0.0000e+00
1.2746e-03 2.2282e+03 1.4515e-01 -1.8875e-02 4.4319e+03 3.9339e+03 -1.7812e-02 3.8755e+02 1.2981e-01 1.1226e-01 8.4026e-02 1.0329e+03 6.8835e+02 0.0000e+00 0.0000e+00
1.3819e-03 2.3986e+03 1.5314e-01 -2.3820e-02 4.7782e+03 3.9930e+03 -2.0811e-02 3.8755e+02 1.5264e-01 1.3193e-01 9.8576e-02 1.0328e+03 6.8822e+02 0.0000e+00 0.0000e+00
1.4983e-03 2.5810e+03 1.6273e-01 -3.0057e-02 5.1481e+03 4.0603e+03 -2.4290e-02 3.8754e+02 1.7950e-01 1.5501e-01 1.1561e-01 1.0327e+03 6.8807e+02 0.0000e+00 0.0000e+00
1.6246e-03 2.7761e+03 1.7442e-01 -3.7919e-02 5.5427e+03 4.1370e+03 -2.8315e-02 3.8754e+02 2.1108e-01 1.8211e-01 1.3552e-01 1.0326e+03 6.8789e+02 0.0000e+00 0.0000e+00
1.7614e-03 2.9843e+03 1.8886e-01 -4.7820e-02 5.9630e+03 4.2241e+03 -3.2961e-02 3.8753e+02 2.4824e-01 2.1388e-01 1.5880e-01 1.0324e+03 6.8768e+02 0.0000e+00 0.0000e+00
1.9098e-03 3.2061e+03 2.0689e-01 -6.0271e-02 6.4099e+03 4.3229e+03 -3.8305e-02 3.8752e+02 2.9197e-01 2.5112e-01 1.8598e-01 1.0322e+03 6.8744e+02 0.0000e+00 0.0000e+00
2.0706e-03 3.4419e+03 2.2964e-01 -7.5908e-02 6.8840e+03 4.4346e+03 -4.4428e-02 3.8751e+02 3.4342e-01 2.9472e-01 2.1768e-01 1.0320e+03 6.8716e+02 0.0000e+00 0.0000e+00
2.2450e-03 3.6920e+03 2.5858e-01 -9.5507e-02 7.3860e+03 4.5605e+03 -5.1410e-02 3.8750e+02 4.0397e-01 3.4572e-01 2.5460e-01 1.0317e+03 6.8682e+02 0.0000e+00 0.0000e+00
2.4341e-03 3.9565e+03 2.9564e-01 -1.2002e-01 7.9164e+03 4.7021e+03 -5.9326e-02 3.8749e+02 4.7525e-01 4.0529e-01 2.9755e-01 1.0314e+03 6.8644e+02 0.0000e+00 0.0000e+00
2.6392e-03 4.2355e+03 3.4330e-01 -1.5060e-01 8.4755e+03 4.8608e+03 -6.8241e-02 3.8748e+02 5.5918e-01 4.7478e-01 3.4742e-01 1.0311e+03 6.8599e+02 0.0000e+00 0.0000e+00
2.8615e-03 4.5289e+03 4.0475e-01 -1.8864e-01 9.0631e+03 5.0380e+03 -7.8192e-02 3.8746e+02 6.5802e-01 5.5566e-01 4.0520e-01 1.0306e+03 6.8546e+02 0.0000e+00 0.0000e+00
3.1025e-03 4.8364e+03 4.8406e-01 -2.3584e-01 9.6791e+03 5.2350e+03 -8.9181e-02 3.8744e+02 7.7445e-01 6.4960e-01 4.7203e-01 1.0301e+03 6.8485e+02 0.0000e+00 0.0000e+00
3.3638e-03 5.1579e+03 5.8630e-01 -2.9422e-01 1.0323e+04 5.4531e+03 -1.0115e-01 3.8741e+02 9.1164e-01 7.5839e-01 5.4910e-01 1.0295e+03 6.8413e+02 0.0000e+00 0.0000e+00
3.6472e-03 5.4928e+03 7.1776e-01 -3.6622e-01 1.0994e+04 5.6934e+03 -1.1395e-01 3.8739e+02 1.0733e+00 8.8397e-01 6.3773e-01 1.0288e+03 6.8330e+02 0.0000e+00 0.0000e+00
3.9544e-03 5.8409e+03 8.8610e-01 -4.5477e-01 1.1690e+04 5.9566e+03 -1.2730e-01 3.8735e+02 1.2640e+00 1.0283e+00 7.3930e-01 1.0280e+03 6.8234e+02 0.0000e+00 0.0000e+00
4.2875e-03 6.2014e+03 1.1004e+00 -5.6334e-01 1.2410e+04 6.2432e+03 -1.4074e-01 3.8731e+02 1.4889e+00 1.1935e+00 8.5526e-01 1.0271e+03 6.8122e+02 0.0000e+00 0.0000e+00
4.6486e-03 6.5733e+03 1.3713e+00 -6.9603e-01 1.3151e+04 6.5531e+03 -1.5356e-01 3.8727e+02 1.7542e+00 1.3814e+00 9.8706e-01 1.0260e+03 6.7993e+02 0.0000e+00 0.0000e+00
5.0402e-03 6.9548e+03 1.7107e+00 -8.5757e-01 1.3911e+04 6.8856e+03 -1.6469e-01 3.8722e+02 2.0675e+00 1.5938e+00 1.1361e+00 1.0247e+03 6.7844e+02 0.0000e+00 0.0000e+00
