# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 8.8462e+02 3.1705e-02 -2.3118e-03 1.7484e+03 1.8841e+03 -2.7354e-03 9.5385e+01 1.9655e-02 1.7013e-02 1.2788e-02 2.5428e+02 1.6948e+02 0.0000e+00 0.0000e+00
1.0842e-03 9.5306e+02 3.3029e-02 -2.9169e-03 1.8882e+03 1.9036e+03 -3.2033e-03 9.5385e+01 2.3110e-02 1.9999e-02 1.5014e-02 2.5426e+02 1.6946e+02 0.0000e+00 0.0000e+00
1.1756e-03 1.0266e+03 3.4559e-02 -3.6810e-03 2.0380e+03 1.9260e+03 -3.7488e-03 9.5384e+01 2.7172e-02 2.3507e-02 1.7623e-02 2.5425e+02 1.6944e+02 0.0000e+00 0.0000e+00
1.2746e-03 1.1054e+03 3.6353e-02 -4.6455e-03 2.1986e+03 1.9516e+03 -4.3839e-03 9.5383e+01 3.1949e-02 2.7629e-02 2.0680e-02 2.5423e+02 1.6941e+02 0.0000e+00 0.0000e+00
1.3819e-03 1.1900e+03 3.8486e-02 -5.8626e-03 2.3704e+03 1.9809e+03 -5.1220e-03 9.5382e+01 3.7568e-02 3.2470e-02 2.4261e-02 2.5420e+02 1.6938e+02 0.0000e+00 0.0000e+00
1.4983e-03 1.2805e+03 4.1058e-02 -7.3977e-03 2.5539e+03 2.0143e+03 -5.9782e-03 9.5381e+01 4.4177e-02 3.8152e-02 2.8453e-02 2.5417e+02 1.6935e+02 0.0000e+00 0.0000e+00
1.6246e-03 1.3773e+03 4.4201e-02 -9.3328e-03 2.7497e+03 2.0524e+03 -6.9690e-03 9.5380e+01 5.1951e-02 4.4820e-02 3.3355e-02 2.5414e+02 1.6930e+02 0.0000e+00 0.0000e+00
1.7614e-03 1.4805e+03 4.8089e-02 -1.1769e-02 2.9582e+03 2.0956e+03 -8.1124e-03 9.5378e+01 6.1098e-02 5.2640e-02 3.9085e-02 2.5410e+02 1.6925e+02 0.0000e+00 0.0000e+00
1.9098e-03 1.5906e+03 5.2949e-02 -1.4834e-02 3.1799e+03 2.1446e+03 -9.4277e-03 9.5376e+01 7.1859e-02 6.1805e-02 4.5775e-02 2.5405e+02 1.6919e+02 0.0000e+00 0.0000e+00
2.0706e-03 1.7076e+03 5.9081e-02 -1.8683e-02 3.4151e+03 2.2000e+03 -1.0935e-02 9.5374e+01 8.4522e-02 7.2537e-02 5.3577e-02 2.5400e+02 1.6912e+02 0.0000e+00 0.0000e+00
2.2450e-03 1.8317e+03 6.6874e-02 -2.3507e-02 3.6642e+03 2.2625e+03 -1.2653e-02 9.5372e+01 9.9426e-02 8.5090e-02 6.2665e-02 2.5393e+02 1.6904e+02 0.0000e+00 0.0000e+00
2.4341e-03 1.9629e+03 7.6834e-02 -2.9540e-02 3.9274e+03 2.3327e+03 -1.4602e-02 9.5369e+01 1.1697e-01 9.9754e-02 7.3235e-02 2.5385e+02 1.6895e+02 0.0000e+00 0.0000e+00
2.6392e-03 2.1013e+03 8.9617e-02 -3.7067e-02 4.2047e+03 2.4115e+03 -1.6796e-02 9.5365e+01 1.3763e-01 1.1686e-01 8.5509e-02 2.5376e+02 1.6884e+02 0.0000e+00 0.0000e+00
2.8615e-03 2.2469e+03 1.0606e-01 -4.6431e-02 4.4963e+03 2.4994e+03 -1.9245e-02 9.5361e+01 1.6195e-01 1.3677e-01 9.9734e-02 2.5366e+02 1.6871e+02 0.0000e+00 0.0000e+00
3.1025e-03 2.3995e+03 1.2722e-01 -5.8049e-02 4.8019e+03 2.5971e+03 -2.1950e-02 9.5356e+01 1.9061e-01 1.5989e-01 1.1618e-01 2.5354e+02 1.6856e+02 0.0000e+00 0.0000e+00
3.3638e-03 2.5590e+03 1.5444e-01 -7.2419e-02 5.1214e+03 2.7053e+03 -2.4896e-02 9.5350e+01 2.2438e-01 1.8667e-01 1.3515e-01 2.5339e+02 1.6838e+02 0.0000e+00 0.0000e+00
3.6472e-03 2.7253e+03 1.8935e-01 -9.0143e-02 5.4541e+03 2.8245e+03 -2.8046e-02 9.5344e+01 2.6418e-01 2.1758e-01 1.5697e-01 2.5322e+02 1.6818e+02 0.0000e+00 0.0000e+00
3.9544e-03 2.8980e+03 2.3396e-01 -1.1194e-01 5.7996e+03 2.9551e+03 -3.1333e-02 9.5336e+01 3.1111e-01 2.5313e-01 1.8198e-01 2.5303e+02 1.6794e+02 0.0000e+00 0.0000e+00
4.2875e-03 3.0770e+03 2.9065e-01 -1.3867e-01 6.1568e+03 3.0972e+03 -3.4642e-02 9.5327e+01 3.6647e-01 2.9379e-01 2.1052e-01 2.5280e+02 1.6767e+02 0.0000e+00 0.0000e+00
4.6486e-03 3.2615e+03 3.6219e-01 -1.7133e-01 6.5248e+03 3.2510e+03 -3.7798e-02 9.5316e+01 4.3179e-01 3.4006e-01 2.4297e-01 2.5253e+02 1.6735e+02 0.0000e+00 0.0000e+00
5.0402e-03 3.4509e+03 4.5176e-01 -2.1110e-01 6.9019e+03 3.4159e+03 -4.0538e-02 9.5303e+01 5.0890e-01 3.9236e-01 2.7966e-01 2.5221e+02 1.6699e+02 0.0000e+00 0.0000e+00
5.4648e-03 3.6439e+03 5.6287e-01 -2.5929e-01 7.2865e+03 3.5913e+03 -4.2481e-02 9.5289e+01 5.9996e-01 4.5100e-01 3.2091e-01 2.5184e+02 1.6657e+02 0.0000e+00 0.0000e+00
