# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 2.1435e+03 1.8361e-01 -1.3573e-02 4.2369e+03 4.5654e+03 -1.6061e-02 5.6005e+02 1.1540e-01 9.9887e-02 7.5083e-02 1.4930e+03 9.9511e+02 0.0000e+00 0.0000e+00
1.0842e-03 2.3093e+03 1.9070e-01 -1.7127e-02 4.5755e+03 4.6127e+03 -1.8808e-02 5.6005e+02 1.3569e-01 1.1742e-01 8.8151e-02 1.4929e+03 9.9500e+02 0.0000e+00 0.0000e+00
1.1756e-03 2.4874e+03 1.9883e-01 -2.1612e-02 4.9387e+03 4.6669e+03 -2.2011e-02 5.6004e+02 1.5954e-01 1.3802e-01 1.0347e-01 1.4928e+03 9.9486e+02 0.0000e+00 0.0000e+00
1.2746e-03 2.6785e+03 2.0827e-01 -2.7275e-02 5.3278e+03 4.7290e+03 -2.5740e-02 5.6004e+02 1.8759e-01 1.6222e-01 1.2142e-01 1.4927e+03 9.9470e+02 0.0000e+00 0.0000e+00
1.3819e-03 2.8834e+03 2.1942e-01 -3.4421e-02 5.7440e+03 4.8000e+03 -3.0073e-02 5.6003e+02 2.2058e-01 1.9064e-01 1.4245e-01 1.4925e+03 9.9451e+02 0.0000e+00 0.0000e+00
1.4983e-03 3.1027e+03 2.3279e-01 -4.3435e-02 6.1886e+03 4.8809e+03 -3.5100e-02 5.6002e+02 2.5938e-01 2.2400e-01 1.6706e-01 1.4923e+03 9.9429e+02 0.0000e+00 0.0000e+00
1.6246e-03 3.3371e+03 2.4906e-01 -5.4795e-02 6.6630e+03 4.9731e+03 -4.0917e-02 5.6002e+02 3.0503e-01 2.6315e-01 1.9584e-01 1.4921e+03 9.9404e+02 0.0000e+00 0.0000e+00
1.7614e-03 3.5874e+03 2.6912e-01 -6.9102e-02 7.1682e+03 5.0778e+03 -4.7630e-02 5.6001e+02 3.5873e-01 3.0906e-01 2.2948e-01 1.4919e+03 9.9374e+02 0.0000e+00 0.0000e+00
1.9098e-03 3.8540e+03 2.9418e-01 -8.7095e-02 7.7054e+03 5.1966e+03 -5.5352e-02 5.5999e+02 4.2191e-01 3.6287e-01 2.6875e-01 1.4916e+03 9.9339e+02 0.0000e+00 0.0000e+00
2.0706e-03 4.1375e+03 3.2580e-01 -1.0969e-01 8.2753e+03 5.3308e+03 -6.4200e-02 5.5998e+02 4.9626e-01 4.2588e-01 3.1456e-01 1.4913e+03 9.9298e+02 0.0000e+00 0.0000e+00
2.2450e-03 4.4381e+03 3.6606e-01 -1.3801e-01 8.8788e+03 5.4822e+03 -7.4289e-02 5.5997e+02 5.8376e-01 4.9957e-01 3.6791e-01 1.4909e+03 9.9250e+02 0.0000e+00 0.0000e+00
2.4341e-03 4.7561e+03 4.1763e-01 -1.7343e-01 9.5164e+03 5.6525e+03 -8.5729e-02 5.5995e+02 6.8676e-01 5.8566e-01 4.2997e-01 1.4905e+03 9.9194e+02 0.0000e+00 0.0000e+00
2.6392e-03 5.0914e+03 4.8402e-01 -2.1762e-01 1.0188e+04 5.8432e+03 -9.8610e-02 5.5993e+02 8.0804e-01 6.8606e-01 5.0203e-01 1.4899e+03 9.9128e+02 0.0000e+00 0.0000e+00
2.8615e-03 5.4440e+03 5.6973e-01 -2.7259e-01 1.0895e+04 6.0562e+03 -1.1299e-01 5.5990e+02 9.5086e-01 8.0294e-01 5.8553e-01 1.4893e+03 9.9052e+02 0.0000e+00 0.0000e+00
3.1025e-03 5.8137e+03 6.8045e-01 -3.4080e-01 1.1635e+04 6.2931e+03 -1.2887e-01 5.5987e+02 1.1191e+00 9.3868e-01 6.8209e-01 1.4886e+03 9.8963e+02 0.0000e+00 0.0000e+00
3.3638e-03 6.2001e+03 8.2335e-01 -4.2515e-01 1.2409e+04 6.5553e+03 -1.4616e-01 5.5983e+02 1.3173e+00 1.0959e+00 7.9345e-01 1.4877e+03 9.8860e+02 0.0000e+00 0.0000e+00
3.6472e-03 6.6027e+03 1.0073e+00 -5.2919e-01 1.3215e+04 6.8441e+03 -1.6466e-01 5.5979e+02 1.5510e+00 1.2773e+00 9.2152e-01 1.4867e+03 9.8740e+02 0.0000e+00 0.0000e+00
3.9544e-03 7.0211e+03 1.2431e+00 -6.5714e-01 1.4052e+04 7.1605e+03 -1.8395e-01 5.5974e+02 1.8265e+00 1.4859e+00 1.0683e+00 1.4855e+03 9.8600e+02 0.0000e+00 0.0000e+00
4.2875e-03 7.4544e+03 1.5435e+00 -8.1401e-01 1.4918e+04 7.5051e+03 -2.0337e-01 5.5969e+02 2.1515e+00 1.7246e+00 1.2358e+00 1.4842e+03 9.8439e+02 0.0000e+00 0.0000e+00
4.6486e-03 7.9013e+03 1.9234e+00 -1.0057e+00 1.5809e+04 7.8776e+03 -2.2190e-01 5.5962e+02 2.5349e+00 1.9961e+00 1.4263e+00 1.4825e+03 9.8252e+02 0.0000e+00 0.0000e+00
5.0402e-03 8.3598e+03 2.3997e+00 -1.2392e+00 1.6722e+04 8.2773e+03 -2.3797e-01 5.5954e+02 2.9875e+00 2.3030e+00 1.6416e+00 1.4807e+03 9.8036e+02 0.0000e+00 0.0000e+00
5.4648e-03 8.8268e+03 2.9910e+00 -1.5219e+00 1.7654e+04 8.7025e+03 -2.4938e-01 5.5945e+02 3.5220e+00 2.6470e+00 1.8836e+00 1.4785e+03 9.7787e+02 0.0000e+00 0.0000e+00
5.9251e-03 9.2984e+03 3.7172e+00 -1.8625e+00 1.8597e+04 9.1501e+03 -2.5296e-01 5.5934e+02 4.1534e+00 3.0292e+00 2.1538e+00 1.4759e+03 9.7501e+02 0.0000e+00 0.0000e+00
6.4242e-03 9.7702e+03 4.5997e+00 -2.2700e+00 1.9546e+04 9.6161e+03 -2.4437e-01 5.5922e+02 4.8995e+00 3.4491e+00 2.4532e+00 1.4730e+03 9.7172e+02 0.0000e+00 0.0000e+00
6.9653e-03 1.0238e+04 5.6608e+00 -2.7545e+00 2.0491e+04 1.0095e+04 -2.1768e-01 5.5907e+02 5.7813e+00 3.9046e+00 2.7817e+00 1.4695e+03 9.6797e+02 0.0000e+00 0.0000e+00
7.5520e-03 1.0700e+04 6.9252e+00 -3.3274e+00 2.1421e+04 1.0579e+04 -1.6493e-01 5.5890e+02 6.8238e+00 4.3913e+00 3.1384e+00 1.4656e+03 9.6369e+02 0.0000e+00 0.0000e+00
8.1881e-03 1.1152e+04 8.4215e+00 -4.0007e+00 2.2326e+04 1.1061e+04 -7.5623e-02 5.5869e+02 8.0563e+00 4.9024e+00 3.5210e+00 1.4610e+03 9.5882e+02 0.0000e+00 0.0000e+00
8.8778e-03 1.1587e+04 1.0185e+01 -4.7852e+00 2.3192e+04 1.1529e+04 6.3974e-02 5.5846e+02 9.5129e+00 5.4277e+00 3.9251e+00 1.4556e+03 9.5330e+02 0.0000e+00 0.0000e+00
9.6256e-03 1.1993e+04 1.2261e+01 -5.6885e+00 2.4005e+04 1.1974e+04 2.7152e-01 5.5818e+02 1.1234e+01 5.9541e+00 4.3443e+00 1.4495e+03 9.4707e+02 0.0000e+00 0.0000e+00
