# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 1.6329e+03 1.0715e-01 -7.8768e-03 3.2275e+03 3.4779e+03 -9.3202e-03 3.2501e+02 6.6971e-02 5.7966e-02 4.3572e-02 8.6641e+02 5.7748e+02 0.0000e+00 0.0000e+00
1.0842e-03 1.7592e+03 1.1143e-01 -9.9388e-03 3.4855e+03 3.5139e+03 -1.0914e-02 3.2500e+02 7.8741e-02 6.8141e-02 5.1155e-02 8.6635e+02 5.7741e+02 0.0000e+00 0.0000e+00
1.1756e-03 1.8949e+03 1.1634e-01 -1.2542e-02 3.7621e+03 3.5552e+03 -1.2773e-02 3.2500e+02 9.2582e-02 8.0096e-02 6.0046e-02 8.6629e+02 5.7733e+02 0.0000e+00 0.0000e+00
1.2746e-03 2.0405e+03 1.2208e-01 -1.5828e-02 4.0585e+03 3.6025e+03 -1.4937e-02 3.2500e+02 1.0886e-01 9.4139e-02 7.0464e-02 8.6622e+02 5.7724e+02 0.0000e+00 0.0000e+00
1.3819e-03 2.1965e+03 1.2887e-01 -1.9975e-02 4.3756e+03 3.6565e+03 -1.7452e-02 3.2499e+02 1.2801e-01 1.1063e-01 8.2665e-02 8.6613e+02 5.7713e+02 0.0000e+00 0.0000e+00
1.4983e-03 2.3636e+03 1.3704e-01 -2.5206e-02 4.7143e+03 3.7182e+03 -2.0369e-02 3.2499e+02 1.5052e-01 1.2999e-01 9.6946e-02 8.6603e+02 5.7701e+02 0.0000e+00 0.0000e+00
1.6246e-03 2.5422e+03 1.4699e-01 -3.1799e-02 5.0757e+03 3.7884e+03 -2.3745e-02 3.2499e+02 1.7701e-01 1.5271e-01 1.1365e-01 8.6592e+02 5.7686e+02 0.0000e+00 0.0000e+00
1.7614e-03 2.7329e+03 1.5929e-01 -4.0101e-02 5.4606e+03 3.8682e+03 -2.7641e-02 3.2498e+02 2.0818e-01 1.7936e-01 1.3317e-01 8.6578e+02 5.7668e+02 0.0000e+00 0.0000e+00
1.9098e-03 2.9360e+03 1.7465e-01 -5.0543e-02 5.8698e+03 3.9587e+03 -3.2122e-02 3.2497e+02 2.4484e-01 2.1058e-01 1.5596e-01 8.6562e+02 5.7648e+02 0.0000e+00 0.0000e+00
2.0706e-03 3.1519e+03 1.9403e-01 -6.3656e-02 6.3040e+03 4.0609e+03 -3.7257e-02 3.2497e+02 2.8799e-01 2.4715e-01 1.8255e-01 8.6543e+02 5.7624e+02 0.0000e+00 0.0000e+00
