# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 1.0167e+03 4.1822e-02 -3.0538e-03 2.0095e+03 2.1655e+03 -3.6134e-03 1.2600e+02 2.5964e-02 2.2473e-02 1.6893e-02 3.3590e+02 2.2389e+02 0.0000e+00 0.0000e+00
1.0842e-03 1.0954e+03 4.3555e-02 -3.8533e-03 2.1702e+03 2.1879e+03 -4.2315e-03 1.2600e+02 3.0528e-02 2.6418e-02 1.9833e-02 3.3588e+02 2.2386e+02 0.0000e+00 0.0000e+00
1.1756e-03 1.1799e+03 4.5556e-02 -4.8625e-03 2.3424e+03 2.2137e+03 -4.9521e-03 1.2600e+02 3.5894e-02 3.1053e-02 2.3280e-02 3.3586e+02 2.2383e+02 0.0000e+00 0.0000e+00
1.2746e-03 1.2705e+03 4.7900e-02 -6.1366e-03 2.5270e+03 2.2431e+03 -5.7911e-03 1.2600e+02 4.2205e-02 3.6498e-02 2.7319e-02 3.3583e+02 2.2379e+02 0.0000e+00 0.0000e+00
1.3819e-03 1.3677e+03 5.0685e-02 -7.7444e-03 2.7244e+03 2.2768e+03 -6.7661e-03 1.2600e+02 4.9627e-02 4.2892e-02 3.2049e-02 3.3580e+02 2.2375e+02 0.0000e+00 0.0000e+00
1.4983e-03 1.4717e+03 5.4041e-02 -9.7723e-03 2.9353e+03 2.3152e+03 -7.8971e-03 1.2600e+02 5.8358e-02 5.0398e-02 3.7586e-02 3.3576e+02 2.2370e+02 0.0000e+00 0.0000e+00
1.6246e-03 1.5829e+03 5.8142e-02 -1.2328e-02 3.1604e+03 2.3589e+03 -9.2059e-03 1.2600e+02 6.8627e-02 5.9207e-02 4.4062e-02 3.3571e+02 2.2365e+02 0.0000e+00 0.0000e+00
1.7614e-03 1.7016e+03 6.3213e-02 -1.5547e-02 3.4000e+03 2.4086e+03 -1.0716e-02 1.2599e+02 8.0709e-02 6.9537e-02 5.1631e-02 3.3566e+02 2.2358e+02 0.0000e+00 0.0000e+00
1.9098e-03 1.8281e+03 6.9551e-02 -1.9596e-02 3.6548e+03 2.4649e+03 -1.2454e-02 1.2599e+02 9.4924e-02 8.1644e-02 6.0468e-02 3.3560e+02 2.2350e+02 0.0000e+00 0.0000e+00
2.0706e-03 1.9626e+03 7.7547e-02 -2.4680e-02 3.9252e+03 2.5286e+03 -1.4444e-02 1.2599e+02 1.1165e-01 9.5820e-02 7.0774e-02 3.3552e+02 2.2341e+02 0.0000e+00 0.0000e+00
2.2450e-03 2.1052e+03 8.7712e-02 -3.1052e-02 4.2115e+03 2.6004e+03 -1.6715e-02 1.2598e+02 1.3134e-01 1.1240e-01 8.2779e-02 3.3544e+02 2.2330e+02 0.0000e+00 0.0000e+00
2.4341e-03 2.2561e+03 1.0071e-01 -3.9021e-02 4.5139e+03 2.6811e+03 -1.9289e-02 1.2598e+02 1.5452e-01 1.3177e-01 9.6742e-02 3.3534e+02 2.2318e+02 0.0000e+00 0.0000e+00
2.6392e-03 2.4152e+03 1.1739e-01 -4.8964e-02 4.8327e+03 2.7716e+03 -2.2187e-02 1.2598e+02 1.8180e-01 1.5437e-01 1.1296e-01 3.3522e+02 2.2303e+02 0.0000e+00 0.0000e+00
2.8615e-03 2.5825e+03 1.3885e-01 -6.1334e-02 5.1678e+03 2.8726e+03 -2.5422e-02 1.2597e+02 2.1394e-01 1.8067e-01 1.3175e-01 3.3508e+02 2.2286e+02 0.0000e+00 0.0000e+00
3.1025e-03 2.7578e+03 1.6649e-01 -7.6681e-02 5.5190e+03 2.9850e+03 -2.8995e-02 1.2596e+02 2.5179e-01 2.1121e-01 1.5347e-01 3.3492e+02 2.2266e+02 0.0000e+00 0.0000e+00
3.3638e-03 2.9412e+03 2.0204e-01 -9.5664e-02 5.8862e+03 3.1093e+03 -3.2887e-02 1.2596e+02 2.9640e-01 2.4659e-01 1.7853e-01 3.3473e+02 2.2243e+02 0.0000e+00 0.0000e+00
3.6472e-03 3.1322e+03 2.4766e-01 -1.1908e-01 6.2686e+03 3.2463e+03 -3.7048e-02 1.2595e+02 3.4898e-01 2.8742e-01 2.0735e-01 3.3450e+02 2.2216e+02 0.0000e+00 0.0000e+00
3.9544e-03 3.3308e+03 3.0597e-01 -1.4787e-01 6.6656e+03 3.3964e+03 -4.1390e-02 1.2594e+02 4.1097e-01 3.3437e-01 2.4038e-01 3.3424e+02 2.2185e+02 0.0000e+00 0.0000e+00
4.2875e-03 3.5364e+03 3.8009e-01 -1.8317e-01 7.0763e+03 3.5598e+03 -4.5762e-02 1.2593e+02 4.8410e-01 3.8809e-01 2.7809e-01 3.3394e+02 2.2149e+02 0.0000e+00 0.0000e+00
4.6486e-03 3.7485e+03 4.7366e-01 -2.2632e-01 7.4992e+03 3.7365e+03 -4.9930e-02 1.2591e+02 5.7038e-01 4.4921e-01 3.2096e-01 3.3358e+02 2.2107e+02 0.0000e+00 0.0000e+00
5.0402e-03 3.9662e+03 5.9080e-01 -2.7886e-01 7.9326e+03 3.9260e+03 -5.3549e-02 1.2589e+02 6.7224e-01 5.1828e-01 3.6942e-01 3.3316e+02 2.2059e+02 0.0000e+00 0.0000e+00
5.4648e-03 4.1880e+03 7.3613e-01 -3.4251e-01 8.3746e+03 4.1277e+03 -5.6115e-02 1.2587e+02 7.9252e-01 5.9574e-01 4.2391e-01 3.3268e+02 2.2003e+02 0.0000e+00 0.0000e+00
5.9251e-03 4.4119e+03 9.1463e-01 -4.1917e-01 8.8223e+03 4.3400e+03 -5.6922e-02 1.2585e+02 9.3462e-01 6.8179e-01 4.8475e-01 3.3211e+02 2.1939e+02 0.0000e+00 0.0000e+00
6.4242e-03 4.6360e+03 1.1316e+00 -5.1091e-01 9.2724e+03 4.5610e+03 -5.4989e-02 1.2582e+02 1.1026e+00 7.7636e-01 5.5214e-01 3.3145e+02 2.1866e+02 0.0000e+00 0.0000e+00
6.9653e-03 4.8585e+03 1.3929e+00 -6.2001e-01 9.7208e+03 4.7880e+03 -4.8981e-02 1.2579e+02 1.3011e+00 8.7896e-01 6.2613e-01 3.3069e+02 2.1782e+02 0.0000e+00 0.0000e+00
7.5520e-03 5.0780e+03 1.7048e+00 -7.4901e-01 1.0163e+04 5.0177e+03 -3.7106e-02 1.2576e+02 1.5357e+00 9.8863e-01 7.0649e-01 3.2981e+02 2.1687e+02 0.0000e+00 0.0000e+00
8.1881e-03 5.2928e+03 2.0746e+00 -9.0065e-01 1.0592e+04 5.2460e+03 -1.6995e-02 1.2571e+02 1.8132e+00 1.1038e+00 7.9268e-01 3.2878e+02 2.1578e+02 0.0000e+00 0.0000e+00
8.8778e-03 5.4998e+03 2.5114e+00 -1.0774e+00 1.1003e+04 5.4682e+03 1.4444e-02 1.2566e+02 2.1412e+00 1.2223e+00 8.8376e-01 3.2760e+02 2.1455e+02 0.0000e+00 0.0000e+00
