#       q          E0lin        Elin         E2lin      E0loop220    E0loop130    E0loop22     E0loop13     E2loop22     E2loop13      E1loop       E3loop         Xi          Zeta          Chi        U10lin         U3           U11          U20          V10          V12          X10          Y10          X20          Y20     
1.045928e-06 1.108941e+02 1.108941e+02 5.486934e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083796e+01 3.121024e-10 2.127356e-09 2.657267e-07 -1.943767e-14 4.483430e+02 3.590425e+04 6.639467e+02 -2.388728e-04 -2.180156e-03 -9.791304e-03 -5.419749e-03 1.450423e-03 2.614244e-03 4.256979e-03 1.090399e-08 8.582773e-09 1.710634e-09
1.049064e-06 1.108941e+02 1.108941e+02 5.512100e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083796e+01 3.137485e-10 2.137918e-09 2.664051e-07 -1.957877e-14 4.481265e+02 3.586963e+04 6.635077e+02 -2.393561e-04 -2.185447e-03 -9.814916e-03 -5.433393e-03 1.454076e-03 2.619435e-03 4.257015e-03 1.095943e-08 8.622900e-09 1.718260e-09
1.052209e-06 1.108941e+02 1.108941e+02 5.537381e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083796e+01 3.154033e-10 2.148533e-09 2.670852e-07 -1.972089e-14 4.479101e+02 3.583504e+04 6.630690e+02 -2.398404e-04 -2.190752e-03 -9.838585e-03 -5.447072e-03 1.457738e-03 2.624636e-03 4.257052e-03 1.101514e-08 8.663214e-09 1.725920e-09
1.055364e-06 1.108941e+02 1.108941e+02 5.562778e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083796e+01 3.170668e-10 2.159201e-09 2.677669e-07 -1.986404e-14 4.476937e+02 3.580049e+04 6.626306e+02 -2.403257e-04 -2.196069e-03 -9.862311e-03 -5.460785e-03 1.461409e-03 2.629847e-03 4.257088e-03 1.107114e-08 8.703717e-09 1.733614e-09
1.058528e-06 1.108941e+02 1.108941e+02 5.588292e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083796e+01 3.187391e-10 2.169922e-09 2.684504e-07 -2.000823e-14 4.474775e+02 3.576597e+04 6.621924e+02 -2.408119e-04 -2.201399e-03 -9.886095e-03 -5.474532e-03 1.465089e-03 2.635068e-03 4.257124e-03 1.112742e-08 8.744410e-09 1.741342e-09
1.061702e-06 1.108941e+02 1.108941e+02 5.613922e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083796e+01 3.204202e-10 2.180696e-09 2.691355e-07 -2.015347e-14 4.472614e+02 3.573148e+04 6.617546e+02 -2.412992e-04 -2.206742e-03 -9.909936e-03 -5.488314e-03 1.468779e-03 2.640300e-03 4.257161e-03 1.118399e-08 8.785292e-09 1.749104e-09
1.064885e-06 1.108941e+02 1.108941e+02 5.639670e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083796e+01 3.221102e-10 2.191523e-09 2.698224e-07 -2.029976e-14 4.470454e+02 3.569703e+04 6.613170e+02 -2.417874e-04 -2.212098e-03 -9.933834e-03 -5.502131e-03 1.472477e-03 2.645542e-03 4.257197e-03 1.124085e-08 8.826366e-09 1.756901e-09
1.068078e-06 1.108941e+02 1.108941e+02 5.665537e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083796e+01 3.238091e-10 2.202404e-09 2.705109e-07 -2.044711e-14 4.468295e+02 3.566261e+04 6.608798e+02 -2.422766e-04 -2.217468e-03 -9.957790e-03 -5.515983e-03 1.476186e-03 2.650795e-03 4.257233e-03 1.129800e-08 8.867632e-09 1.764732e-09
1.071280e-06 1.108941e+02 1.108941e+02 5.691522e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083796e+01 3.255169e-10 2.213339e-09 2.712012e-07 -2.059553e-14 4.466138e+02 3.562823e+04 6.604428e+02 -2.427668e-04 -2.222850e-03 -9.981804e-03 -5.529869e-03 1.479903e-03 2.656058e-03 4.257269e-03 1.135544e-08 8.909091e-09 1.772598e-09
1.074492e-06 1.108941e+02 1.108941e+02 5.717626e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083796e+01 3.272337e-10 2.224329e-09 2.718931e-07 -2.074503e-14 4.463981e+02 3.559387e+04 6.600061e+02 -2.432580e-04 -2.228245e-03 -1.000588e-02 -5.543791e-03 1.483630e-03 2.661332e-03 4.257306e-03 1.141317e-08 8.950743e-09 1.780499e-09
1.077713e-06 1.108941e+02 1.108941e+02 5.743849e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083795e+01 3.289597e-10 2.235373e-09 2.725868e-07 -2.089562e-14 4.461825e+02 3.555955e+04 6.595697e+02 -2.437501e-04 -2.233653e-03 -1.003000e-02 -5.557747e-03 1.487366e-03 2.666615e-03 4.257342e-03 1.147119e-08 8.992591e-09 1.788434e-09
1.080944e-06 1.108941e+02 1.108941e+02 5.770193e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083795e+01 3.306947e-10 2.246472e-09 2.732822e-07 -2.104730e-14 4.459670e+02 3.552527e+04 6.591336e+02 -2.442433e-04 -2.239074e-03 -1.005419e-02 -5.571739e-03 1.491112e-03 2.671910e-03 4.257378e-03 1.152951e-08 9.034634e-09 1.796405e-09
1.084185e-06 1.108941e+02 1.108941e+02 5.796658e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083795e+01 3.324388e-10 2.257626e-09 2.739792e-07 -2.120008e-14 4.457516e+02 3.549101e+04 6.586978e+02 -2.447375e-04 -2.244509e-03 -1.007844e-02 -5.585766e-03 1.494867e-03 2.677215e-03 4.257415e-03 1.158812e-08 9.076874e-09 1.804412e-09
1.087436e-06 1.108941e+02 1.108941e+02 5.823245e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083795e+01 3.341922e-10 2.268835e-09 2.746781e-07 -2.135396e-14 4.455364e+02 3.545679e+04 6.582623e+02 -2.452327e-04 -2.249957e-03 -1.010274e-02 -5.599828e-03 1.498632e-03 2.682530e-03 4.257451e-03 1.164703e-08 9.119311e-09 1.812454e-09
1.090696e-06 1.108941e+02 1.108941e+02 5.849953e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083795e+01 3.359548e-10 2.280100e-09 2.753786e-07 -2.150897e-14 4.453212e+02 3.542261e+04 6.578270e+02 -2.457288e-04 -2.255418e-03 -1.012711e-02 -5.613925e-03 1.502406e-03 2.687856e-03 4.257487e-03 1.170624e-08 9.161947e-09 1.820531e-09
