# k[h/Mpc]   R1   R2 
# 
1.6486e-02 3.7064e+02 -7.4312e+01
1.6638e-02 3.7674e+02 -7.5371e+01
1.6792e-02 3.8290e+02 -7.6435e+01
1.6948e-02 3.8912e+02 -7.7505e+01
1.7105e-02 3.9539e+02 -7.8580e+01
1.7263e-02 4.0172e+02 -7.9659e+01
1.7423e-02 4.0811e+02 -8.0743e+01
1.7584e-02 4.1455e+02 -8.1832e+01
1.7747e-02 4.2105e+02 -8.2925e+01
1.7911e-02 4.2760e+02 -8.4021e+01
1.8077e-02 4.3421e+02 -8.5121e+01
1.8244e-02 4.4086e+02 -8.6225e+01
1.8413e-02 4.4757e+02 -8.7331e+01
1.8584e-02 4.5432e+02 -8.8439e+01
1.8756e-02 4.6113e+02 -8.9550e+01
1.8929e-02 4.6798e+02 -9.0663e+01
1.9105e-02 4.7487e+02 -9.1777e+01
1.9282e-02 4.8181e+02 -9.2892e+01
1.9460e-02 4.8878e+02 -9.4007e+01
1.9640e-02 4.9580e+02 -9.5122e+01
1.9822e-02 5.0285e+02 -9.6237e+01
2.0006e-02 5.0994e+02 -9.7351e+01
2.0191e-02 5.1705e+02 -9.8463e+01
2.0378e-02 5.2420e+02 -9.9573e+01
2.0566e-02 5.3138e+02 -1.0068e+02
2.0757e-02 5.3858e+02 -1.0179e+02
2.0949e-02 5.4580e+02 -1.0289e+02
2.1143e-02 5.5305e+02 -1.0398e+02
2.1339e-02 5.6031e+02 -1.0508e+02
2.1536e-02 5.6759e+02 -1.0616e+02
2.1735e-02 5.7489e+02 -1.0725e+02
2.1937e-02 5.8220e+02 -1.0832e+02
2.2140e-02 5.8953e+02 -1.0940e+02
2.2345e-02 5.9686e+02 -1.1046e+02
2.2552e-02 6.0421e+02 -1.1152e+02
2.2760e-02 6.1156e+02 -1.1257e+02
2.2971e-02 6.1892e+02 -1.1362e+02
2.3184e-02 6.2628e+02 -1.1466e+02
2.3398e-02 6.3365e+02 -1.1569e+02
2.3615e-02 6.4102e+02 -1.1671e+02
2.3834e-02 6.4838e+02 -1.1773e+02
2.4054e-02 6.5575e+02 -1.1873e+02
2.4277e-02 6.6310e+02 -1.1972e+02
2.4502e-02 6.7044e+02 -1.2071e+02
2.4728e-02 6.7777e+02 -1.2168e+02
2.4957e-02 6.8509e+02 -1.2265e+02
2.5188e-02 6.9238e+02 -1.2360e+02
2.5422e-02 6.9966e+02 -1.2454e+02
2.5657e-02 7.0690e+02 -1.2546e+02
2.5894e-02 7.1412e+02 -1.2637e+02
2.6134e-02 7.2131e+02 -1.2727e+02
2.6376e-02 7.2846e+02 -1.2816e+02
2.6620e-02 7.3558e+02 -1.2903e+02
2.6867e-02 7.4265e+02 -1.2988e+02
2.7115e-02 7.4969e+02 -1.3072e+02
2.7366e-02 7.5668e+02 -1.3154e+02
2.7620e-02 7.6364e+02 -1.3235e+02
2.7875e-02 7.7054e+02 -1.3314e+02
2.8134e-02 7.7740e+02 -1.3392e+02
2.8394e-02 7.8422e+02 -1.3468e+02
2.8657e-02 7.9099e+02 -1.3542e+02
2.8922e-02 7.9771e+02 -1.3615e+02
2.9190e-02 8.0438e+02 -1.3687e+02
2.9460e-02 8.1101e+02 -1.3756e+02
2.9733e-02 8.1758e+02 -1.3824e+02
3.0008e-02 8.2411e+02 -1.3891e+02
3.0286e-02 8.3059e+02 -1.3955e+02
3.0566e-02 8.3701e+02 -1.4018e+02
3.0849e-02 8.4339e+02 -1.4080e+02
3.1135e-02 8.4972e+02 -1.4140e+02
3.1423e-02 8.5599e+02 -1.4198e+02
3.1714e-02 8.6222e+02 -1.4255e+02
3.2008e-02 8.6839e+02 -1.4310e+02
3.2304e-02 8.7451e+02 -1.4364e+02
3.2603e-02 8.8058e+02 -1.4416e+02
3.2905e-02 8.8661e+02 -1.4466e+02
3.3209e-02 8.9258e+02 -1.4515e+02
3.3517e-02 8.9850e+02 -1.4562e+02
3.3827e-02 9.0438e+02 -1.4608e+02
3.4140e-02 9.1021e+02 -1.4652e+02
3.4456e-02 9.1601e+02 -1.4695e+02
3.4775e-02 9.2176e+02 -1.4737e+02
3.5097e-02 9.2748e+02 -1.4777e+02
3.5422e-02 9.3316e+02 -1.4816e+02
3.5750e-02 9.3882e+02 -1.4854e+02
3.6081e-02 9.4445e+02 -1.4891e+02
3.6415e-02 9.5007e+02 -1.4927e+02
3.6752e-02 9.5566e+02 -1.4962e+02
3.7092e-02 9.6125e+02 -1.4996e+02
3.7436e-02 9.6683e+02 -1.5029e+02
3.7782e-02 9.7241e+02 -1.5061e+02
3.8132e-02 9.7800e+02 -1.5093e+02
3.8485e-02 9.8360e+02 -1.5124e+02
3.8841e-02 9.8922e+02 -1.5155e+02
3.9201e-02 9.9485e+02 -1.5185e+02
3.9564e-02 1.0005e+03 -1.5215e+02
3.9930e-02 1.0062e+03 -1.5244e+02
4.0300e-02 1.0120e+03 -1.5274e+02
4.0673e-02 1.0177e+03 -1.5303e+02
4.1049e-02 1.0236e+03 -1.5332e+02
4.1429e-02 1.0294e+03 -1.5361e+02
4.1813e-02 1.0354e+03 -1.5391e+02
4.2200e-02 1.0414e+03 -1.5420e+02
4.2591e-02 1.0474e+03 -1.5449e+02
4.2985e-02 1.0536e+03 -1.5479e+02
4.3383e-02 1.0598e+03 -1.5509e+02
4.3785e-02 1.0661e+03 -1.5539e+02
4.4190e-02 1.0725e+03 -1.5570e+02
4.4599e-02 1.0790e+03 -1.5601e+02
4.5012e-02 1.0856e+03 -1.5633e+02
4.5429e-02 1.0923e+03 -1.5666e+02
4.5849e-02 1.0992e+03 -1.5700e+02
4.6274e-02 1.1062e+03 -1.5735e+02
4.6702e-02 1.1133e+03 -1.5770e+02
4.7134e-02 1.1206e+03 -1.5807e+02
4.7571e-02 1.1281e+03 -1.5846e+02
4.8011e-02 1.1357e+03 -1.5885e+02
4.8455e-02 1.1434e+03 -1.5925e+02
4.8904e-02 1.1513e+03 -1.5965e+02
4.9357e-02 1.1593e+03 -1.6007e+02
4.9814e-02 1.1674e+03 -1.6048e+02
5.0275e-02 1.1757e+03 -1.6091e+02
5.0740e-02 1.1841e+03 -1.6134e+02
5.1210e-02 1.1926e+03 -1.6177e+02
5.1684e-02 1.2013e+03 -1.6222e+02
5.2163e-02 1.2102e+03 -1.6268e+02
5.2645e-02 1.2193e+03 -1.6316e+02
5.3133e-02 1.2285e+03 -1.6364e+02
5.3625e-02 1.2380e+03 -1.6414e+02
5.4121e-02 1.2476e+03 -1.6464e+02
5.4622e-02 1.2574e+03 -1.6515e+02
5.5128e-02 1.2673e+03 -1.6567e+02
5.5638e-02 1.2774e+03 -1.6618e+02
5.6153e-02 1.2875e+03 -1.6670e+02
5.6673e-02 1.2978e+03 -1.6722e+02
5.7198e-02 1.3082e+03 -1.6774e+02
5.7727e-02 1.3187e+03 -1.6825e+02
5.8262e-02 1.3292e+03 -1.6875e+02
5.8801e-02 1.3396e+03 -1.6923e+02
5.9345e-02 1.3499e+03 -1.6968e+02
5.9895e-02 1.3601e+03 -1.7009e+02
6.0449e-02 1.3702e+03 -1.7048e+02
6.1009e-02 1.3802e+03 -1.7084e+02
6.1574e-02 1.3902e+03 -1.7120e+02
6.2144e-02 1.4003e+03 -1.7154e+02
6.2719e-02 1.4105e+03 -1.7188e+02
6.3300e-02 1.4205e+03 -1.7219e+02
6.3886e-02 1.4304e+03 -1.7247e+02
6.4477e-02 1.4399e+03 -1.7268e+02
6.5074e-02 1.4488e+03 -1.7281e+02
6.5676e-02 1.4570e+03 -1.7285e+02
6.6284e-02 1.4646e+03 -1.7280e+02
6.6898e-02 1.4719e+03 -1.7271e+02
6.7517e-02 1.4793e+03 -1.7261e+02
6.8142e-02 1.4870e+03 -1.7254e+02
6.8773e-02 1.4949e+03 -1.7249e+02
6.9410e-02 1.5024e+03 -1.7238e+02
7.0052e-02 1.5091e+03 -1.7216e+02
7.0701e-02 1.5147e+03 -1.7181e+02
7.1355e-02 1.5192e+03 -1.7133e+02
7.2016e-02 1.5231e+03 -1.7078e+02
7.2683e-02 1.5267e+03 -1.7018e+02
7.3356e-02 1.5301e+03 -1.6956e+02
7.4035e-02 1.5330e+03 -1.6888e+02
7.4720e-02 1.5352e+03 -1.6812e+02
7.5412e-02 1.5365e+03 -1.6726e+02
7.6110e-02 1.5369e+03 -1.6629e+02
7.6814e-02 1.5364e+03 -1.6524e+02
7.7526e-02 1.5356e+03 -1.6415e+02
7.8243e-02 1.5348e+03 -1.6306e+02
7.8968e-02 1.5336e+03 -1.6193e+02
7.9699e-02 1.5312e+03 -1.6068e+02
8.0436e-02 1.5269e+03 -1.5923e+02
8.1181e-02 1.5210e+03 -1.5762e+02
8.1933e-02 1.5148e+03 -1.5600e+02
8.2691e-02 1.5100e+03 -1.5452e+02
8.3457e-02 1.5065e+03 -1.5318e+02
8.4229e-02 1.5032e+03 -1.5187e+02
8.5009e-02 1.4984e+03 -1.5042e+02
8.5796e-02 1.4920e+03 -1.4880e+02
8.6590e-02 1.4847e+03 -1.4711e+02
8.7392e-02 1.4775e+03 -1.4544e+02
8.8201e-02 1.4707e+03 -1.4383e+02
8.9017e-02 1.4640e+03 -1.4222e+02
8.9841e-02 1.4569e+03 -1.4060e+02
9.0673e-02 1.4496e+03 -1.3895e+02
9.1513e-02 1.4422e+03 -1.3732e+02
9.2360e-02 1.4351e+03 -1.3572e+02
9.3215e-02 1.4284e+03 -1.3417e+02
9.4078e-02 1.4221e+03 -1.3267e+02
9.4949e-02 1.4162e+03 -1.3120e+02
9.5828e-02 1.4105e+03 -1.2977e+02
9.6715e-02 1.4051e+03 -1.2838e+02
9.7610e-02 1.4003e+03 -1.2704e+02
9.8514e-02 1.3962e+03 -1.2578e+02
9.9426e-02 1.3925e+03 -1.2456e+02
1.0035e-01 1.3889e+03 -1.2334e+02
1.0128e-01 1.3852e+03 -1.2213e+02
1.0221e-01 1.3824e+03 -1.2100e+02
1.0316e-01 1.3813e+03 -1.2002e+02
1.0411e-01 1.3820e+03 -1.1921e+02
1.0508e-01 1.3838e+03 -1.1848e+02
1.0605e-01 1.3855e+03 -1.1774e+02
1.0703e-01 1.3872e+03 -1.1700e+02
1.0802e-01 1.3893e+03 -1.1630e+02
1.0902e-01 1.3924e+03 -1.1567e+02
1.1003e-01 1.3962e+03 -1.1510e+02
1.1105e-01 1.4004e+03 -1.1456e+02
1.1208e-01 1.4051e+03 -1.1405e+02
1.1312e-01 1.4103e+03 -1.1357e+02
1.1416e-01 1.4160e+03 -1.1313e+02
1.1522e-01 1.4219e+03 -1.1270e+02
1.1629e-01 1.4278e+03 -1.1226e+02
1.1736e-01 1.4335e+03 -1.1180e+02
1.1845e-01 1.4393e+03 -1.1133e+02
1.1955e-01 1.4450e+03 -1.1085e+02
1.2065e-01 1.4505e+03 -1.1035e+02
1.2177e-01 1.4554e+03 -1.0981e+02
1.2290e-01 1.4597e+03 -1.0920e+02
1.2404e-01 1.4634e+03 -1.0855e+02
1.2518e-01 1.4665e+03 -1.0785e+02
1.2634e-01 1.4688e+03 -1.0709e+02
1.2751e-01 1.4701e+03 -1.0625e+02
1.2869e-01 1.4702e+03 -1.0533e+02
1.2988e-01 1.4691e+03 -1.0432e+02
1.3109e-01 1.4669e+03 -1.0323e+02
1.3230e-01 1.4637e+03 -1.0208e+02
1.3353e-01 1.4593e+03 -1.0085e+02
1.3476e-01 1.4538e+03 -9.9555e+01
1.3601e-01 1.4470e+03 -9.8176e+01
1.3727e-01 1.4389e+03 -9.6717e+01
1.3854e-01 1.4296e+03 -9.5192e+01
1.3982e-01 1.4194e+03 -9.3619e+01
1.4112e-01 1.4084e+03 -9.2008e+01
1.4242e-01 1.3966e+03 -9.0363e+01
1.4374e-01 1.3841e+03 -8.8688e+01
1.4507e-01 1.3710e+03 -8.6994e+01
1.4641e-01 1.3577e+03 -8.5300e+01
1.4777e-01 1.3443e+03 -8.3620e+01
1.4914e-01 1.3311e+03 -8.1966e+01
1.5052e-01 1.3180e+03 -8.0343e+01
1.5191e-01 1.3052e+03 -7.8753e+01
1.5332e-01 1.2928e+03 -7.7200e+01
1.5474e-01 1.2809e+03 -7.5698e+01
1.5617e-01 1.2700e+03 -7.4267e+01
1.5762e-01 1.2602e+03 -7.2915e+01
1.5907e-01 1.2515e+03 -7.1636e+01
1.6055e-01 1.2435e+03 -7.0417e+01
1.6203e-01 1.2366e+03 -6.9262e+01
1.6353e-01 1.2308e+03 -6.8184e+01
1.6505e-01 1.2264e+03 -6.7187e+01
1.6658e-01 1.2231e+03 -6.6255e+01
1.6812e-01 1.2205e+03 -6.5367e+01
1.6967e-01 1.2187e+03 -6.4523e+01
1.7124e-01 1.2179e+03 -6.3737e+01
1.7283e-01 1.2182e+03 -6.3011e+01
1.7443e-01 1.2192e+03 -6.2322e+01
1.7604e-01 1.2204e+03 -6.1637e+01
1.7767e-01 1.2213e+03 -6.0943e+01
1.7932e-01 1.2223e+03 -6.0251e+01
1.8098e-01 1.2235e+03 -5.9567e+01
1.8265e-01 1.2246e+03 -5.8878e+01
1.8435e-01 1.2251e+03 -5.8160e+01
1.8605e-01 1.2246e+03 -5.7397e+01
1.8777e-01 1.2230e+03 -5.6585e+01
1.8951e-01 1.2202e+03 -5.5723e+01
1.9127e-01 1.2164e+03 -5.4814e+01
1.9304e-01 1.2113e+03 -5.3856e+01
1.9483e-01 1.2049e+03 -5.2848e+01
1.9663e-01 1.1971e+03 -5.1789e+01
1.9845e-01 1.1879e+03 -5.0683e+01
2.0029e-01 1.1777e+03 -4.9544e+01
2.0214e-01 1.1668e+03 -4.8387e+01
2.0401e-01 1.1552e+03 -4.7221e+01
2.0590e-01 1.1432e+03 -4.6047e+01
2.0781e-01 1.1306e+03 -4.4871e+01
2.0973e-01 1.1179e+03 -4.3703e+01
2.1167e-01 1.1052e+03 -4.2554e+01
2.1363e-01 1.0929e+03 -4.1435e+01
2.1561e-01 1.0812e+03 -4.0352e+01
2.1760e-01 1.0701e+03 -3.9307e+01
2.1962e-01 1.0597e+03 -3.8305e+01
2.2165e-01 1.0503e+03 -3.7348e+01
2.2370e-01 1.0418e+03 -3.6437e+01
2.2578e-01 1.0344e+03 -3.5571e+01
2.2787e-01 1.0279e+03 -3.4750e+01
2.2998e-01 1.0225e+03 -3.3972e+01
2.3210e-01 1.0182e+03 -3.3234e+01
2.3425e-01 1.0147e+03 -3.2531e+01
2.3642e-01 1.0118e+03 -3.1852e+01
2.3861e-01 1.0092e+03 -3.1186e+01
2.4082e-01 1.0067e+03 -3.0527e+01
2.4305e-01 1.0042e+03 -2.9871e+01
2.4530e-01 1.0014e+03 -2.9213e+01
2.4757e-01 9.9827e+02 -2.8547e+01
2.4986e-01 9.9448e+02 -2.7868e+01
2.5217e-01 9.8987e+02 -2.7172e+01
2.5451e-01 9.8431e+02 -2.6457e+01
2.5686e-01 9.7781e+02 -2.5724e+01
2.5924e-01 9.7046e+02 -2.4977e+01
2.6164e-01 9.6236e+02 -2.4222e+01
2.6407e-01 9.5351e+02 -2.3458e+01
2.6651e-01 9.4396e+02 -2.2688e+01
2.6898e-01 9.3383e+02 -2.1916e+01
2.7147e-01 9.2340e+02 -2.1150e+01
2.7398e-01 9.1297e+02 -2.0397e+01
2.7652e-01 9.0275e+02 -1.9661e+01
2.7908e-01 8.9289e+02 -1.8945e+01
2.8166e-01 8.8354e+02 -1.8252e+01
2.8427e-01 8.7484e+02 -1.7583e+01
2.8690e-01 8.6686e+02 -1.6939e+01
2.8955e-01 8.5963e+02 -1.6319e+01
2.9224e-01 8.5312e+02 -1.5721e+01
2.9494e-01 8.4724e+02 -1.5143e+01
2.9767e-01 8.4189e+02 -1.4581e+01
3.0043e-01 8.3694e+02 -1.4033e+01
3.0321e-01 8.3227e+02 -1.3496e+01
3.0602e-01 8.2772e+02 -1.2967e+01
3.0885e-01 8.2309e+02 -1.2442e+01
3.1171e-01 8.1817e+02 -1.1919e+01
3.1459e-01 8.1276e+02 -1.1396e+01
3.1751e-01 8.0682e+02 -1.0872e+01
3.2044e-01 8.0034e+02 -1.0349e+01
3.2341e-01 7.9337e+02 -9.8276e+00
3.2641e-01 7.8596e+02 -9.3093e+00
3.2943e-01 7.7816e+02 -8.7956e+00
3.3248e-01 7.7004e+02 -8.2878e+00
3.3555e-01 7.6172e+02 -7.7876e+00
3.3866e-01 7.5335e+02 -7.2967e+00
3.4180e-01 7.4512e+02 -6.8169e+00
3.4496e-01 7.3720e+02 -6.3494e+00
3.4815e-01 7.2970e+02 -5.8947e+00
3.5138e-01 7.2266e+02 -5.4523e+00
3.5463e-01 7.1606e+02 -5.0213e+00
3.5791e-01 7.0983e+02 -4.6005e+00
3.6123e-01 7.0388e+02 -4.1889e+00
3.6457e-01 6.9817e+02 -3.7856e+00
3.6794e-01 6.9263e+02 -3.3900e+00
3.7135e-01 6.8718e+02 -3.0014e+00
3.7479e-01 6.8168e+02 -2.6192e+00
3.7826e-01 6.7598e+02 -2.2428e+00
3.8176e-01 6.7002e+02 -1.8725e+00
3.8529e-01 6.6379e+02 -1.5086e+00
3.8886e-01 6.5734e+02 -1.1515e+00
3.9246e-01 6.5072e+02 -8.0168e-01
3.9609e-01 6.4396e+02 -4.5938e-01
3.9976e-01 6.3709e+02 -1.2483e-01
4.0346e-01 6.3021e+02 2.0189e-01
4.0720e-01 6.2341e+02 5.2084e-01
4.1097e-01 6.1676e+02 8.3229e-01
4.1477e-01 6.1032e+02 1.1366e+00
4.1861e-01 6.0411e+02 1.4341e+00
4.2249e-01 5.9813e+02 1.7252e+00
4.2640e-01 5.9236e+02 2.0103e+00
4.3035e-01 5.8674e+02 2.2894e+00
4.3433e-01 5.8122e+02 2.5625e+00
4.3835e-01 5.7573e+02 2.8295e+00
4.4241e-01 5.7020e+02 3.0901e+00
4.4650e-01 5.6458e+02 3.3439e+00
4.5064e-01 5.5884e+02 3.5907e+00
4.5481e-01 5.5300e+02 3.8303e+00
4.5902e-01 5.4709e+02 4.0629e+00
4.6327e-01 5.4116e+02 4.2888e+00
4.6756e-01 5.3524e+02 4.5083e+00
4.7189e-01 5.2937e+02 4.7217e+00
4.7625e-01 5.2358e+02 4.9294e+00
4.8066e-01 5.1788e+02 5.1317e+00
4.8511e-01 5.1230e+02 5.3290e+00
4.8960e-01 5.0685e+02 5.5215e+00
4.9414e-01 5.0151e+02 5.7095e+00
4.9871e-01 4.9626e+02 5.8926e+00
5.0333e-01 4.9105e+02 6.0705e+00
5.0799e-01 4.8584e+02 6.2429e+00
5.1269e-01 4.8061e+02 6.4092e+00
5.1744e-01 4.7533e+02 6.5693e+00
5.2223e-01 4.7003e+02 6.7234e+00
5.2706e-01 4.6473e+02 6.8718e+00
5.3194e-01 4.5948e+02 7.0153e+00
5.3686e-01 4.5429e+02 7.1542e+00
5.4183e-01 4.4917e+02 7.2888e+00
5.4685e-01 4.4411e+02 7.4190e+00
5.5191e-01 4.3911e+02 7.5447e+00
5.5702e-01 4.3416e+02 7.6661e+00
5.6218e-01 4.2925e+02 7.7831e+00
5.6738e-01 4.2439e+02 7.8957e+00
5.7264e-01 4.1957e+02 8.0040e+00
5.7794e-01 4.1478e+02 8.1080e+00
5.8329e-01 4.1002e+02 8.2075e+00
5.8869e-01 4.0529e+02 8.3027e+00
5.9414e-01 4.0058e+02 8.3935e+00
5.9964e-01 3.9590e+02 8.4800e+00
6.0519e-01 3.9125e+02 8.5623e+00
6.1079e-01 3.8664e+02 8.6408e+00
6.1645e-01 3.8207e+02 8.7156e+00
6.2215e-01 3.7756e+02 8.7869e+00
6.2791e-01 3.7310e+02 8.8549e+00
6.3373e-01 3.6868e+02 8.9195e+00
6.3959e-01 3.6432e+02 8.9808e+00
6.4551e-01 3.5998e+02 9.0384e+00
6.5149e-01 3.5568e+02 9.0924e+00
6.5752e-01 3.5139e+02 9.1426e+00
6.6361e-01 3.4713e+02 9.1893e+00
6.6975e-01 3.4290e+02 9.2325e+00
6.7595e-01 3.3872e+02 9.2727e+00
6.8221e-01 3.3459e+02 9.3101e+00
6.8852e-01 3.3050e+02 9.3449e+00
6.9490e-01 3.2647e+02 9.3770e+00
7.0133e-01 3.2247e+02 9.4063e+00
7.0782e-01 3.1851e+02 9.4327e+00
7.1438e-01 3.1458e+02 9.4562e+00
7.2099e-01 3.1068e+02 9.4766e+00
7.2766e-01 3.0680e+02 9.4939e+00
7.3440e-01 3.0296e+02 9.5085e+00
7.4120e-01 2.9915e+02 9.5205e+00
7.4806e-01 2.9537e+02 9.5300e+00
7.5499e-01 2.9164e+02 9.5372e+00
7.6198e-01 2.8796e+02 9.5424e+00
7.6903e-01 2.8431e+02 9.5455e+00
7.7615e-01 2.8071e+02 9.5465e+00
7.8333e-01 2.7715e+02 9.5454e+00
7.9059e-01 2.7362e+02 9.5421e+00
7.9790e-01 2.7013e+02 9.5367e+00
8.0529e-01 2.6667e+02 9.5292e+00
8.1275e-01 2.6324e+02 9.5195e+00
8.2027e-01 2.5984e+02 9.5076e+00
8.2786e-01 2.5648e+02 9.4938e+00
8.3553e-01 2.5314e+02 9.4780e+00
8.4326e-01 2.4984e+02 9.4604e+00
8.5107e-01 2.4657e+02 9.4410e+00
8.5895e-01 2.4334e+02 9.4199e+00
8.6690e-01 2.4014e+02 9.3972e+00
8.7493e-01 2.3698e+02 9.3730e+00
8.8302e-01 2.3386e+02 9.3472e+00
8.9120e-01 2.3077e+02 9.3200e+00
8.9945e-01 2.2771e+02 9.2914e+00
9.0778e-01 2.2468e+02 9.2613e+00
9.1618e-01 2.2169e+02 9.2299e+00
9.2466e-01 2.1873e+02 9.1971e+00
9.3322e-01 2.1581e+02 9.1629e+00
9.4186e-01 2.1291e+02 9.1275e+00
9.5058e-01 2.1005e+02 9.0907e+00
9.5938e-01 2.0721e+02 9.0527e+00
9.6826e-01 2.0441e+02 9.0136e+00
9.7723e-01 2.0163e+02 8.9733e+00
9.8627e-01 1.9889e+02 8.9318e+00
9.9540e-01 1.9618e+02 8.8894e+00
1.0046e+00 1.9349e+02 8.8459e+00
1.0139e+00 1.9084e+02 8.8015e+00
1.0233e+00 1.8822e+02 8.7561e+00
1.0328e+00 1.8563e+02 8.7099e+00
1.0423e+00 1.8307e+02 8.6628e+00
1.0520e+00 1.8054e+02 8.6149e+00
1.0617e+00 1.7804e+02 8.5662e+00
1.0716e+00 1.7557e+02 8.5168e+00
1.0815e+00 1.7312e+02 8.4667e+00
1.0915e+00 1.7071e+02 8.4159e+00
1.1016e+00 1.6832e+02 8.3644e+00
1.1118e+00 1.6597e+02 8.3123e+00
1.1221e+00 1.6364e+02 8.2596e+00
1.1325e+00 1.6134e+02 8.2063e+00
1.1430e+00 1.5906e+02 8.1524e+00
1.1535e+00 1.5681e+02 8.0980e+00
1.1642e+00 1.5459e+02 8.0431e+00
1.1750e+00 1.5240e+02 7.9877e+00
1.1859e+00 1.5023e+02 7.9318e+00
1.1968e+00 1.4809e+02 7.8755e+00
1.2079e+00 1.4597e+02 7.8188e+00
1.2191e+00 1.4388e+02 7.7617e+00
1.2304e+00 1.4182e+02 7.7042e+00
1.2418e+00 1.3978e+02 7.6464e+00
1.2533e+00 1.3776e+02 7.5883e+00
1.2649e+00 1.3577e+02 7.5300e+00
1.2766e+00 1.3381e+02 7.4713e+00
1.2884e+00 1.3187e+02 7.4125e+00
1.3003e+00 1.2995e+02 7.3534e+00
1.3124e+00 1.2806e+02 7.2941e+00
1.3245e+00 1.2619e+02 7.2347e+00
1.3368e+00 1.2435e+02 7.1751e+00
1.3492e+00 1.2253e+02 7.1153e+00
1.3617e+00 1.2073e+02 7.0555e+00
1.3743e+00 1.1895e+02 6.9955e+00
1.3870e+00 1.1720e+02 6.9355e+00
1.3998e+00 1.1547e+02 6.8754e+00
1.4128e+00 1.1376e+02 6.8152e+00
1.4259e+00 1.1208e+02 6.7551e+00
1.4391e+00 1.1041e+02 6.6949e+00
1.4524e+00 1.0877e+02 6.6347e+00
1.4658e+00 1.0715e+02 6.5745e+00
1.4794e+00 1.0555e+02 6.5144e+00
1.4931e+00 1.0397e+02 6.4543e+00
1.5069e+00 1.0241e+02 6.3942e+00
1.5209e+00 1.0087e+02 6.3342e+00
1.5349e+00 9.9356e+01 6.2743e+00
1.5492e+00 9.7858e+01 6.2145e+00
1.5635e+00 9.6381e+01 6.1549e+00
1.5780e+00 9.4922e+01 6.0953e+00
1.5926e+00 9.3484e+01 6.0359e+00
1.6073e+00 9.2064e+01 5.9766e+00
1.6222e+00 9.0664e+01 5.9174e+00
1.6372e+00 8.9282e+01 5.8585e+00
1.6524e+00 8.7919e+01 5.7997e+00
1.6677e+00 8.6574e+01 5.7411e+00
1.6831e+00 8.5247e+01 5.6826e+00
1.6987e+00 8.3939e+01 5.6244e+00
1.7144e+00 8.2648e+01 5.5664e+00
1.7303e+00 8.1374e+01 5.5087e+00
1.7463e+00 8.0119e+01 5.4511e+00
1.7625e+00 7.8880e+01 5.3938e+00
1.7788e+00 7.7658e+01 5.3368e+00
1.7953e+00 7.6454e+01 5.2800e+00
1.8119e+00 7.5266e+01 5.2235e+00
1.8287e+00 7.4094e+01 5.1673e+00
1.8456e+00 7.2939e+01 5.1114e+00
1.8627e+00 7.1800e+01 5.0557e+00
1.8799e+00 7.0678e+01 5.0004e+00
1.8973e+00 6.9571e+01 4.9453e+00
1.9149e+00 6.8479e+01 4.8906e+00
1.9326e+00 6.7404e+01 4.8362e+00
1.9505e+00 6.6343e+01 4.7822e+00
1.9686e+00 6.5298e+01 4.7285e+00
1.9868e+00 6.4268e+01 4.6751e+00
2.0052e+00 6.3253e+01 4.6221e+00
2.0237e+00 6.2252e+01 4.5694e+00
2.0425e+00 6.1266e+01 4.5171e+00
2.0614e+00 6.0294e+01 4.4651e+00
2.0805e+00 5.9337e+01 4.4135e+00
2.0997e+00 5.8393e+01 4.3622e+00
2.1192e+00 5.7462e+01 4.3114e+00
2.1388e+00 5.6545e+01 4.2608e+00
2.1586e+00 5.5642e+01 4.2107e+00
2.1786e+00 5.4751e+01 4.1609e+00
2.1987e+00 5.3873e+01 4.1114e+00
2.2191e+00 5.3008e+01 4.0623e+00
2.2396e+00 5.2155e+01 4.0136e+00
2.2604e+00 5.1315e+01 3.9652e+00
2.2813e+00 5.0487e+01 3.9172e+00
2.3024e+00 4.9671e+01 3.8696e+00
2.3237e+00 4.8866e+01 3.8224e+00
2.3452e+00 4.8074e+01 3.7755e+00
2.3669e+00 4.7293e+01 3.7290e+00
2.3889e+00 4.6523e+01 3.6828e+00
2.4110e+00 4.5765e+01 3.6371e+00
2.4333e+00 4.5019e+01 3.5917e+00
2.4558e+00 4.4283e+01 3.5468e+00
2.4785e+00 4.3558e+01 3.5022e+00
2.5015e+00 4.2845e+01 3.4581e+00
2.5246e+00 4.2142e+01 3.4143e+00
2.5480e+00 4.1450e+01 3.3709e+00
2.5716e+00 4.0768e+01 3.3280e+00
2.5954e+00 4.0097e+01 3.2854e+00
2.6194e+00 3.9436e+01 3.2433e+00
2.6437e+00 3.8785e+01 3.2015e+00
2.6682e+00 3.8144e+01 3.1601e+00
2.6929e+00 3.7512e+01 3.1191e+00
2.7178e+00 3.6890e+01 3.0785e+00
2.7430e+00 3.6278e+01 3.0383e+00
2.7684e+00 3.5674e+01 2.9984e+00
2.7940e+00 3.5080e+01 2.9590e+00
2.8198e+00 3.4495e+01 2.9199e+00
2.8459e+00 3.3919e+01 2.8812e+00
2.8723e+00 3.3351e+01 2.8429e+00
2.8989e+00 3.2793e+01 2.8049e+00
2.9257e+00 3.2242e+01 2.7673e+00
2.9528e+00 3.1700e+01 2.7301e+00
2.9801e+00 3.1167e+01 2.6933e+00
3.0077e+00 3.0642e+01 2.6569e+00
3.0356e+00 3.0125e+01 2.6209e+00
3.0637e+00 2.9616e+01 2.5852e+00
