# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
7.5520e-03 5.4617e+03 1.9607e+00 -8.6650e-01 1.0931e+04 5.3970e+03 -4.2928e-02 1.4549e+02 1.7767e+00 1.1437e+00 8.1731e-01 3.8155e+02 2.5089e+02 0.0000e+00 0.0000e+00
8.1881e-03 5.6927e+03 2.3859e+00 -1.0419e+00 1.1393e+04 5.6426e+03 -1.9663e-02 1.4544e+02 2.0977e+00 1.2769e+00 9.1702e-01 3.8036e+02 2.4963e+02 0.0000e+00 0.0000e+00
8.8778e-03 5.9152e+03 2.8881e+00 -1.2464e+00 1.1835e+04 5.8816e+03 1.6706e-02 1.4538e+02 2.4771e+00 1.4140e+00 1.0224e+00 3.7899e+02 2.4821e+02 0.0000e+00 0.0000e+00
9.6256e-03 6.1235e+03 3.4801e+00 -1.4818e+00 1.2250e+04 6.1081e+03 7.0788e-02 1.4531e+02 2.9254e+00 1.5514e+00 1.1317e+00 3.7742e+02 2.4660e+02 0.0000e+00 0.0000e+00
1.0436e-02 6.3119e+03 4.1767e+00 -1.7495e+00 1.2632e+04 6.3162e+03 1.4844e-01 1.4523e+02 3.4548e+00 1.6848e+00 1.2426e+00 3.7561e+02 2.4479e+02 0.0000e+00 0.0000e+00
1.1315e-02 6.4788e+03 4.9922e+00 -2.0510e+00 1.2972e+04 6.4995e+03 2.5700e-01 1.4514e+02 4.0791e+00 1.8088e+00 1.3520e+00 3.7354e+02 2.4277e+02 0.0000e+00 0.0000e+00
1.2269e-02 6.6234e+03 5.9378e+00 -2.3874e+00 1.3261e+04 6.6521e+03 4.0555e-01 1.4503e+02 4.8143e+00 1.9169e+00 1.4557e+00 3.7119e+02 2.4051e+02 0.0000e+00 0.0000e+00
1.3302e-02 6.7391e+03 7.0188e+00 -2.7562e+00 1.3491e+04 6.7687e+03 6.0512e-01 1.4490e+02 5.6784e+00 2.0009e+00 1.5488e+00 3.6850e+02 2.3802e+02 0.0000e+00 0.0000e+00
1.4422e-02 6.8154e+03 8.2359e+00 -3.1507e+00 1.3648e+04 6.8446e+03 8.6884e-01 1.4476e+02 6.6911e+00 2.0509e+00 1.6255e+00 3.6547e+02 2.3527e+02 0.0000e+00 0.0000e+00
1.5637e-02 6.8497e+03 9.5891e+00 -3.5645e+00 1.3723e+04 6.8768e+03 1.2120e+00 1.4459e+02 7.8744e+00 2.0544e+00 1.6789e+00 3.6205e+02 2.3225e+02 0.0000e+00 0.0000e+00
1.6955e-02 6.8410e+03 1.1080e+01 -3.9887e+00 1.3707e+04 6.8629e+03 1.6520e+00 1.4439e+02 9.2512e+00 1.9970e+00 1.7017e+00 3.5822e+02 2.2895e+02 0.0000e+00 0.0000e+00
1.8383e-02 6.7829e+03 1.2706e+01 -4.4086e+00 1.3595e+04 6.8015e+03 2.2078e+00 1.4416e+02 1.0846e+01 1.8630e+00 1.6864e+00 3.5394e+02 2.2537e+02 0.0000e+00 0.0000e+00
1.9931e-02 6.6735e+03 1.4440e+01 -4.8077e+00 1.3381e+04 6.6917e+03 2.8998e+00 1.4390e+02 1.2682e+01 1.6383e+00 1.6255e+00 3.4919e+02 2.2150e+02 0.0000e+00 0.0000e+00
2.1610e-02 6.5088e+03 1.6239e+01 -5.1641e+00 1.3057e+04 6.5325e+03 3.7483e+00 1.4359e+02 1.4783e+01 1.3126e+00 1.5125e+00 3.4395e+02 2.1733e+02 0.0000e+00 0.0000e+00
2.3430e-02 6.2905e+03 1.8069e+01 -5.4568e+00 1.2626e+04 6.3233e+03 4.7725e+00 1.4324e+02 1.7168e+01 8.8066e-01 1.3427e+00 3.3819e+02 2.1287e+02 0.0000e+00 0.0000e+00
2.5404e-02 6.0242e+03 1.9900e+01 -5.6673e+00 1.2098e+04 6.0646e+03 5.9887e+00 1.4283e+02 1.9854e+01 3.3987e-01 1.1130e+00 3.3191e+02 2.0811e+02 0.0000e+00 0.0000e+00
2.7544e-02 5.7139e+03 2.1675e+01 -5.7751e+00 1.1484e+04 5.7601e+03 7.4090e+00 1.4236e+02 2.2849e+01 -3.1245e-01 8.2299e-01 3.2508e+02 2.0305e+02 0.0000e+00 0.0000e+00
