# tau z t H R drift growth_m growth_cdm velfac
# sigma8 = 0.835034
 2679.8352127879  28.688769342211  32.669213297932 0.020256976419129   11544.18610206 -59664.650868232 0.043654485536933 0.044321613044773 0.99405250445652
 2690.0944627913  28.482037009646  33.015984118715 0.020045166130793  11533.926852056 -59361.128678385 0.043958776374437 0.044625971508653 0.99409256286394
  2700.389925434   28.27674419626  33.366419146068 0.019835575144726  11523.631389414 -59058.656111285 0.044265200632451 0.044932459322378 0.99413232702262
 2710.7217261446  28.072880878659  33.720557016636 0.019628180139956  11513.299588703 -58757.229607257 0.044573773263344 0.045241092133157 0.99417179894049
 2721.0899907875  27.870437103235  34.078436773956 0.019422958041852   11502.93132406  -58456.84561815 0.044884509323487 0.045551885566046 0.99421097818419
 2731.4948456653  27.669402985685  34.440097872737  0.0192198860195  11492.526469182 -58157.500607299 0.045197423973962 0.045864855223808 0.99424986430203
 2741.9364175194  27.469768710524  34.805580183181 0.019018941483109  11482.084897328 -57859.191049506 0.04551253248127 0.046180016687053 0.99428845682459
 2752.4148335317  27.271524530609  35.174923995347 0.018820102081444  11471.606481316 -57561.913431005 0.045829850218048 0.046497385514389  0.9943267552656
 2762.9302213259  27.074660766663  35.548170023567 0.018623345699288  11461.091093522 -57265.664249434 0.046149392663791 0.046816977242556 0.99436475912151
 2773.4827089691  26.879167806801  35.925359410902 0.01842865045493  11450.538605879 -56970.440013812 0.046471175405569 0.047138807386577 0.99440246787131
 2784.0724249728  26.685036106062  36.306533733648 0.018235994697683  11439.948889875 -56676.237244504 0.046795214138764 0.047462891439894 0.99443988097683
 2794.6994982942  26.492256185942  36.691735005888 0.018045357005423  11429.321816553 -56383.052473197 0.047121524667798 0.047789244874507 0.99447699788204
 2805.3640583383  26.300818633934  37.081005684093 0.017856716182159  11418.657256509 -56090.882242869 0.047450122906874 0.048117883141115 0.99451381801338
 2816.0662349585  26.110714103065  37.474388671766 0.01767005125563  11407.955079889 -55799.723107762 0.047781024880717 0.048448821669251 0.99455034077961
 2826.8061584582  25.921933311442  37.871927324142 0.017485341474923  11397.215156389 -55509.571633356 0.048114246725322 0.048782075867421 0.99458656697448
 2837.5839595924  25.734467041798  38.273665452932 0.017302566308123  11386.437355255 -55220.424396336 0.04844980468965 0.049117661383338 0.99462250412004
 2848.3997695688  25.548306141042  38.679647331117 0.017121705439981  11375.621545279 -54932.277984566 0.048787715140047 0.049455595098316 0.99465816026796
 2859.2537200493  25.363441519814  39.089917697793 0.016942738769616  11364.767594798 -54645.128997064 0.049127994557935 0.049795894248361 0.99469353673437
 2870.1459431514  25.179864152038  39.504521763068 0.016765646408231  11353.875371696 -54358.974043969 0.049470659539227 0.050138576045852 0.99472863280312
 2881.0765714494  24.997565074486  39.923505213005 0.016590408676864  11342.944743398 -54073.809746515 0.049815726795099 0.050483657679617 0.99476344773967
  2892.045737976  24.816535386334  40.346914214625 0.016417006104156  11331.975576872 -53789.632737004 0.050163213152771 0.050831156315075 0.99479798079118
 2903.0535762236  24.636766248734  40.774795420951 0.016245419424145  11320.967738624 -53506.439658778 0.050513135556291 0.051181089094392 0.99483223118597
 2914.1002201455  24.458248884379  41.207195976115 0.016075629574087  11309.921094702 -53224.227166188 0.05086551106732 0.051533473136616 0.99486619813351
