# tau z t H R drift growth_m growth_cdm velfac
# sigma8 = 0.835034
  5879.357934657  5.7960833990159  300.59167507622 0.0022193113430243  8344.6633801906 -14219.212170205 0.18959268405196 0.19019424379171 0.99429733810133
  5900.793675948  5.7487577021446  303.75685926672 0.0021963298748122  8323.2276388997 -14074.041195348 0.19091454702283 0.19151528119254 0.99422295463817
 5922.3028783937  5.7017615255946  306.95516261422 0.0021735901245291  8301.7184364539 -13929.387101513 0.19224552609598 0.19284542678427 0.99414659471752
 5943.8857564855  5.6550925744525  310.18692610354 0.0021510895859854  8280.1355583622 -13785.248298079 0.19358568076406  0.1941847418433 0.99406822851965
 5965.5425244438  5.6087485697801  313.45249405834 0.0021288257793872  8258.4787904039   -13641.6232033  0.1949350708237 0.19553328748224 0.99398782563722
 5987.2733961931  5.5627272485033  316.75221416831 0.002106796251061  8236.7479186546 -13498.510244337 0.19629375637481  0.1968911246471 0.99390535506481
 6009.0785853358  5.5170263633015  320.08643751648 0.0020849985731817  8214.9427295119 -13355.907857282 0.19766179781974 0.19825831411439 0.99382078518548
 6030.9583051255   5.471643682498  323.45551860654 0.0020634303435031  8193.0630097222  -13213.81448719 0.19903925586249 0.19963491648817 0.99373408376061
 6052.9127684395   5.426576989951  326.85981539016 0.0020420891850916  8171.1085464082 -13072.228588102 0.20042619150772 0.20102099219702 0.99364521791868
 6074.9421877509  5.3818240849451  330.29968929434 0.0020209727460621  8149.0791270968 -12931.148623081 0.20182266605969 0.20241660149085 0.99355415414296
 6097.0467750996   5.337382782084  333.77550524884 0.0020000786993174  8126.9745397481 -12790.573064236 0.20322874112121 0.20382180443775 0.99346085825841
 6119.2267420627  5.2932509111842  337.28763171347 0.0019794047422901  8104.7945727849  -12650.50039276 0.20464447859238 0.20523666092064 0.99336529542141
 6141.4822997246  5.2494263171681  340.83644070557 0.0019589485966866   8082.539015123 -12510.929098956  0.2060699406693 0.20666123063388 0.99326742929168
 6163.8136586455  5.2059068599597  344.42230782729 0.0019387080082349  8060.2076562021 -12371.857682271 0.20750518984034 0.20809557319127 0.99316720027309
 6186.2210288298  5.1626904143794  348.04561229299 0.001918680746434  8037.8002860179 -12233.284651333 0.20895028882145 0.20953975110018 0.99306452427693
 6208.7046196934  5.1197748700408  351.70673695651 0.0018988646043067  8015.3166951543 -12095.208523978 0.21040530054552  0.2109938300767 0.99295933787589
 6231.2646400303   5.077158131247  355.40606833849 0.0018792573981545  7992.7566748173 -11957.627827294 0.21187028822773 0.21245787580093 0.99285160155495
 6253.9012979786  5.0348381168888  359.14399665356 0.0018598569673153  7970.1200168691 -11820.541097649 0.21334531536737 0.21393195373641 0.99274127632622
 6276.6148009848  4.9928127603429  362.92091583752 0.0018406611739237  7947.4065138629 -11683.946880731  0.2148304457459 0.21541612912609 0.99262832244175
 6299.4053557684  4.9510800093708  366.73722357442 0.0018216679026735  7924.6159590793 -11547.843731586 0.21632574342487 0.21691046698809 0.99251269938161
 6322.2731682849  4.9096378260188  370.59332132361 0.0018028750605831  7901.7481465628 -11412.230214653 0.21783127274368 0.21841503211146 0.99239436583898
 6345.2184436878  4.8684841865184  374.48961434661 0.0017842805767632  7878.8028711599 -11277.104903807 0.21934709831731 0.21992988905177 0.99227327970573
 6368.2413862903  4.8276170811875  378.42651173393 0.0017658824021865  7855.7799285573 -11142.466382396 0.22087328503387 0.22145510212659 0.99214939805891
 6391.3421995255  4.7870345143322  382.40442643179 0.0017476785094609  7832.6791153221 -11008.313243281 0.22240989805203 0.22299073541084 0.99202267714511
  6414.521085906  4.7467345041494  386.42377526867 0.0017296668926036  7809.5002289417  -10874.64408888  0.2239570027983 0.22453685273206 0.99189307236622
  6437.778246982  4.7067150826301  390.48497898171 0.001711845566819  7786.2430678657 -10741.457531209 0.22551466496428 0.22609351766554 0.99176053826584
 6461.1138832991  4.6669742954631    394.588462243 0.0016942125682779  7762.9074315485 -10608.752191923 0.22708295050362 0.22766079352929 0.99162502721831
 6484.5281943549  4.6275102019395  398.73465368563 0.0016767659538994  7739.4931204928 -10476.526702365 0.22866192562486 0.22923874351711 0.99148645922373
 6508.0213785539  4.5883208748584  402.92398592962 0.0016595038011353  7715.9999362938 -10344.779703603 0.23025165669148  0.2308274339216 0.99134472262845
 6531.5936331623  4.5494044004323  407.15689560762 0.0016424242077565  7692.4276816854 -10213.509846484 0.23185221021196  0.2324269342309 0.99119973497921
 6555.2451542611  4.5107588781939  411.43382339034 0.0016255252916411  7668.7761605865 -10082.715791674 0.23346365293317 0.23403731380349 0.99105144502016
 6578.9761366985  4.4723824209031  415.75521401187 0.001608805190566  7645.0451781492 -9952.3962097067 0.23508605184136 0.23565864170243 0.99089980202079
 6602.7867740404  4.4342731544552   420.1215162946 0.0015922620619995  7621.2345408073 -9822.5497810336 0.23671947415818  0.2372909866894 0.99074475428426
 6626.6772585209   4.396429217789  424.53318317401 0.0015758940828967  7597.3440563267 -9693.1751960708  0.2383639873366 0.23893441721854 0.99058624912989
  6650.647780991  4.3588487627959  428.99067172303 0.0015596994494965  7573.3735338567  -9564.271155249 0.24001965905659 0.24058900143028 0.99042423287706
